noise,seed,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
0.316228,1,0.99624,0.99856,0.99776,0.99616,0.9948,0.99052,0.98624,0.97876,0.96816,0.95304,0.92568,0.8904,0.83528,0.76548,0.703,0.67488,0.68412,0.70636,0.71868,0.72316,0.7356,0.73604,0.73644,0.73944,0.74024,0.73996,0.736,0.73892,0.74196,0.74548,0.74368,0.74236,0.73876,0.73748,0.74152,0.74268,0.7462,0.74316,0.74552,0.73988,0.73848,0.74092,0.73984,0.74036,0.73716,0.73912,0.73936,0.73244,0.71508,
0.316228,2,0.99608,0.99768,0.99688,0.9954,0.9922,0.98888,0.98032,0.97136,0.9552,0.93364,0.89616,0.85328,0.78992,0.72152,0.66188,0.6636,0.68616,0.70156,0.71268,0.72216,0.7282,0.73244,0.73956,0.73832,0.73912,0.73636,0.73508,0.74152,0.74348,0.7366,0.73936,0.73864,0.73968,0.742,0.74216,0.74364,0.73784,0.7406,0.73972,0.7398,0.73604,0.73048,0.73684,0.736,0.7408,0.741,0.7384,0.72752,0.71896,
0.316228,3,0.99724,0.99832,0.997,0.99576,0.99424,0.99224,0.98648,0.98152,0.97092,0.95384,0.93396,0.90312,0.8578,0.7954,0.72872,0.68712,0.67804,0.683,0.69372,0.71112,0.72008,0.72768,0.7386,0.73856,0.73436,0.73436,0.74308,0.73944,0.73764,0.74308,0.74492,0.74436,0.74196,0.74208,0.74496,0.74544,0.7412,0.73732,0.74236,0.7408,0.74592,0.73608,0.7386,0.74168,0.74296,0.7424,0.73308,0.72656,0.70776,
0.316228,4,0.996,0.99824,0.99708,0.99584,0.9922,0.99068,0.98372,0.97408,0.96236,0.9442,0.91504,0.87976,0.82596,0.75992,0.708,0.67928,0.682,0.69312,0.716,0.7242,0.7324,0.73928,0.73376,0.73456,0.73632,0.73408,0.73892,0.73564,0.7364,0.74784,0.73804,0.73844,0.73284,0.73836,0.73816,0.7414,0.73928,0.73868,0.74032,0.74392,0.74244,0.73524,0.73504,0.73716,0.73812,0.73164,0.72916,0.72044,0.71784,
0.316228,5,0.99592,0.99744,0.99648,0.99476,0.99236,0.98788,0.98184,0.9722,0.9562,0.93336,0.90056,0.85352,0.78388,0.71204,0.66164,0.66436,0.68052,0.69904,0.71144,0.72132,0.72268,0.73404,0.7322,0.73744,0.7338,0.7414,0.73872,0.73112,0.73568,0.73104,0.73504,0.73524,0.73472,0.73724,0.73632,0.73344,0.73936,0.7346,0.73652,0.73916,0.73352,0.74332,0.73496,0.73804,0.7324,0.73568,0.73152,0.72192,0.71336,
0.316228,6,0.99496,0.99756,0.99592,0.99316,0.99064,0.986,0.97956,0.9664,0.94788,0.92424,0.88612,0.83168,0.75828,0.68336,0.6526,0.67124,0.69432,0.71488,0.72264,0.72956,0.72516,0.73288,0.73444,0.73784,0.7394,0.73728,0.736,0.73912,0.7384,0.7338,0.73552,0.738,0.73748,0.73964,0.73496,0.73572,0.73556,0.73792,0.73852,0.73904,0.742,0.741,0.74284,0.74052,0.74052,0.7358,0.72836,0.72368,0.71032,
0.316228,7,0.99564,0.9982,0.9964,0.99576,0.99412,0.9896,0.9846,0.97632,0.96316,0.94332,0.91664,0.87164,0.81468,0.74272,0.68936,0.6708,0.68556,0.69952,0.7164,0.72188,0.72756,0.73228,0.73496,0.73236,0.73244,0.73448,0.73956,0.743,0.74052,0.7372,0.74004,0.73408,0.73708,0.74128,0.73724,0.74156,0.74216,0.7418,0.73768,0.73868,0.74396,0.7452,0.73676,0.73376,0.7332,0.73852,0.73292,0.72996,0.71648,
0.316228,8,0.99508,0.998,0.99652,0.99592,0.99224,0.98928,0.984,0.97268,0.95896,0.9422,0.9118,0.8664,0.8108,0.73592,0.67784,0.66572,0.67968,0.70596,0.72728,0.73488,0.73876,0.74228,0.73572,0.73572,0.73748,0.73744,0.73708,0.73576,0.73808,0.73948,0.73956,0.74376,0.74112,0.73788,0.74436,0.74476,0.7372,0.73508,0.7468,0.74144,0.74168,0.73864,0.73328,0.73864,0.74068,0.73612,0.73068,0.72932,0.71024,
0.316228,9,0.99576,0.99772,0.99696,0.99532,0.9932,0.9894,0.98324,0.97312,0.9604,0.9408,0.91132,0.86168,0.80532,0.73072,0.6846,0.676,0.68064,0.7032,0.725,0.73056,0.73576,0.733,0.73388,0.73632,0.73688,0.738,0.73916,0.7392,0.7378,0.74128,0.73676,0.7386,0.73284,0.73928,0.73312,0.74364,0.74596,0.74208,0.7342,0.73784,0.73984,0.74152,0.7412,0.73892,0.73476,0.73152,0.73068,0.72916,0.71556,
0.316228,10,0.99588,0.99832,0.99728,0.9956,0.99432,0.9904,0.98288,0.97644,0.96548,0.94532,0.91532,0.881,0.83336,0.76912,0.7142,0.67792,0.68104,0.69388,0.70172,0.71636,0.7182,0.72456,0.72984,0.73272,0.74292,0.73104,0.73912,0.73364,0.73888,0.7392,0.74364,0.74292,0.7434,0.74776,0.74364,0.74124,0.74308,0.74256,0.74032,0.74048,0.7364,0.73264,0.7384,0.73424,0.73284,0.73604,0.7376,0.72012,0.72084,
