mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,0.99,1,0.99,0.99,0.98,1,0.98,0.96,0.95,0.95,0.94,0.9,0.87,0.75,0.68,0.69,0.64,0.47,0.2,0.24,0.27,0.26,0.21,0.26,0.22,0.29,0.33,0.27,0.27,0.38,0.33,0.33,0.35,0.32,0.31,0.38,0.36,0.42,0.36,0.35,0.31,0.21,0.18,0.15,0.07,0.04,
400,1,1,1,0.995,1,0.995,0.995,0.975,0.995,0.99,0.97,0.965,0.96,0.915,0.885,0.83,0.625,0.62,0.55,0.545,0.355,0.215,0.23,0.18,0.305,0.225,0.23,0.14,0.195,0.25,0.14,0.15,0.305,0.355,0.335,0.325,0.375,0.355,0.4,0.4,0.405,0.41,0.4,0.35,0.27,0.215,0.195,0.145,0.055,
600,1,1,1,0.996667,0.996667,0.99,0.996667,0.98,0.993333,0.99,0.966667,0.963333,0.943333,0.906667,0.876667,0.763333,0.503333,0.603333,0.503333,0.44,0.44,0.296667,0.306667,0.27,0.396667,0.353333,0.326667,0.26,0.363333,0.423333,0.346667,0.346667,0.466667,0.47,0.46,0.423333,0.51,0.51,0.503333,0.513333,0.536667,0.51,0.51,0.493333,0.45,0.39,0.366667,0.35,0.243333,
800,1,1,0.9975,0.9975,0.9975,0.9925,0.995,0.98,0.9925,0.9925,0.955,0.955,0.9325,0.88,0.845,0.6975,0.4975,0.565,0.5275,0.48,0.5125,0.4125,0.4275,0.3825,0.4925,0.45,0.4275,0.3875,0.43,0.5075,0.4325,0.44,0.5575,0.5275,0.5275,0.5125,0.5575,0.5575,0.565,0.5825,0.585,0.57,0.55,0.55,0.5425,0.4675,0.49,0.4575,0.36,
1000,1,1,0.998,0.996,0.998,0.994,0.992,0.982,0.99,0.992,0.948,0.94,0.926,0.86,0.782,0.684,0.518,0.568,0.524,0.536,0.55,0.468,0.512,0.452,0.538,0.52,0.478,0.458,0.49,0.576,0.488,0.494,0.604,0.588,0.576,0.548,0.592,0.608,0.6,0.638,0.626,0.618,0.612,0.584,0.576,0.502,0.54,0.506,0.43,
1200,1,0.998333,0.998333,0.993333,0.996667,0.993333,0.991667,0.976667,0.99,0.985,0.94,0.931667,0.891667,0.863333,0.758333,0.69,0.541667,0.598333,0.55,0.591667,0.581667,0.505,0.531667,0.518333,0.558333,0.541667,0.501667,0.496667,0.54,0.598333,0.526667,0.525,0.628333,0.63,0.62,0.581667,0.633333,0.633333,0.621667,0.646667,0.655,0.63,0.626667,0.631667,0.616667,0.553333,0.585,0.535,0.485,
1400,1,0.997143,0.998571,0.994286,0.997143,0.992857,0.992857,0.975714,0.988571,0.977143,0.931429,0.922857,0.878571,0.858571,0.738571,0.691429,0.555714,0.602857,0.575714,0.612857,0.592857,0.535714,0.554286,0.548571,0.588571,0.582857,0.531429,0.52,0.567143,0.627143,0.557143,0.568571,0.652857,0.658571,0.64,0.597143,0.648571,0.652857,0.648571,0.672857,0.668571,0.648571,0.644286,0.654286,0.641429,0.587143,0.591429,0.558571,0.515714,
1600,1,0.9975,0.9975,0.995,0.9975,0.9925,0.9925,0.9725,0.9875,0.97,0.935,0.91875,0.87875,0.8475,0.7275,0.66875,0.5775,0.6,0.58,0.6325,0.6175,0.5625,0.57875,0.56625,0.59875,0.58375,0.54375,0.55,0.58875,0.6475,0.59625,0.58625,0.67375,0.68125,0.64875,0.61875,0.6625,0.6625,0.65625,0.685,0.67125,0.6575,0.6575,0.67,0.64625,0.615,0.605,0.57375,0.54125,
1800,1,0.997778,0.996667,0.995556,0.996667,0.991111,0.988889,0.974444,0.983333,0.967778,0.934444,0.913333,0.875556,0.846667,0.721111,0.655556,0.574444,0.602222,0.601111,0.646667,0.624444,0.582222,0.592222,0.585556,0.616667,0.602222,0.561111,0.567778,0.606667,0.66,0.614444,0.608889,0.674444,0.686667,0.658889,0.623333,0.662222,0.667778,0.663333,0.68,0.681111,0.664444,0.67,0.673333,0.653333,0.627778,0.612222,0.592222,0.566667,
2000,1,0.998,0.996,0.996,0.997,0.991,0.987,0.973,0.981,0.966,0.935,0.915,0.872,0.837,0.723,0.652,0.575,0.614,0.61,0.658,0.635,0.599,0.611,0.601,0.628,0.616,0.581,0.589,0.618,0.665,0.625,0.624,0.678,0.691,0.668,0.626,0.668,0.676,0.669,0.682,0.691,0.68,0.688,0.685,0.671,0.639,0.613,0.606,0.588,
2200,1,0.998182,0.996364,0.994545,0.996364,0.990909,0.986364,0.973636,0.978182,0.961818,0.933636,0.909091,0.865455,0.831818,0.724545,0.66,0.579091,0.612727,0.610909,0.664545,0.631818,0.610909,0.624545,0.612727,0.631818,0.618182,0.603636,0.606364,0.634545,0.675455,0.642727,0.627273,0.687273,0.691818,0.672727,0.635455,0.67,0.683636,0.676364,0.688182,0.695455,0.686364,0.698182,0.694545,0.672727,0.651818,0.625455,0.617273,0.6,
2400,0.999167,0.998333,0.996667,0.994167,0.996667,0.990833,0.9875,0.975,0.979167,0.963333,0.933333,0.91,0.858333,0.825833,0.725,0.660833,0.58,0.625833,0.62,0.6675,0.643333,0.6225,0.629167,0.620833,0.6375,0.621667,0.608333,0.615,0.643333,0.674167,0.6575,0.64,0.695833,0.7025,0.685,0.651667,0.678333,0.6825,0.675833,0.696667,0.6925,0.689167,0.705,0.698333,0.6775,0.650833,0.635833,0.635,0.610833,
2600,0.998462,0.998462,0.996923,0.994615,0.996923,0.990769,0.986923,0.976154,0.979231,0.962308,0.926923,0.909231,0.859231,0.822308,0.726154,0.667692,0.583077,0.628462,0.63,0.670769,0.653846,0.632308,0.628462,0.631538,0.64,0.632308,0.613077,0.631538,0.656154,0.686923,0.662308,0.650769,0.693077,0.708462,0.688462,0.664615,0.676154,0.687692,0.673077,0.704615,0.696154,0.686154,0.706154,0.703077,0.678462,0.657692,0.636923,0.64,0.623846,
2800,0.998571,0.998571,0.997143,0.995,0.996429,0.991429,0.987857,0.977143,0.976429,0.959286,0.926429,0.905714,0.862143,0.812857,0.720714,0.67,0.59,0.63,0.628571,0.680714,0.66,0.637143,0.641429,0.639286,0.648571,0.632143,0.620714,0.637857,0.660714,0.687857,0.666429,0.656429,0.696429,0.707143,0.695,0.674286,0.676429,0.689286,0.672857,0.711429,0.698571,0.687143,0.71,0.705714,0.686429,0.665714,0.641429,0.643571,0.63,
3000,0.998667,0.997333,0.997333,0.995333,0.994667,0.991333,0.988,0.977333,0.976,0.960667,0.920667,0.908,0.862,0.809333,0.720667,0.664667,0.602,0.634667,0.625333,0.676667,0.66,0.645333,0.646667,0.644667,0.654,0.643333,0.625333,0.646667,0.666,0.690667,0.669333,0.656,0.699333,0.710667,0.699333,0.679333,0.680667,0.694667,0.682,0.712,0.702,0.692,0.713333,0.708,0.685333,0.674667,0.645333,0.651333,0.636667,
3200,0.998125,0.9975,0.9975,0.995625,0.99375,0.99125,0.986875,0.975625,0.975625,0.959375,0.918125,0.905,0.860625,0.804375,0.71625,0.6625,0.6,0.639375,0.63375,0.6775,0.66375,0.65125,0.650625,0.649375,0.65875,0.651875,0.633125,0.65125,0.66875,0.6925,0.671875,0.661875,0.695,0.71375,0.69875,0.685,0.679375,0.693125,0.6875,0.709375,0.705,0.69625,0.720625,0.714375,0.6925,0.678125,0.649375,0.653125,0.6375,
