mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.989899,1,0.977778,0.990909,1,1,0.970588,0.989796,0.989691,1,0.971698,0.989362,1,1,1,1,0.981651,0.978022,0.990099,0.989899,1,1,0.989899,1,1,1,0.981308,1,0.989011,0.954128,0.98913,1,1,0.981651,0.980392,0.989796,0.934579,0.956989,0.851485,0.949495,0.854167,0.875,0.901786,0.761364,0.51,0.73,0.613861,0.717172,0.511628,0.649123,0.663265,0.529412,0.505376,0.457944,0.536082,0.495146,0.409091,0.5,0.357143,0.443182,0.333333,0.461538,0.336134,0.54321,0.306306,0.494382,0.326531,0.460784,0.418367,0.421569,0.421569,0.489796,0.340659,0.449541,0.469388,0.352941,0.464646,0.465347,0.495495,0.483146,0.494949,0.465347,0.461538,0.479167,0.460784,0.459184,0.460784,0.489796,0.351648,0.477064,0.44898,0.558824,0.39604,0.424242,0.266055,0.406593,0.491071,0.522727,0.518519,0.456522,
400,0.96875,1,0.990476,0.989474,0.979798,0.980198,0.988506,0.99115,1,1,0.979798,0.980198,0.990909,1,0.980952,0.989474,0.990385,0.989583,1,0.980198,1,1,0.979798,0.980198,0.981481,0.967391,1,0.990909,0.970874,0.948454,0.966292,1,0.952941,0.982609,0.926316,0.952381,0.84,0.9,0.418367,0.852941,0.0761905,0.884211,0.120879,0.816514,0.0510204,0.833333,0.22449,0.637255,0.322314,0.620253,0.478723,0.433962,0.538462,0.40625,0.57,0.33,0.544554,0.262626,0.489583,0.25,0.560748,0.193548,0.525773,0.252427,0.449541,0.230769,0.509615,0.229167,0.435185,0.206522,0.434343,0.306931,0.271845,0.371134,0.373737,0.336634,0.238938,0.367816,0.383178,0.354839,0.391304,0.398148,0.5,0.409091,0.504854,0.402062,0.494845,0.436893,0.474227,0.407767,0.415094,0.393617,0.436893,0.505155,0.427184,0.484536,0.553191,0.575472,0.490566,0.5,
600,0.981132,1,0.982609,0.964706,0.990654,0.956989,0.989796,0.980392,0.988372,0.95614,0.989899,0.950495,0.982609,0.976471,0.981982,0.921348,0.963964,0.94382,0.989691,0.980583,1,0.957447,0.963964,0.94382,0.990196,0.94898,0.980583,0.969072,0.964706,0.973913,0.969388,0.95098,0.952381,0.936842,0.680851,0.801887,0.561224,0.676471,0.383929,0.681818,0.5,0.650943,0.5,0.656863,0.495327,0.666667,0.763441,0.53271,0.722222,0.545455,0.66,0.55,0.625,0.5,0.59,0.36,0.52,0.38,0.519231,0.385417,0.44,0.34,0.494949,0.306931,0.280374,0.204301,0.333333,0.247191,0.215054,0.196262,0.232323,0.108911,0.270833,0.182692,0.258427,0.135135,0.290323,0.0654206,0.330357,0.159091,0.235294,0.193878,0.385417,0.240385,0.495327,0.301075,0.41,0.41,0.48,0.37,0.416667,0.326087,0.533333,0.409091,0.460784,0.428571,0.462366,0.457944,0.45283,0.393617,
800,0.979798,0.970297,0.972727,0.955556,0.970874,0.979381,0.988889,0.954545,0.970588,0.989796,0.927835,0.990291,0.977528,0.990991,0.97,0.99,0.978022,0.990826,0.980952,0.978947,0.938776,0.970588,0.932692,0.979167,1,0.95098,0.879121,0.93578,0.867347,0.941176,0.93,0.85,0.928571,0.794118,0.891089,0.59596,0.823529,0.591304,0.901961,0.653061,0.868132,0.614679,0.892473,0.570093,0.899083,0.494505,0.804598,0.460177,0.68932,0.546392,0.621622,0.550562,0.588235,0.602041,0.597938,0.417476,0.59,0.43,0.483871,0.411215,0.440367,0.384615,0.422222,0.381818,0.343137,0.346939,0.297872,0.292453,0.301075,0.252336,0.27027,0.191011,0.346535,0.111111,0.216981,0.223404,0.28866,0.165049,0.219048,0.126316,0.273585,0.106383,0.265306,0.215686,0.292929,0.158416,0.330189,0.191489,0.416667,0.278846,0.505376,0.327103,0.554455,0.343434,0.6,0.377778,0.485437,0.443299,0.648936,0.566038,
1000,0.93617,0.981132,0.947917,0.990385,0.990909,0.977778,0.961905,0.978947,0.964286,0.988636,0.956989,0.981308,0.988889,0.954545,0.931034,0.982301,0.971698,0.946809,0.981818,0.944444,0.976744,0.95614,0.956989,0.915888,0.902913,0.886598,0.892473,0.88785,0.925532,0.896226,0.938144,0.669903,0.815789,0.766129,0.769231,0.6875,0.8,0.673684,0.918919,0.674157,0.877551,0.519608,0.867925,0.425532,0.891089,0.59596,0.803419,0.493976,0.698925,0.560748,0.712963,0.391304,0.659574,0.433962,0.548387,0.523364,0.622449,0.5,0.602041,0.490196,0.445545,0.484848,0.401961,0.44898,0.537634,0.373832,0.452991,0.361446,0.392157,0.336735,0.438095,0.326316,0.411765,0.285714,0.323529,0.316327,0.305556,0.184783,0.232558,0.184211,0.376344,0.317757,0.410526,0.228571,0.444444,0.217822,0.461538,0.25,0.423077,0.270833,0.382022,0.369369,0.584906,0.43617,0.682243,0.408602,0.53,0.34,0.57732,0.456311,
1200,0.975904,0.974359,0.960784,0.94898,0.966667,0.927273,0.947917,0.961538,0.989691,0.932039,0.903846,0.979167,0.904762,0.926316,0.951456,0.948454,0.951456,0.938144,0.959596,0.910891,0.94898,0.95098,0.947368,0.914286,0.932039,0.845361,0.914894,0.896226,0.820755,0.787234,0.898148,0.73913,0.836207,0.702381,0.787037,0.619565,0.758242,0.706422,0.827957,0.663551,0.865385,0.5,0.845361,0.563107,0.847059,0.53913,0.75,0.689655,0.670213,0.518868,0.625,0.583333,0.54902,0.571429,0.485714,0.494737,0.602273,0.517857,0.597561,0.516949,0.539216,0.530612,0.554348,0.398148,0.53125,0.538462,0.417582,0.46789,0.533981,0.484536,0.456522,0.342593,0.408602,0.364486,0.340206,0.223301,0.285714,0.343137,0.428571,0.431373,0.494949,0.366337,0.425532,0.415094,0.42,0.47,0.494253,0.433628,0.540816,0.45098,0.509804,0.346939,0.44086,0.392523,0.61,0.41,0.700935,0.462366,0.644444,0.463636,
1400,0.927273,0.944444,0.954128,0.967033,0.956522,0.953704,0.951456,0.969072,0.947368,0.942857,0.989691,0.961165,0.966667,0.936364,0.920455,0.910714,0.902913,0.948454,0.943925,0.903226,0.963303,0.89011,0.902174,0.87963,0.88,0.87,0.869565,0.731481,0.774194,0.71028,0.768421,0.666667,0.774775,0.460674,0.693878,0.705882,0.7,0.709091,0.767677,0.554455,0.850467,0.55914,0.765217,0.647059,0.794393,0.645161,0.714286,0.602273,0.686047,0.596491,0.634409,0.560748,0.628571,0.568421,0.544554,0.616162,0.479167,0.548077,0.505376,0.523364,0.521277,0.481132,0.480392,0.479592,0.544444,0.527273,0.588889,0.518182,0.516484,0.422018,0.505882,0.634783,0.491071,0.465909,0.436782,0.504425,0.418033,0.346154,0.423077,0.489583,0.416667,0.5,0.462963,0.326087,0.358491,0.5,0.513274,0.505747,0.56701,0.533981,0.588785,0.505376,0.608696,0.546296,0.65625,0.557692,0.57,0.57,0.695238,0.6,
1600,0.918367,0.95098,0.923913,0.935185,0.912088,0.880734,0.921053,0.895349,0.919192,0.910891,0.936842,0.980952,0.953704,0.945652,0.910112,0.945946,0.878505,0.903226,0.896226,0.957447,0.893617,0.858491,0.818182,0.831683,0.901961,0.806122,0.888889,0.809091,0.836735,0.72549,0.755319,0.632075,0.762887,0.669903,0.666667,0.596154,0.663265,0.637255,0.833333,0.642857,0.792453,0.574468,0.615385,0.53125,0.752809,0.477477,0.76,0.53,0.666667,0.6,0.514019,0.548387,0.542857,0.547368,0.685714,0.589474,0.618557,0.660194,0.6,0.571429,0.663043,0.62037,0.5625,0.567308,0.662921,0.504505,0.555556,0.594059,0.475,0.641667,0.5,0.489362,0.490196,0.510204,0.525253,0.445545,0.517241,0.584071,0.526882,0.420561,0.489362,0.40566,0.490385,0.510417,0.617647,0.540816,0.580357,0.534091,0.553191,0.54717,0.626168,0.483871,0.572917,0.548077,0.524272,0.659794,0.55102,0.460784,0.580952,0.610526,
1800,0.881188,0.848485,0.896907,0.84466,0.875,0.884615,0.896226,0.882979,0.854369,0.917526,0.914894,0.867925,0.87619,0.884211,0.912088,0.880734,0.924731,0.869159,0.89899,0.871287,0.897959,0.813725,0.822222,0.854545,0.802198,0.816514,0.83908,0.778761,0.87037,0.695652,0.766355,0.698925,0.701923,0.677083,0.754717,0.659574,0.776786,0.534091,0.688172,0.53271,0.818182,0.60396,0.73,0.53,0.676471,0.469388,0.654206,0.569892,0.565217,0.564815,0.598039,0.5,0.673077,0.625,0.514019,0.698925,0.567568,0.494382,0.575221,0.586207,0.552083,0.557692,0.576923,0.5625,0.715789,0.52381,0.649123,0.476744,0.483871,0.579439,0.65,0.58,0.632075,0.617021,0.5,0.602041,0.62766,0.566038,0.473118,0.514019,0.612245,0.5,0.536082,0.61165,0.60396,0.474747,0.56383,0.481132,0.538462,0.552083,0.632653,0.598039,0.6,0.57,0.663462,0.625,0.631068,0.56701,0.590476,0.621053,
2000,0.923913,0.888889,0.887755,0.882353,0.918919,0.910112,0.902439,0.881356,0.902174,0.805556,0.864583,0.903846,0.83871,0.88785,0.843137,0.877551,0.871287,0.848485,0.867347,0.77451,0.826923,0.802083,0.803922,0.836735,0.810811,0.786517,0.77551,0.764706,0.827273,0.666667,0.72,0.74,0.739583,0.586538,0.696629,0.567568,0.737864,0.57732,0.745455,0.488889,0.768519,0.728261,0.851485,0.636364,0.805556,0.652174,0.686275,0.693878,0.726316,0.533333,0.638889,0.663043,0.52,0.55,0.655914,0.560748,0.578947,0.647619,0.5,0.59375,0.648936,0.518868,0.518072,0.57265,0.582524,0.56701,0.583333,0.567308,0.71875,0.548077,0.568182,0.544643,0.651786,0.488636,0.612245,0.490196,0.489362,0.509434,0.538462,0.623853,0.6,0.466667,0.584158,0.606061,0.542857,0.621053,0.510417,0.586538,0.548673,0.54023,0.658537,0.576271,0.529412,0.571429,0.570175,0.604651,0.554455,0.575758,0.622222,0.554545,
