mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.013899,0.014,0.0137778,0.0139091,0.014,0.014,0.0137059,0.013898,0.0138969,0.014,0.013717,0.0138936,0.014,0.014,0.014,0.014,0.0138165,0.0137802,0.013901,0.013899,0.014,0.014,0.013899,0.014,0.014,0.014,0.0138131,0.014,0.0138901,0.0135413,0.0138913,0.014,0.014,0.0138165,0.0138039,0.013898,0.0133458,0.0135699,0.0125149,0.0134949,0.0125417,0.01275,0.0130179,0.0116136,0.0091,0.0113,0.01,0.0111717,0.00911628,0.01,0.0106327,0.00929412,0.00905376,0.00857944,0.00936082,0.00895146,0.00809091,0.009,0.00757143,0.00843182,0.00733333,0.00861538,0.00736134,0.0094321,0.00706306,0.00894382,0.00726531,0.00860784,0.00818367,0.00821569,0.00821569,0.00889796,0.00740659,0.00849541,0.00869388,0.00752941,0.00740493,0.00741093,0.00511275,0.00504224,0.00340642,0.00329375,0.00218617,0.0022309,0.00145617,0.00145346,0.000970779,0.0010035,0.000565132,0.000659426,0.000425541,0.000501238,0.000266003,0.000275428,0.000148379,0.000179687,0.000132337,0.000137039,9.09424e-05,8.48041e-05,
400,0.0190242,0.0196,0.0191577,0.0193263,0.0193172,0.0193228,0.0190307,0.0193342,0.0194557,0.0196,0.0189267,0.0191759,0.0194727,0.0196,0.0193333,0.0194526,0.0192103,0.0191488,0.0194614,0.0191834,0.0196,0.0196,0.0191778,0.0193228,0.0193407,0.0191435,0.0193383,0.0194727,0.0190416,0.0182598,0.0189796,0.0196,0.0189412,0.0191028,0.0183084,0.0187953,0.0165488,0.0176409,0.0102417,0.0169084,0.00597222,0.0163737,0.00678073,0.0141281,0.00410429,0.0139367,0.0062449,0.0111717,0.00658482,0.01,0.00934316,0.00775094,0.00849661,0.00691717,0.00936082,0.00653456,0.0076423,0.00596364,0.00673542,0.00548068,0.00733333,0.00511365,0.00681494,0.00615376,0.00600036,0.00564149,0.00660863,0.00541577,0.00683488,0.00498299,0.0068547,0.00629024,0.00497608,0.0065511,0.00672678,0.00554642,0.00473129,0.00569023,0.00400419,0.00380608,0.00269552,0.0026289,0.00196755,0.001805,0.00131762,0.00116577,0.000868697,0.000839821,0.000494053,0.000532663,0.000346856,0.000397791,0.000222616,0.000249305,0.000122736,0.000158939,0.000132337,0.000137039,8.09902e-05,7.63237e-05,
600,0.026275,0.02744,0.0264876,0.0263747,0.0268635,0.0262208,0.0264488,0.0266887,0.0270117,0.0265804,0.0263061,0.025897,0.0269232,0.0269788,0.0267183,0.0257037,0.0262021,0.0257325,0.0270453,0.0264842,0.02744,0.026606,0.0261578,0.0259663,0.0268874,0.0258242,0.0266981,0.0266596,0.0259862,0.0250874,0.0259904,0.0264792,0.0256157,0.0255375,0.0197886,0.0225899,0.0165488,0.0189899,0.0080288,0.0182918,0.005375,0.0172078,0.00610266,0.0149315,0.00367468,0.0148658,0.00726557,0.01042,0.00738963,0.00945455,0.00990375,0.00775094,0.00849661,0.00622546,0.00936082,0.00496627,0.00703092,0.00465164,0.0061914,0.00430462,0.00616,0.0037841,0.00609902,0.00435028,0.00408249,0.00340916,0.00484633,0.00350504,0.00420382,0.00297117,0.00433439,0.00320117,0.00333812,0.00381728,0.00442909,0.00296808,0.00326612,0.00264835,0.00292449,0.00212794,0.00171245,0.00156124,0.00154535,0.00115589,0.0011797,0.00081729,0.000703645,0.000680255,0.000434767,0.00041015,0.000283265,0.000288831,0.000207775,0.00020171,0.00010565,0.000131693,0.000114123,0.000117572,6.90709e-05,6.05718e-05,
800,0.0362542,0.037601,0.0363602,0.0357524,0.0368265,0.0361685,0.0367344,0.0361511,0.0370219,0.0369413,0.0349302,0.0360044,0.0370874,0.0375273,0.0366041,0.0357281,0.0361071,0.0357894,0.0373483,0.0365203,0.036736,0.0364658,0.0348603,0.0358119,0.0376424,0.0348879,0.0341502,0.0356113,0.0329335,0.0336466,0.0345672,0.033099,0.0340323,0.0304947,0.0255489,0.0225899,0.0202479,0.0189899,0.0104532,0.0192624,0.00681621,0.0172078,0.00788752,0.0149315,0.00477371,0.0132975,0.00875209,0.00896302,0.00804967,0.0089477,0.00990375,0.00775094,0.00849661,0.00622546,0.00936082,0.0040598,0.00703092,0.00386086,0.0054724,0.00349197,0.00517666,0.00296906,0.00501475,0.00340113,0.00303385,0.00254643,0.00338212,0.00242707,0.00294719,0.0019382,0.00290521,0.00189193,0.00249202,0.00195105,0.00273267,0.00185032,0.00224924,0.00149645,0.0018104,0.00111997,0.00115348,0.000790587,0.00102813,0.000711668,0.00081745,0.000456387,0.000513794,0.000402364,0.00035506,0.000278429,0.000256462,0.00021001,0.000207775,0.000149958,0.00010565,0.000102428,0.000101049,9.91479e-05,6.90709e-05,6.05718e-05,
1000,0.0484418,0.0519319,0.0490105,0.0497096,0.0512223,0.0498321,0.0500288,0.0498504,0.0505085,0.051298,0.0473999,0.0497332,0.0515103,0.0508324,0.0487213,0.049387,0.049528,0.0482015,0.0516085,0.0490996,0.0505761,0.0494528,0.0473051,0.0471244,0.0490447,0.0448867,0.0441382,0.045862,0.0436544,0.0436136,0.046256,0.0354127,0.0413761,0.0355608,0.0298725,0.0245665,0.0242975,0.0203891,0.0137869,0.0206908,0.00870805,0.0158244,0.0100008,0.0123264,0.00616329,0.0132975,0.0105324,0.00801273,0.00884598,0.0089477,0.0110225,0.00613336,0.00900279,0.0051918,0.00887769,0.00374868,0.00703092,0.00347477,0.0054724,0.00310854,0.0043771,0.00262717,0.00402163,0.00288749,0.00284464,0.00197051,0.00288492,0.00184808,0.00233464,0.00142794,0.00243484,0.00137414,0.00202294,0.00133786,0.00197716,0.00132543,0.00158697,0.000875096,0.00114518,0.000654299,0.000895496,0.000567449,0.000833325,0.000447334,0.000690291,0.000281966,0.000442653,0.000261536,0.000292241,0.000186779,0.000200559,0.000161575,0.000207775,0.000125391,0.000114339,8.28231e-05,9.39754e-05,7.33695e-05,6.90709e-05,5.18683e-05,
1200,0.0666512,0.071373,0.0666927,0.0670573,0.0700038,0.0661408,0.0674346,0.0678733,0.0701912,0.0683309,0.0618022,0.0685903,0.0672087,0.0674199,0.0658447,0.0665961,0.066935,0.0645006,0.0701668,0.0643642,0.0682261,0.0668097,0.0637374,0.061935,0.0653295,0.0559002,0.058037,0.0594476,0.0532913,0.0517795,0.0600471,0.0403397,0.0511494,0.0392016,0.0354598,0.0245665,0.0281424,0.022559,0.0169297,0.0220058,0.011019,0.014242,0.0124546,0.0123264,0.00768598,0.0124881,0.0121123,0.00873111,0.00946708,0.00822176,0.0110225,0.00613336,0.00854382,0.0051918,0.00786309,0.00335408,0.00703092,0.00318934,0.0054724,0.00285037,0.00411104,0.00244488,0.00402163,0.00230464,0.00264907,0.00184925,0.00235866,0.00160393,0.00218051,0.00126306,0.0020855,0.00102042,0.00163575,0.00102278,0.00146351,0.000826142,0.00108821,0.000650316,0.000948865,0.000543966,0.000801423,0.000434857,0.000687937,0.00036462,0.000566039,0.000245311,0.000395844,0.000218024,0.000274945,0.000158946,0.000182469,0.000120687,0.00017471,9.93749e-05,0.000114339,6.70868e-05,0.000103461,6.32713e-05,6.90709e-05,4.47953e-05,
1400,0.0884643,0.0959571,0.0903105,0.0916695,0.0949617,0.0895351,0.091135,0.0929234,0.0945734,0.0917586,0.085886,0.0933628,0.0918518,0.0900974,0.086945,0.0872885,0.0872104,0.086976,0.0942989,0.083881,0.0930128,0.0861919,0.0829972,0.0792538,0.0836218,0.0709932,0.0736817,0.0672639,0.0625743,0.0574898,0.0701603,0.043029,0.060089,0.0337398,0.0387887,0.0271676,0.0309566,0.02502,0.0197684,0.0220058,0.0137789,0.014242,0.0145123,0.0123264,0.00918008,0.0124881,0.0134966,0.00873111,0.0102817,0.00822176,0.0110225,0.00613336,0.00854382,0.0051918,0.00742712,0.00335408,0.00618135,0.00302374,0.00495458,0.00263193,0.0037874,0.00215426,0.00354062,0.00202715,0.0025019,0.00171476,0.00235866,0.0014727,0.0019984,0.00103826,0.00188921,0.00102042,0.00145757,0.000885633,0.00122464,0.000747183,0.000890188,0.000485236,0.000780989,0.000483903,0.000654496,0.000391371,0.000593664,0.000264746,0.000429335,0.000220779,0.000361514,0.000197475,0.000274945,0.000148452,0.000182469,0.000109267,0.00017471,9.40381e-05,0.00012077,6.70868e-05,0.000103461,6.32713e-05,7.56491e-05,4.47953e-05,
1600,0.116628,0.129636,0.119563,0.122396,0.124598,0.114671,0.120394,0.120368,0.12476,0.120286,0.114816,0.12893,0.12434,0.12124,0.113908,0.117486,0.111499,0.113349,0.122233,0.113864,0.120323,0.108472,0.101106,0.0976156,0.108872,0.0856266,0.0949676,0.0813281,0.0773878,0.0647042,0.0810575,0.043029,0.0698767,0.0360983,0.0413746,0.0271676,0.0329151,0.02502,0.0243811,0.0220058,0.0164307,0.014242,0.0145123,0.011479,0.0105829,0.010958,0.015656,0.00811993,0.0109671,0.00822176,0.0100748,0.00581679,0.00805561,0.00491854,0.00806373,0.00335408,0.00618135,0.00320576,0.00495458,0.00263193,0.00402617,0.00215426,0.00354062,0.00202715,0.00265933,0.001551,0.00235866,0.0014727,0.0017486,0.00103826,0.00170029,0.000907526,0.00129752,0.000806107,0.0011331,0.000631777,0.000816517,0.000485236,0.000723885,0.000397072,0.000582083,0.000315312,0.000528589,0.000241029,0.000429335,0.000207713,0.000361514,0.000184459,0.000274945,0.000140609,0.000182469,9.65777e-05,0.00017471,8.91554e-05,0.000111624,7.10981e-05,0.000103461,5.4463e-05,7.56491e-05,4.47953e-05,
1800,0.149423,0.161849,0.155063,0.152341,0.158862,0.147308,0.156058,0.15443,0.156496,0.158479,0.150971,0.163473,0.158682,0.155697,0.149457,0.150468,0.147706,0.143858,0.158779,0.144754,0.156174,0.131655,0.123574,0.122463,0.130886,0.104166,0.117672,0.0958664,0.0983112,0.0708933,0.0945418,0.0472857,0.0769988,0.0388808,0.0477759,0.0287861,0.038734,0.0233709,0.0265308,0.020525,0.0200156,0.014242,0.0163989,0.0106755,0.0113922,0.00952678,0.0165046,0.00811993,0.0109671,0.00822176,0.0100748,0.00523512,0.00864428,0.00491854,0.0073704,0.00368588,0.00618135,0.00286717,0.00495458,0.00263193,0.00402617,0.00215426,0.00354062,0.00202715,0.00296725,0.00143283,0.00235866,0.00129118,0.00154554,0.00103826,0.00178531,0.000907526,0.00129752,0.000806107,0.00101979,0.000631777,0.000816517,0.000485236,0.000632037,0.000362931,0.000582083,0.000283781,0.000494803,0.000241029,0.000429335,0.000181696,0.000361514,0.000162533,0.000258026,0.000140609,0.000182469,9.65777e-05,0.00017471,8.91554e-05,0.000118708,7.10981e-05,0.000103461,5.4463e-05,7.56491e-05,4.47953e-05,
2000,0.197823,0.208605,0.199683,0.195355,0.209527,0.19299,0.203256,0.19788,0.203785,0.191056,0.190915,0.213144,0.196561,0.200515,0.185795,0.19223,0.187777,0.179605,0.201228,0.170015,0.191614,0.15826,0.148773,0.151455,0.158478,0.123595,0.138325,0.111656,0.120655,0.0756195,0.105887,0.0539057,0.0877465,0.0388808,0.0523925,0.0287861,0.0440741,0.0233709,0.0303898,0.0182444,0.0233886,0.0160687,0.020523,0.0106755,0.0137339,0.0100238,0.0179286,0.00888221,0.0123525,0.00767364,0.0100748,0.00556516,0.00795274,0.00491854,0.00778251,0.00368588,0.00618135,0.00286717,0.00445912,0.00263193,0.00402617,0.00197948,0.00325054,0.00202715,0.00296725,0.00143283,0.00235866,0.00129118,0.00172907,0.000984352,0.00178531,0.000857288,0.00136472,0.000716336,0.00101979,0.000562405,0.000726179,0.00044129,0.000593142,0.000362931,0.000582083,0.000245944,0.000494803,0.000241029,0.000404802,0.000181696,0.000329128,0.000162533,0.000244782,0.000132205,0.00019315,9.65777e-05,0.000162378,8.91554e-05,0.000118708,7.10981e-05,0.000103461,5.4463e-05,7.56491e-05,4.47953e-05,
