mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,1,1,1,1,0.98,0.96,0.96,0.96,0.92,0.9,0.81,0.75,0.72,0.64,0.49,0.53,0.21,0.38,0.33,0.31,0.3,0.15,0.18,0.23,0.32,0.2,0.25,0.19,0.26,0.26,0.36,0.33,0.43,0.4,0.35,0.35,0.36,0.28,0.27,0.21,0.14,0.1,0.06,0.04,
400,1,0.995,1,0.995,0.995,1,1,0.99,0.995,0.97,0.98,0.97,0.945,0.94,0.915,0.795,0.65,0.575,0.54,0.28,0.35,0.255,0.31,0.335,0.27,0.185,0.15,0.27,0.3,0.37,0.295,0.36,0.305,0.375,0.375,0.46,0.455,0.425,0.46,0.405,0.41,0.455,0.405,0.355,0.37,0.305,0.22,0.195,0.145,
600,1,0.996667,1,0.996667,0.996667,1,1,0.99,0.983333,0.966667,0.973333,0.956667,0.95,0.926667,0.883333,0.766667,0.566667,0.48,0.36,0.436667,0.453333,0.33,0.416667,0.483333,0.383333,0.32,0.386667,0.4,0.446667,0.5,0.47,0.48,0.42,0.466667,0.486667,0.556667,0.546667,0.48,0.566667,0.513333,0.506667,0.54,0.536667,0.523333,0.516667,0.476667,0.403333,0.35,0.353333,
800,1,0.9975,1,0.9975,0.9975,0.9975,0.995,0.9925,0.9825,0.9675,0.9575,0.95,0.9375,0.8675,0.8325,0.75,0.575,0.4675,0.425,0.5125,0.53,0.445,0.5075,0.535,0.46,0.4375,0.4625,0.4775,0.5225,0.575,0.5575,0.5375,0.475,0.52,0.56,0.605,0.605,0.555,0.585,0.57,0.565,0.6125,0.595,0.5825,0.5625,0.5525,0.4875,0.4475,0.4575,
1000,1,0.998,1,0.998,0.998,0.996,0.996,0.992,0.982,0.966,0.958,0.924,0.914,0.832,0.824,0.708,0.606,0.478,0.48,0.57,0.562,0.526,0.55,0.586,0.526,0.512,0.516,0.516,0.576,0.612,0.608,0.586,0.534,0.564,0.602,0.626,0.628,0.604,0.612,0.62,0.602,0.644,0.638,0.62,0.588,0.584,0.534,0.512,0.518,
1200,1,0.998333,1,0.996667,0.998333,0.996667,0.995,0.988333,0.976667,0.966667,0.958333,0.916667,0.901667,0.825,0.785,0.708333,0.621667,0.52,0.516667,0.6,0.586667,0.575,0.586667,0.61,0.551667,0.555,0.558333,0.546667,0.605,0.641667,0.633333,0.628333,0.573333,0.595,0.615,0.65,0.65,0.623333,0.628333,0.64,0.616667,0.666667,0.653333,0.651667,0.611667,0.61,0.563333,0.543333,0.556667,
1400,1,0.997143,1,0.997143,0.998571,0.997143,0.995714,0.99,0.977143,0.962857,0.954286,0.911429,0.898571,0.824286,0.777143,0.695714,0.634286,0.54,0.538571,0.605714,0.608571,0.607143,0.614286,0.611429,0.581429,0.582857,0.58,0.581429,0.614286,0.654286,0.658571,0.645714,0.601429,0.624286,0.634286,0.662857,0.661429,0.64,0.634286,0.667143,0.637143,0.665714,0.667143,0.667143,0.625714,0.617143,0.607143,0.57,0.577143,
1600,1,0.99625,1,0.9975,0.99875,0.995,0.99625,0.985,0.97875,0.9625,0.95375,0.91375,0.90125,0.81375,0.7675,0.68875,0.64,0.5475,0.555,0.61375,0.61,0.62,0.63375,0.6275,0.60125,0.6075,0.59875,0.6025,0.6225,0.67625,0.65875,0.655,0.62375,0.63625,0.6475,0.67375,0.66625,0.66,0.6475,0.675,0.6525,0.6875,0.68,0.6775,0.6425,0.6275,0.625,0.58375,0.59875,
1800,1,0.996667,0.998889,0.996667,0.998889,0.994444,0.994444,0.983333,0.978889,0.962222,0.951111,0.91,0.893333,0.806667,0.757778,0.673333,0.646667,0.566667,0.558889,0.628889,0.615556,0.645556,0.641111,0.647778,0.613333,0.62,0.612222,0.615556,0.641111,0.686667,0.67,0.664444,0.635556,0.638889,0.658889,0.682222,0.674444,0.664444,0.658889,0.667778,0.67,0.694444,0.694444,0.69,0.648889,0.642222,0.627778,0.6,0.611111,
2000,1,0.997,0.998,0.996,0.999,0.993,0.992,0.983,0.976,0.96,0.94,0.905,0.888,0.793,0.76,0.684,0.646,0.581,0.569,0.638,0.627,0.649,0.657,0.668,0.625,0.629,0.62,0.629,0.661,0.697,0.674,0.676,0.643,0.646,0.674,0.688,0.677,0.669,0.663,0.67,0.673,0.69,0.7,0.696,0.66,0.653,0.646,0.612,0.624,
