mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.970297,0.979798,1,0.960396,1,1,0.989011,0.981651,0.989247,0.981308,1,0.960396,0.971154,0.96875,0.970588,0.979592,0.990291,0.969072,0.989362,0.990566,0.990291,0.969072,0.979592,0.990196,0.959184,0.980392,0.990385,0.979167,0.977011,0.982301,0.969072,0.980583,0.990476,0.989474,0.960784,0.959184,0.953271,0.924731,0.941748,0.917526,0.888889,0.869565,0.847826,0.787037,0.735849,0.787234,0.690722,0.650485,0.628571,0.568421,0.505155,0.524272,0.578431,0.540816,0.517857,0.534091,0.45098,0.602041,0.316327,0.490196,0.31068,0.402062,0.427273,0.444444,0.425743,0.282828,0.38,0.36,0.45098,0.357143,0.421569,0.357143,0.351351,0.370787,0.451613,0.383178,0.408163,0.411765,0.440367,0.461538,0.538462,0.422018,0.465116,0.447368,0.48,0.39,0.412371,0.524272,0.431373,0.469388,0.509615,0.447917,0.521739,0.305556,0.287129,0.575758,0.40566,0.457447,0.43617,0.471698,
400,1,0.977528,1,0.978947,0.989362,1,0.990566,0.989362,1,0.989362,1,0.990099,1,0.980769,0.979381,0.990291,0.989691,1,1,0.99,1,0.981481,1,0.981982,0.979592,0.941176,0.973451,1,0.99115,0.954023,0.981132,0.968085,0.989474,0.942857,0.970297,0.959596,0.961905,0.936842,0.917431,0.824176,0.683168,0.787879,0.71134,0.504854,0.376238,0.525253,0.677083,0.307692,0.278351,0.592233,0.207547,0.574468,0.29703,0.484848,0.27551,0.401961,0.40404,0.386139,0.365385,0.333333,0.464286,0.329545,0.420561,0.376344,0.352273,0.3125,0.427184,0.257732,0.37037,0.163043,0.536842,0.238095,0.447059,0.304348,0.373737,0.306931,0.436893,0.391753,0.365591,0.345794,0.393939,0.376238,0.354167,0.480769,0.407767,0.453608,0.431373,0.346939,0.447619,0.515789,0.435644,0.515152,0.50495,0.434343,0.462366,0.439252,0.556701,0.504854,0.460674,0.45045,
600,1,0.981481,1,0.990099,0.989691,0.990291,0.990196,0.979592,0.979167,0.961538,0.990385,1,0.989247,1,1,0.981818,1,0.97,1,0.965909,0.99115,0.942529,0.989796,0.980392,1,0.963636,0.990476,0.978947,0.990476,0.978947,0.989899,0.980198,1,0.959596,0.980583,0.907216,0.915888,0.774194,0.230769,0.854167,0.732558,0.578947,0.757576,0.633663,0.78022,0.504587,0.704082,0.519608,0.68932,0.474227,0.695238,0.442105,0.608247,0.417476,0.634615,0.447917,0.523364,0.301075,0.585859,0.277228,0.38,0.44,0.265957,0.235849,0.420455,0.3125,0.378641,0.257732,0.336957,0.25,0.197917,0.173077,0.239583,0.144231,0.211009,0.120879,0.244681,0.226415,0.29,0.16,0.192771,0.205128,0.336538,0.25,0.371429,0.242105,0.393939,0.29703,0.36,0.28,0.380531,0.333333,0.48,0.5,0.598039,0.346939,0.524272,0.443299,0.584071,0.45977,
800,0.969072,0.961165,0.989474,0.952381,0.980769,0.979167,0.969388,1,0.980769,1,0.980769,0.979167,0.938144,0.980583,0.962617,0.989247,0.971698,0.968085,0.979798,0.990099,0.989899,0.970297,1,0.978261,1,0.944444,0.970874,0.969072,0.981308,0.978495,0.926606,0.978022,0.850467,0.892473,0.626263,0.821782,0.604167,0.653846,0.778846,0.520833,0.80198,0.59596,0.663265,0.686275,0.7,0.49,0.568421,0.666667,0.650485,0.42268,0.642105,0.495238,0.690722,0.456311,0.650943,0.446809,0.585106,0.433962,0.477273,0.428571,0.474227,0.417476,0.416667,0.315217,0.42,0.31,0.257732,0.378641,0.308511,0.235849,0.236559,0.214953,0.242424,0.188119,0.247423,0.126214,0.179775,0.135135,0.196078,0.0714286,0.216495,0.126214,0.205882,0.102041,0.3,0.13,0.313725,0.295918,0.446809,0.273585,0.474747,0.277228,0.383929,0.375,0.552381,0.347368,0.59292,0.517241,0.576923,0.489583,
1000,0.988506,1,0.963636,0.977778,0.989899,0.970297,0.99,0.98,0.978495,0.962617,0.979381,0.970874,0.98,0.95,0.988636,0.946429,0.963303,0.967033,0.981132,0.893617,0.942529,0.955752,0.980198,0.949495,0.977778,0.972727,0.968085,0.962264,0.967391,0.898148,0.77451,0.826531,0.719626,0.709677,0.831579,0.619048,0.732143,0.636364,0.819048,0.621053,0.686275,0.561224,0.694444,0.597826,0.754545,0.7,0.611111,0.718182,0.818182,0.554455,0.702703,0.573034,0.632653,0.5,0.59434,0.5,0.466667,0.418182,0.606742,0.504505,0.568421,0.447619,0.54,0.47,0.45614,0.383721,0.378947,0.32381,0.415094,0.361702,0.409524,0.347368,0.285714,0.22549,0.296,0.28,0.325581,0.192982,0.29703,0.30303,0.355556,0.263636,0.454545,0.288889,0.405405,0.337079,0.422222,0.336364,0.380435,0.37037,0.5,0.44898,0.510417,0.509615,0.536082,0.495146,0.46875,0.451923,0.62,0.55,
1200,0.934579,0.946237,0.972222,0.956522,0.967742,0.981308,0.969072,0.980583,0.927835,0.970874,0.945946,0.94382,0.957895,0.971429,0.957447,0.962264,0.971429,0.926316,0.956989,0.962617,0.960784,0.959184,0.978723,0.924528,0.93578,0.956044,0.886957,0.847059,0.861702,0.896226,0.782609,0.729412,0.621053,0.6,0.721739,0.611765,0.700935,0.698925,0.777778,0.574257,0.63,0.68,0.69,0.68,0.628571,0.578947,0.643478,0.717647,0.709091,0.566667,0.721649,0.553398,0.529412,0.604938,0.628571,0.494737,0.586207,0.530973,0.524752,0.565657,0.584158,0.505051,0.471154,0.479167,0.54,0.44,0.489796,0.441176,0.4,0.552381,0.478723,0.386792,0.444444,0.386139,0.354545,0.355556,0.387387,0.292135,0.415842,0.40404,0.415094,0.414894,0.330097,0.402062,0.465116,0.54386,0.523364,0.430108,0.521277,0.424528,0.472222,0.51087,0.45045,0.52809,0.486726,0.505747,0.61,0.52,0.563218,0.548673,
1400,0.89011,0.908257,0.904762,0.905263,0.933962,0.914894,0.930233,0.912281,0.915094,0.93617,0.943182,0.875,0.977011,0.911504,0.95,0.93,0.926606,0.901099,0.936364,0.9,0.892157,0.938776,0.819149,0.877358,0.821782,0.848485,0.880734,0.791209,0.79798,0.732673,0.820513,0.674699,0.822917,0.721154,0.76699,0.618557,0.640777,0.57732,0.8,0.610526,0.586538,0.583333,0.684783,0.675926,0.632653,0.676471,0.65,0.59,0.650485,0.639175,0.636364,0.455357,0.605769,0.604167,0.454545,0.623762,0.638554,0.538462,0.574074,0.456522,0.540541,0.41573,0.612245,0.5,0.469388,0.607843,0.553571,0.534091,0.510204,0.598039,0.343137,0.44898,0.482143,0.431818,0.423077,0.40625,0.423077,0.416667,0.438095,0.410526,0.509615,0.416667,0.505155,0.407767,0.474747,0.445545,0.494845,0.553398,0.587629,0.524272,0.490385,0.520833,0.666667,0.445545,0.590164,0.448718,0.533333,0.554545,0.625,0.479167,
1600,0.969072,0.951456,0.915094,0.957447,0.917526,0.893204,0.945455,0.922222,0.968421,0.92381,0.951456,0.948454,0.941748,0.938144,0.956522,0.898148,0.891089,0.929293,0.865385,0.9375,0.922414,0.892857,0.932039,0.845361,0.938776,0.882353,0.895833,0.807692,0.794393,0.752688,0.810526,0.714286,0.730769,0.697917,0.711538,0.645833,0.721154,0.479167,0.795699,0.607477,0.699029,0.515464,0.59,0.61,0.735294,0.622449,0.604651,0.54386,0.644231,0.59375,0.653465,0.646465,0.563025,0.530864,0.742574,0.555556,0.623762,0.59596,0.653846,0.510417,0.46789,0.626374,0.592593,0.543478,0.542553,0.556604,0.481132,0.574468,0.46,0.52,0.5,0.511111,0.505051,0.514851,0.483516,0.568807,0.46875,0.471154,0.505376,0.46729,0.522727,0.5625,0.53012,0.538462,0.480392,0.479592,0.494845,0.533981,0.495146,0.484536,0.54,0.45,0.525773,0.533981,0.654206,0.516129,0.596639,0.506173,0.609524,0.578947,
1800,0.842105,0.904762,0.904762,0.926316,0.875,0.927083,0.891304,0.925926,0.90566,0.87234,0.893204,0.886598,0.801724,0.988095,0.835052,0.873786,0.873786,0.927835,0.888889,0.920792,0.92,0.86,0.814815,0.869565,0.806122,0.784314,0.785714,0.784314,0.690722,0.61165,0.701754,0.430233,0.72,0.62,0.765957,0.679245,0.685714,0.673684,0.732673,0.686869,0.670455,0.589286,0.65,0.62,0.72381,0.6,0.587629,0.621359,0.554217,0.538462,0.538462,0.559633,0.654206,0.526882,0.490196,0.561224,0.525773,0.592233,0.662791,0.570175,0.688679,0.62766,0.546392,0.495146,0.557895,0.485714,0.558824,0.591837,0.56701,0.514563,0.5,0.457447,0.54902,0.581633,0.531915,0.54717,0.442105,0.580952,0.552381,0.621053,0.590909,0.544643,0.557895,0.561905,0.55102,0.578431,0.570093,0.505376,0.626374,0.577982,0.617391,0.588235,0.462264,0.574468,0.632653,0.568627,0.610526,0.638095,0.625,0.557692,
2000,0.88,0.94,0.833333,0.891304,0.885714,0.894737,0.867925,0.882979,0.835052,0.825243,0.852941,0.877551,0.863158,0.780952,0.816327,0.843137,0.844037,0.846154,0.86,0.92,0.794118,0.867347,0.809524,0.821053,0.754902,0.816327,0.822917,0.701923,0.784483,0.75,0.691358,0.764706,0.649485,0.631068,0.7,0.566667,0.690722,0.679612,0.652174,0.685185,0.645833,0.653846,0.632075,0.56383,0.642857,0.602273,0.623762,0.676768,0.623762,0.626263,0.67619,0.578947,0.655556,0.618182,0.646465,0.60396,0.578431,0.602041,0.580645,0.588785,0.541284,0.648352,0.64486,0.526882,0.660194,0.525773,0.519608,0.602041,0.525253,0.49505,0.557692,0.604167,0.533333,0.609091,0.532609,0.518519,0.504762,0.515789,0.556701,0.660194,0.5,0.509615,0.564815,0.586957,0.606061,0.574257,0.572816,0.536082,0.626374,0.577982,0.663366,0.565657,0.637363,0.541284,0.612245,0.578431,0.673913,0.592593,0.589474,0.590476,
