mc_step,l = 0error,l = 1error,l = 2error,l = 3error,l = 4error,l = 5error,l = 6error,l = 7error,l = 8error,l = 9error,l = 10error,l = 11error,l = 12error,l = 13error,l = 14error,l = 15error,l = 16error,l = 17error,l = 18error,l = 19error,l = 20error,l = 21error,l = 22error,l = 23error,l = 24error,l = 25error,l = 26error,l = 27error,l = 28error,l = 29error,l = 30error,l = 31error,l = 32error,l = 33error,l = 34error,l = 35error,l = 36error,l = 37error,l = 38error,l = 39error,l = 40error,l = 41error,l = 42error,l = 43error,l = 44error,l = 45error,l = 46error,l = 47error,l = 48error,l = 49error,
0,0.0647896,0.0545735,0.066886,0.0608596,0.0234294,0.042984,0.0636726,0.0670829,0.0271508,0.0538371,0.0129183,0.0246214,0.0623624,0.0635191,0.0535537,0.06767,0.0194273,0.0612423,0.0644681,0.0144499,0.0372095,0.060824,0.06669,0.0580027,0.062255,0.0458746,0.0668913,0.0629867,0.0581726,0.0664181,0.0210913,0.0492394,0.0590322,0.0618719,0.0200828,0.0629925,0.0465838,0.0544197,0.0643254,0.0684636,0.0405463,0.0555601,0.0285414,0.0511613,0.0591057,0.056576,0.0275883,0.0648867,0.0540056,0.0549882,
10,0.014555,0.0411417,0.0633793,0.0670409,0.0293987,0.0560298,0.0143593,0.0238597,0.0622677,0.0635331,0.0613496,0.0676393,0.0646226,0.0603312,0.0636951,0.0540628,0.0668304,0.0516498,0.0663115,0.0596769,0.0622292,0.0368044,0.0661168,0.0155324,0.0626906,0.0662262,0.0120979,0.0576928,0.0578802,0.0615346,0.0567888,0.0626581,0.0419826,0.0533395,0.0635309,0.0682888,0.0444859,0.0551838,0.0181965,0.0507003,0.0588952,0.010777,0.0565168,0.0648609,0.0455904,0.0549734,0.0401717,0.0539971,0.0283935,0.0275796,
20,0.0508064,0.0170008,0.0231428,0.0627084,0.0634842,0.0605807,0.0675761,0.0655177,0.0583577,0.0633737,0.0625523,0.0675943,0.0540439,0.0666362,0.0672925,0.0245553,0.0399475,0.0657221,0.061666,0.0616862,0.0658612,0.0138782,0.0594928,0.0572801,0.0605885,0.0486851,0.0616673,0.0319214,0.0567167,0.0627951,0.068198,0.0547071,0.0545003,0.0128527,0.0508628,0.0581425,0.010498,0.0555654,0.0646383,0.0474045,0.0542986,0.0415446,0.0539005,0.038289,0.0452917,0.0177347,0.040096,0.0106859,0.0283631,0.0275428,
30,0.0600201,0.0679033,0.0658905,0.0192897,0.0633328,0.0622871,0.067199,0.0626698,0.0658263,0.0673827,0.0577955,0.0542215,0.0664158,0.0620545,0.0619917,0.0653446,0.062488,0.0601253,0.046756,0.0592321,0.0253549,0.0614915,0.0334403,0.055412,0.0622694,0.068039,0.0261512,0.0553997,0.0129475,0.0545143,0.057752,0.0538692,0.0550654,0.0634528,0.0480515,0.0533435,0.0245669,0.0530559,0.0488173,0.0465425,0.0122813,0.0451433,0.00963544,0.0412288,0.0400575,0.0382664,0.0282257,0.0275244,0.0176701,0.0106588,
40,0.0621703,0.0668505,0.0628842,0.0660144,0.068007,0.0583429,0.0551522,0.0664101,0.062086,0.0622525,0.0661363,0.0194844,0.0593751,0.0593931,0.0630034,0.0680359,0.0629063,0.0658177,0.0612439,0.061768,0.068017,0.0593236,0.0552104,0.0534729,0.054391,0.0568837,0.0386335,0.0540226,0.0632271,0.0205852,0.0536917,0.0276963,0.0521028,0.0523317,0.0254069,0.0455163,0.046109,0.0126084,0.0447058,0.0447319,0.0408926,0.0224157,0.0397274,0.0368915,0.0280813,0.0118338,0.0275019,0.00951384,0.0176123,0.0106006,
50,0.0575824,0.0551363,0.0664354,0.0622886,0.0622597,0.0660274,0.0221674,0.0593825,0.0593486,0.0631461,0.0673884,0.0621577,0.0659199,0.0665411,0.063196,0.0679381,0.0681901,0.0621267,0.0613999,0.0623826,0.065476,0.0594233,0.0565056,0.0625184,0.0547648,0.0532362,0.0532909,0.0535296,0.0523182,0.0521735,0.0502719,0.0402342,0.0408329,0.0415662,0.0348484,0.0431054,0.0189842,0.0396077,0.0217164,0.0389001,0.0230467,0.0366955,0.0277648,0.0125854,0.0273984,0.0222074,0.0174706,0.011819,0.0105874,0.00950645,
60,0.0655461,0.0258854,0.060152,0.0592252,0.0633054,0.0674632,0.0615483,0.0660594,0.0663722,0.0632915,0.0680954,0.0685326,0.0658082,0.061781,0.0630674,0.0656094,0.0625194,0.0618778,0.0630909,0.06176,0.0598075,0.0572852,0.0543254,0.054412,0.0537598,0.0522879,0.0524569,0.0519347,0.0508355,0.0508377,0.0479029,0.0424898,0.0407695,0.0397391,0.0387669,0.0375841,0.036574,0.036058,0.0344143,0.0259147,0.026416,0.0178822,0.0228882,0.0200581,0.0221461,0.0171588,0.0125718,0.0117593,0.0105586,0.00947294,
70,0.0674781,0.0610766,0.0665693,0.0661548,0.0630506,0.0684036,0.0686725,0.0662534,0.0622544,0.0624506,0.0656728,0.0628994,0.0613214,0.0633062,0.0614519,0.0652154,0.0580546,0.0594894,0.060648,0.0577513,0.0623206,0.0538967,0.052758,0.0527496,0.0521245,0.0236576,0.0514258,0.0503805,0.0499519,0.0494502,0.044151,0.0421317,0.0395504,0.0369999,0.0360551,0.0353367,0.0334784,0.0333111,0.0314377,0.0251897,0.0241248,0.0227478,0.0209613,0.0199162,0.0177863,0.0169481,0.0125417,0.0117098,0.0105174,0.00945142,
80,0.068076,0.0685194,0.0669329,0.0624346,0.0621565,0.0657973,0.0628963,0.0609489,0.0638548,0.0615621,0.0649643,0.0676184,0.0663388,0.060055,0.0666372,0.0583387,0.0623973,0.0608464,0.0633866,0.0529656,0.0535886,0.0576281,0.0577048,0.0512417,0.0506914,0.0493855,0.0484554,0.0482229,0.0477543,0.0404039,0.0222496,0.0379308,0.0363488,0.0338209,0.0315108,0.0328378,0.0325547,0.0291956,0.0289786,0.025012,0.0226922,0.0209394,0.0207606,0.0193196,0.0177448,0.0167337,0.0125094,0.0116872,0.0104775,0.0094419,
90,0.0657396,0.0629801,0.0608688,0.0639478,0.0608988,0.0648977,0.0678565,0.0666213,0.0683829,0.066812,0.0679485,0.0622016,0.0590328,0.0627293,0.0581596,0.0606282,0.0670528,0.0618176,0.062398,0.0568023,0.0574069,0.0526253,0.0509647,0.0499799,0.0498218,0.0483531,0.0461399,0.0451244,0.0439386,0.0378716,0.0356423,0.0338209,0.0323287,0.0319867,0.0312763,0.0175596,0.0280066,0.0266972,0.025498,0.0249821,0.0226396,0.0199429,0.0197433,0.0186354,0.0176829,0.0165674,0.012486,0.0116651,0.010437,0.00942814,
100,0.0658344,0.0675103,0.0666738,0.0683986,0.0668694,0.0682185,0.0632089,0.0592081,0.062163,0.06429,0.0599388,0.0670949,0.0656282,0.0619156,0.0582479,0.0573671,0.0619841,0.0639117,0.0620797,0.0616306,0.0567217,0.053138,0.0497374,0.0505447,0.0493285,0.0472495,0.0436555,0.0389549,0.0390332,0.0335862,0.0333416,0.0329681,0.0314114,0.0306081,0.0245962,0.0232002,0.0244423,0.0221874,0.0227224,0.0225351,0.0185504,0.0151515,0.0182913,0.0180101,0.0176604,0.0162388,0.0124848,0.0116156,0.0104128,0.00942345,
110,0.0679464,0.0632924,0.058805,0.0621639,0.0646404,0.058947,0.0673255,0.0655893,0.0623372,0.0573106,0.0575669,0.0619379,0.0642952,0.0621657,0.0623352,0.0656926,0.0677918,0.0671894,0.0683522,0.067159,0.0524635,0.0499237,0.0492942,0.0569754,0.0486822,0.0452157,0.0431395,0.03575,0.034656,0.0323456,0.0316345,0.0294951,0.0293131,0.0275026,0.0242383,0.021658,0.0218968,0.021427,0.018637,0.0162319,0.0173851,0.0168646,0.0175468,0.0173675,0.0160554,0.0147145,0.0124667,0.0115931,0.0103661,0.00941097,
120,0.0602309,0.0671181,0.0659961,0.0625587,0.0560921,0.0570965,0.0618032,0.0645612,0.0632535,0.0620567,0.0657589,0.0677237,0.0670071,0.0685565,0.0673306,0.0676841,0.0615474,0.0627047,0.064268,0.0579405,0.055908,0.0506145,0.0479655,0.0470097,0.045633,0.0429249,0.0403163,0.0328393,0.0327172,0.0301287,0.0287316,0.026693,0.0249449,0.0240816,0.0220432,0.0212637,0.0201561,0.0191095,0.0175347,0.0172189,0.0164046,0.0158264,0.0162469,0.0156272,0.0154832,0.014426,0.0124667,0.0115554,0.0103289,0.00939998,
130,0.0569151,0.0622854,0.0642353,0.0633079,0.0624794,0.0655111,0.0674886,0.0667738,0.068286,0.0668605,0.0682466,0.0671077,0.0623975,0.0644014,0.0621791,0.0573356,0.0609796,0.0653519,0.0613254,0.0550581,0.0574673,0.0510893,0.0468228,0.0449907,0.0467306,0.0418767,0.037328,0.0298379,0.0283497,0.0261515,0.026651,0.0266109,0.0236761,0.0223359,0.0218138,0.0211329,0.0197784,0.0185655,0.0168035,0.015761,0.0148579,0.0153843,0.0153346,0.0151707,0.0149826,0.0141869,0.0124396,0.0115369,0.0103268,0.0093852,
140,0.0659509,0.0677733,0.0666117,0.0686255,0.067287,0.0677848,0.0665933,0.0624693,0.0640086,0.0619697,0.0625115,0.0620237,0.0650764,0.061909,0.0562361,0.057753,0.0619843,0.0641092,0.0580176,0.054276,0.0634566,0.0467852,0.0453848,0.0492837,0.0437736,0.0387375,0.0337902,0.0292892,0.0246572,0.0254266,0.0252508,0.0233961,0.0216256,0.021804,0.0191209,0.0208751,0.0191383,0.0183692,0.0165394,0.0147436,0.0144874,0.0142458,0.014707,0.0137789,0.0145081,0.0138215,0.0124397,0.0115094,0.0103253,0.00937848,
150,0.0682678,0.0660064,0.0623475,0.0628273,0.0624112,0.0629279,0.0616804,0.0652175,0.062799,0.0570922,0.056012,0.06072,0.0648212,0.067779,0.0657525,0.0663241,0.0632532,0.0687375,0.0672335,0.0577048,0.0513955,0.048473,0.0443058,0.0420487,0.0386085,0.0376691,0.0332447,0.0292892,0.0244001,0.0239632,0.0232757,0.0228587,0.0211645,0.0206432,0.0182686,0.0182477,0.0177435,0.0162847,0.0130036,0.0136026,0.013466,0.0134442,0.0137793,0.0137583,0.0132748,0.0134611,0.0124286,0.0114818,0.0102837,0.00936682,
160,0.0639446,0.0616365,0.0653235,0.0627838,0.062582,0.0565979,0.0613292,0.0651562,0.0675488,0.0661138,0.0662118,0.063438,0.0687164,0.0674108,0.0682153,0.0628767,0.0660867,0.0624024,0.0570815,0.0559011,0.051221,0.0468833,0.0431613,0.0400324,0.0354476,0.031927,0.028067,0.0260199,0.0231425,0.0225865,0.0219472,0.0207242,0.0203273,0.0203722,0.0175385,0.0176765,0.0154584,0.0160382,0.0130076,0.0112415,0.0131849,0.0130343,0.0119496,0.0129625,0.0120841,0.0128034,0.0124,0.0114447,0.010232,0.00935532,
170,0.0562812,0.0619431,0.0659541,0.067398,0.0660328,0.0659113,0.0632914,0.0688148,0.0674369,0.0679386,0.0634194,0.0665007,0.0649067,0.0641991,0.0623387,0.0628149,0.0627718,0.0620435,0.0570823,0.0557974,0.0497771,0.0468468,0.0425174,0.0365148,0.0346167,0.0278886,0.0218263,0.024821,0.0225646,0.0218948,0.0215891,0.020479,0.0198951,0.0171115,0.017054,0.0158828,0.0151907,0.012951,0.013006,0.0127681,0.0112513,0.0127291,0.0107803,0.0123301,0.00995728,0.0119451,0.0118451,0.0114096,0.0101716,0.00933841,
