mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.386434,0.0231303,0.272728,0.264666,0.511802,0.735871,0.896546,0.783026,0.870474,0.0402698,0.0966289,0.797242,0.0162652,0.206466,0.55169,0.0498148,0.999294,0.494513,0.863292,0.589987,0.63485,0.576849,0.926461,0.815302,0.609786,0.753983,0.792266,0.480996,0.383897,0.841637,0.298013,0.498492,0.536511,0.952649,0.80088,0.263044,0.669993,0.833648,0.684326,0.493537,0.74958,0.570047,0.358895,0.183236,0.432208,0.972929,0.00979332,0.236997,0.918631,0.534493,0.806488,0.763706,0.0101451,0.188897,0.217916,0.689054,0.259763,0.656205,0.864172,0.503723,0.735907,0.389093,0.699232,0.608642,0.796133,0.139802,0.214441,0.541363,0.359739,0.851289,0.680726,0.987894,0.00196732,0.925845,0.979235,0.29454,0.0278535,0.221625,0.0814022,0.635734,0.459727,0.560899,0.250206,0.0345742,0.256853,0.607302,0.390059,0.91391,0.254658,0.339866,0.652644,0.367778,0.509555,0.175879,0.327115,0.478413,0.0993363,0.229944,0.97472,0.0178175,
20,0.0358675,0.773488,0.0346805,0.199054,0.578072,0.0415783,0.996115,0.513247,0.866251,0.586674,0.646751,0.540885,0.960605,0.797214,0.619544,0.805587,0.800088,0.414884,0.348449,0.851205,0.503886,0.696315,0.564482,0.998413,0.311223,0.489455,0.685025,0.849441,0.912821,0.794777,0.89055,0.00634649,0.252223,0.259209,0.430033,0.94409,0.751732,0.5454,0.939238,0.488055,0.80092,0.742188,0.380454,0.0179979,0.703051,0.480696,0.202593,0.688805,0.843656,0.474674,0.77875,0.220924,0.704092,0.562811,0.319698,0.152244,0.247805,0.62237,0.331039,0.831488,0.678202,0.981086,0.71375,0.344242,0.968085,0.282717,0.0099582,0.200668,0.172696,0.51236,0.455677,0.535945,0.0101451,0.150621,0.239756,0.589002,0.382653,0.904614,0.0489468,0.61947,0.649083,0.353153,0.788604,0.136819,0.324053,0.477601,0.000203992,0.925845,0.252513,0.336082,0.0256065,0.221467,0.508378,0.175389,0.250101,0.0337207,0.0993363,0.229651,0.97472,0.017573,
30,0.633189,0.52487,0.958376,0.8231,0.619783,0.830843,0.0489837,0.199624,0.368729,0.831612,0.506196,0.681632,0.525312,0.991247,0.860413,0.551529,0.685267,0.792325,0.942297,0.789886,0.793474,0.400528,0.310873,0.494671,0.451928,0.981049,0.787148,0.549323,0.937555,0.500371,0.737455,0.736951,0.973736,0.51027,0.714587,0.498952,0.015706,0.756053,0.82258,0.435261,0.603879,0.0503673,0.710658,0.553029,0.213974,0.206214,0.241053,0.582743,0.307707,0.822114,0.654335,0.980818,0.861208,0.0215409,0.164936,0.660947,0.363188,0.0054381,0.703758,0.342599,0.455677,0.522589,0.941224,0.275477,0.238286,0.573741,0.324843,0.87745,0.775487,0.21268,0.624215,0.339455,0.245373,0.122279,0.292806,0.474354,0.140378,0.495811,0.0430666,0.614265,0.00801596,0.192462,0.249417,0.33539,0.0164297,0.146961,0.78709,0.134126,0.507062,0.175311,0.000203992,0.92509,0.0988307,0.22877,0.974513,0.0174738,0.0256065,0.220837,0.249873,0.0335411,
40,0.504811,0.676619,0.500965,0.979402,0.871201,0.557518,0.68382,0.805788,0.951022,0.834183,0.809534,0.411841,0.298069,0.530604,0.447414,0.984183,0.809494,0.543138,0.930722,0.512731,0.772983,0.772183,0.066466,0.182153,0.707238,0.475292,0.651555,0.49541,0.980958,0.529916,0.999101,0.817866,0.370753,0.80468,0.584622,0.845708,0.769076,0.52249,0.305195,0.796458,0.662951,0.973746,0.799574,0.444764,0.232979,0.58311,0.136546,0.631484,0.693636,0.342599,0.442217,0.500979,0.00188634,0.745311,0.210324,0.565683,0.321384,0.866484,0.591092,0.0237363,0.923508,0.275477,0.195159,0.164739,0.600868,0.320817,0.286777,0.45954,0.85617,0.0172364,0.0846083,0.495811,0.0396035,0.614265,0.349279,0.0109773,0.246963,0.329635,0.775487,0.171501,0.784535,0.131449,0.241018,0.10973,0.504309,0.172644,0.000123884,0.919991,0.0984534,0.227715,0.00975843,0.184589,0.97397,0.0173838,0.0164297,0.14475,0.0253592,0.220758,0.249695,0.0330168,
50,0.808852,0.39047,0.297221,0.530699,0.434934,0.99641,0.836758,0.542753,0.940884,0.510135,0.790477,0.757367,0.0657513,0.205295,0.732518,0.467239,0.626079,0.50339,0.958548,0.542542,0.991715,0.77183,0.440541,0.71421,0.581075,0.855015,0.499863,0.954947,0.863013,0.574266,0.649337,0.974813,0.915521,0.863503,0.354388,0.774002,0.78638,0.522872,0.366246,0.778627,0.643568,0.790158,0.799035,0.448142,0.42061,0.500009,0.301641,0.842283,0.221449,0.578906,0.702359,0.315683,0.192211,0.560761,0.913869,0.274265,0.118375,0.620754,0.281799,0.458768,0.591856,0.289339,0.0116223,0.61309,0.0638904,0.43873,0.222895,0.296135,0.000728192,0.722753,0.758622,0.156859,0.582991,0.0130209,0.779668,0.120929,0.194273,0.122105,0.496645,0.166343,0.836734,0.00143585,0.000123884,0.913543,0.0983143,0.224831,0.349279,0.00828234,0.972202,0.0168889,0.239636,0.10887,0.0248874,0.220305,0.00975843,0.184324,0.249695,0.0328779,0.016516,0.144658,
60,0.775831,0.732846,0.108725,0.199513,0.739802,0.491407,0.630681,0.49735,0.962467,0.548493,0.977536,0.782482,0.429522,0.690871,0.597165,0.855571,0.498777,0.942317,0.882126,0.572466,0.640948,0.994015,0.910059,0.894784,0.410635,0.966626,0.353764,0.756067,0.391913,0.797619,0.631888,0.805109,0.861999,0.544523,0.94583,0.49362,0.294186,0.88446,0.783322,0.538378,0.85509,0.444722,0.823488,0.378637,0.258252,0.53442,0.407512,0.44643,0.19435,0.572933,0.681887,0.30222,0.88512,0.26024,0.170963,0.543083,0.245237,0.45089,0.118375,0.576569,0.571518,0.256279,0.721362,0.156859,0.207883,0.293914,0.0116223,0.601642,0.0461798,0.43873,0.774834,0.105269,0.000123884,0.909566,0.46077,0.148891,0.000728192,0.711491,0.0810063,0.223358,0.965346,0.0108431,0.577793,0.0016558,0.833434,0.000448867,0.186683,0.114417,0.239411,0.108559,0.023981,0.219053,0.348742,0.00829744,0.00990132,0.18326,0.24949,0.0326602,0.0167954,0.144172,
70,0.98492,0.780837,0.432497,0.666673,0.615864,0.882338,0.528382,0.905223,0.858307,0.569156,0.678795,0.999622,0.911712,0.9063,0.445722,0.972905,0.382287,0.759409,0.368043,0.780982,0.668347,0.790514,0.847846,0.565762,0.940717,0.47399,0.333587,0.860184,0.766014,0.531762,0.772306,0.714116,0.636691,0.45682,0.850236,0.435753,0.738598,0.509955,0.842963,0.386232,0.927418,0.516455,0.240416,0.535722,0.189141,0.548068,0.372457,0.421592,0.171393,0.547988,0.0884719,0.196597,0.676932,0.287424,0.86465,0.229886,0.116728,0.554487,0.219622,0.437728,0.567966,0.206254,0.700585,0.156859,0.207883,0.277697,0.0344938,0.43873,0.767221,0.0948993,0.000123884,0.869915,0.000728192,0.687715,0.00303822,0.578836,0.415292,0.122876,0.943335,0.00416059,0.0701574,0.217969,0.825609,0.000448867,0.232399,0.103502,0.18591,0.113824,0.575881,0.00069811,0.0233938,0.21816,0.347559,0.00840548,0.00990132,0.18237,0.248778,0.0325244,0.0169649,0.14385,
80,0.634628,0.996144,0.893893,0.900699,0.490915,0.993769,0.365691,0.781935,0.349311,0.779709,0.643814,0.811483,0.870417,0.558307,0.969139,0.453184,0.330242,0.898425,0.795892,0.526186,0.756977,0.705637,0.98939,0.789554,0.493018,0.943833,0.70796,0.498708,0.616876,0.886916,0.84434,0.402396,0.9318,0.518341,0.435106,0.654565,0.895362,0.572637,0.227113,0.519765,0.423576,0.417855,0.844775,0.382414,0.639766,0.445064,0.169828,0.525273,0.153248,0.528424,0.219622,0.436289,0.851916,0.204325,0.626689,0.24709,0.0811491,0.554487,0.547076,0.169666,0.0768798,0.195012,0.181807,0.273052,0.69894,0.106753,0.000123884,0.823068,0.021014,0.396954,0.00295914,0.570929,0.000728192,0.664857,0.762964,0.051404,0.38892,0.111708,0.941005,0.0029801,0.822522,0.000448867,0.0614556,0.199333,0.230127,0.103022,0.182538,0.111404,0.575599,1.37912e-05,0.0224385,0.217985,0.3463,0.00865197,0.0101439,0.181981,0.248125,0.0323737,0.0173453,0.143799,
90,0.642061,0.808491,0.854633,0.567165,0.956571,0.453596,0.351492,0.88512,0.788697,0.502831,0.776776,0.693579,0.997928,0.804382,0.497139,0.963378,0.91756,0.878756,0.598602,0.911302,0.661776,0.968361,0.933007,0.510021,0.677396,0.473991,0.877424,0.548737,0.834044,0.399959,0.435782,0.644413,0.512496,0.987994,0.317521,0.788113,0.352915,0.790112,0.86158,0.356766,0.646046,0.434097,0.415935,0.398266,0.21763,0.474791,0.168337,0.494354,0.132657,0.529953,0.206169,0.424169,0.851916,0.175054,0.603625,0.209989,0.0448864,0.544786,0.5254,0.150342,0.169329,0.253899,0.000123884,0.823068,0.00295914,0.560456,0.698793,0.0765863,0.000728192,0.634085,0.0467532,0.187628,0.744757,0.0466808,0.0105433,0.37746,0.382117,0.0908231,0.939199,0.0029801,0.819614,0.000448867,0.0607902,0.191652,0.229193,0.0971503,0.180395,0.107986,0.572743,1.37912e-05,0.0222991,0.216614,0.345382,0.00865197,0.0101439,0.181589,0.248087,0.0319415,0.017439,0.143581,
100,0.795942,0.742557,0.998088,0.778377,0.488967,0.973667,0.916459,0.880551,0.629883,0.897313,0.70288,0.968852,0.972198,0.541378,0.672829,0.481449,0.885248,0.522416,0.357917,0.902227,0.405675,0.632958,0.525173,0.982475,0.623599,0.810806,0.352914,0.763842,0.839882,0.400951,0.658693,0.428725,0.339679,0.778238,0.830686,0.61983,0.993011,0.488785,0.767478,0.538479,0.841061,0.35969,0.407403,0.414227,0.159919,0.496923,0.206621,0.473474,0.136363,0.512941,0.188211,0.415571,0.849008,0.148336,0.583131,0.148288,0.0201038,0.530916,0.000123884,0.815952,0.525536,0.113612,0.148847,0.238207,0.00295914,0.542005,0.000728192,0.618344,0.669639,0.0366282,0.73082,0.01927,0.926315,4.28648e-05,0.00881907,0.326086,0.3818,0.0744525,0.815154,0.000202889,0.226272,0.0909996,0.041552,0.173765,0.0536768,0.185681,0.17697,0.105485,0.571705,1.37912e-05,0.0216346,0.214697,0.34534,0.00886768,0.0102321,0.18071,0.247708,0.0318372,0.0176071,0.143532,
