mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.013703,0.013798,0.014,0.013604,0.014,0.014,0.0138901,0.0138165,0.0138925,0.0138131,0.014,0.013604,0.0137115,0.0136875,0.0137059,0.0137959,0.0139029,0.0136907,0.0138936,0.0139057,0.0139029,0.0136907,0.0137959,0.013902,0.0135918,0.0138039,0.0139038,0.0137917,0.0137701,0.013823,0.0136907,0.0138058,0.0139048,0.0138947,0.0136078,0.0135918,0.0135327,0.0132473,0.0134175,0.0131753,0.0128889,0.0126957,0.0124783,0.0118704,0.0113585,0.0118723,0.0109072,0.0105049,0.01,0.01,0.00905155,0.00924272,0.01,0.00940816,0.00917857,0.00934091,0.0085098,0.01,0.00716327,0.00890196,0.0071068,0.00802062,0.00827273,0.00844444,0.00825743,0.00682828,0.0078,0.0076,0.0085098,0.00757143,0.00821569,0.00757143,0.00751351,0.00770787,0.00851613,0.00783178,0.0069212,0.00695205,0.004798,0.00491888,0.00357204,0.00312883,0.00219525,0.00215021,0.00148868,0.00133642,0.00091618,0.00104238,0.000625073,0.000653655,0.000455933,0.000425008,0.000308007,0.000235767,0.000153073,0.000222772,0.000119653,0.000127344,8.27891e-05,8.63067e-05,
400,0.0191842,0.0190071,0.0196,0.0187591,0.0194511,0.0196,0.0193151,0.0191961,0.0194495,0.0191914,0.0196,0.0189109,0.0191962,0.0188993,0.0189056,0.0191803,0.0193207,0.019167,0.0194511,0.0193289,0.0194641,0.0189135,0.0193143,0.0192123,0.0187512,0.0185135,0.0190963,0.0193083,0.0191563,0.0187167,0.0189087,0.0188875,0.0193203,0.0186586,0.0186468,0.0184794,0.0184303,0.0177096,0.0176766,0.0161288,0.0139608,0.0150809,0.0138676,0.010741,0.00881689,0.0109849,0.011748,0.0074342,0.00678351,0.01,0.00549924,0.00924272,0.0069703,0.0083248,0.00620022,0.00749104,0.00684223,0.00786139,0.00548265,0.0065281,0.0061423,0.00585141,0.00678828,0.00655579,0.00621184,0.00486515,0.00645204,0.00499876,0.0065557,0.00426304,0.0076968,0.00483129,0.00636439,0.00542902,0.00658925,0.00553652,0.00579231,0.0055043,0.00367331,0.00366847,0.00283598,0.00242871,0.00165558,0.00189384,0.0012025,0.00114078,0.000761687,0.000778594,0.000529824,0.00059861,0.000380998,0.000388946,0.000278731,0.000196711,0.000132005,0.000186962,0.000119653,0.000115227,7.12545e-05,7.33996e-05,
600,0.0268578,0.026258,0.02744,0.0260771,0.027031,0.0272497,0.0268518,0.0264828,0.0268241,0.0261298,0.0272515,0.0264752,0.0266682,0.026459,0.0264679,0.0265037,0.027049,0.0262588,0.0272315,0.0264015,0.0270775,0.0253919,0.0268429,0.0265205,0.0262517,0.0252457,0.0265529,0.0266252,0.0266364,0.0258093,0.0262812,0.0260686,0.0270484,0.0253682,0.0257434,0.0241566,0.0242522,0.0207945,0.0111499,0.0202282,0.0158115,0.0150809,0.0160528,0.010741,0.0104059,0.00993681,0.0129707,0.00683655,0.00738941,0.00874227,0.00602298,0.00778334,0.0069703,0.00680532,0.00620022,0.00635178,0.00631787,0.00551142,0.00548265,0.00442101,0.004791,0.00491518,0.0045207,0.0041685,0.00509653,0.00346642,0.00502382,0.00328785,0.00483127,0.00277098,0.00460205,0.0027687,0.00407056,0.00295464,0.00402609,0.00288386,0.00373419,0.00344798,0.00253458,0.00205434,0.00168109,0.00146968,0.0012194,0.001231,0.000927645,0.000732503,0.000604733,0.000542703,0.000402666,0.000407055,0.000297381,0.000285227,0.000245283,0.00017704,0.000132005,0.000139649,0.000110591,9.71711e-05,7.12545e-05,6.31068e-05,
800,0.0367703,0.0357414,0.0381272,0.0352661,0.0373235,0.0375819,0.0367705,0.037076,0.0370378,0.0365817,0.0376281,0.0365137,0.0356859,0.0365288,0.0360656,0.0368203,0.0371031,0.0359243,0.037574,0.0367007,0.0376349,0.0347944,0.0375801,0.0365521,0.0367523,0.0339414,0.0364007,0.0364518,0.0367931,0.035578,0.0348648,0.035923,0.0338232,0.0327877,0.0257434,0.0295141,0.0242522,0.0219142,0.013144,0.0186268,0.0190051,0.0150809,0.0170684,0.0116676,0.0114465,0.00884376,0.0129707,0.00729232,0.00776247,0.00719209,0.00602298,0.00696794,0.00760265,0.00582747,0.00651608,0.00537874,0.00631787,0.00459632,0.00480978,0.00366313,0.00418842,0.00401804,0.00369191,0.00298138,0.00417915,0.00246116,0.00330433,0.00256005,0.003423,0.00176192,0.00292947,0.00170262,0.00261502,0.00173768,0.00260658,0.00151753,0.00216499,0.00184513,0.00151081,0.000968476,0.00103638,0.000773367,0.000738813,0.00061801,0.000649352,0.000388227,0.000431613,0.000377677,0.000340981,0.000274186,0.000260133,0.000193164,0.000192285,0.000137206,0.000132005,0.000104369,0.000110591,8.91294e-05,7.12545e-05,5.61387e-05,
1000,0.0510558,0.050038,0.0519916,0.0485889,0.0518759,0.0514984,0.051111,0.0511648,0.0510564,0.0498468,0.0519035,0.0500557,0.0492466,0.0493139,0.050082,0.0495759,0.0505828,0.0491097,0.0518946,0.0474766,0.050526,0.0471726,0.051868,0.0493269,0.0506365,0.0465923,0.0497992,0.049657,0.0503105,0.0461855,0.040949,0.0440607,0.0378693,0.0363838,0.0317051,0.0295141,0.0274569,0.0219142,0.0160231,0.0186268,0.0206447,0.0150809,0.0186804,0.0116676,0.0132154,0.00972814,0.0129707,0.00815414,0.0094561,0.00719209,0.00664155,0.00696794,0.00760265,0.00524472,0.00651608,0.00484087,0.00547549,0.00376062,0.00480978,0.00331331,0.00418842,0.00340577,0.00347039,0.0025938,0.00357794,0.00192886,0.0025739,0.00185299,0.00279007,0.00134206,0.00237148,0.00127249,0.00179316,0.0010869,0.00181418,0.00103192,0.00157088,0.00109413,0.00105308,0.000680868,0.000783045,0.000513234,0.000631349,0.00042574,0.000522991,0.000286154,0.000354882,0.000278108,0.000266113,0.000211225,0.00023412,0.000163992,0.000175059,0.000124805,0.000123568,9.34259e-05,9.60763e-05,7.59314e-05,7.12545e-05,5.61387e-05,
1200,0.068138,0.067363,0.071344,0.0659119,0.0709529,0.0711351,0.0699747,0.0706373,0.0677945,0.0683337,0.0698593,0.0672658,0.0668716,0.0676305,0.0679837,0.0675354,0.0693707,0.0651349,0.0704204,0.0646924,0.068755,0.0641163,0.0715116,0.0653348,0.0676393,0.0631812,0.0640894,0.0619252,0.0634769,0.0598669,0.0484266,0.0497627,0.0378693,0.0363838,0.0355648,0.0295141,0.0302283,0.024082,0.0188717,0.0186268,0.0206447,0.0162874,0.0203616,0.012601,0.0132154,0.00972814,0.0129707,0.00911345,0.0104877,0.00719209,0.0074495,0.00696794,0.007066,0.00524472,0.00651608,0.0043313,0.00547549,0.00350104,0.00444786,0.00331331,0.00418842,0.00308239,0.00302325,0.00228038,0.00336327,0.00162024,0.00229024,0.00155869,0.00223206,0.00134206,0.00208387,0.00100118,0.00151422,0.000854455,0.00136888,0.000779671,0.00123689,0.000757287,0.000859146,0.000547445,0.000638255,0.000418231,0.000460946,0.00034147,0.000452448,0.000270089,0.000327686,0.000230859,0.000245164,0.000174161,0.000204204,0.000149376,0.000148879,0.00011583,0.000109571,8.46202e-05,9.60763e-05,6.98569e-05,7.12545e-05,5.32573e-05,
1400,0.0879055,0.0881281,0.0930869,0.0860324,0.0946485,0.0935351,0.0930826,0.0926959,0.0891562,0.0913055,0.0938337,0.0857639,0.092083,0.0886977,0.0917779,0.0898221,0.0920275,0.084747,0.0941073,0.0841001,0.0888422,0.0858373,0.0871832,0.083456,0.0826405,0.0788808,0.0820815,0.0737658,0.076044,0.0678096,0.0591053,0.0534799,0.046311,0.0407919,0.0415038,0.0295141,0.0302283,0.024082,0.022646,0.0186268,0.0206447,0.0162874,0.0220879,0.0135578,0.0132154,0.0104721,0.0136193,0.00911345,0.0110171,0.00719209,0.0074495,0.00596008,0.007066,0.00524472,0.00556829,0.0043313,0.00547549,0.00328559,0.00444786,0.00283792,0.00393938,0.0025144,0.00302325,0.00205235,0.00292398,0.00162024,0.00229024,0.00145596,0.00203163,0.00134206,0.0015486,0.000849984,0.00133576,0.000710751,0.0011267,0.00062861,0.00101805,0.000618451,0.000720046,0.000443719,0.000580567,0.000341556,0.000417227,0.000275828,0.000395778,0.000228372,0.000293228,0.000230859,0.000245164,0.000160972,0.00018182,0.00013755,0.000158804,9.79393e-05,0.000109571,7.18187e-05,8.96712e-05,6.98569e-05,7.12545e-05,4.6822e-05,
1600,0.120349,0.119101,0.122418,0.116784,0.124702,0.12096,0.125238,0.122565,0.122003,0.120871,0.126812,0.115649,0.123552,0.11869,0.124499,0.116602,0.118816,0.112654,0.119082,0.112484,0.117486,0.110975,0.116131,0.103933,0.110637,0.101153,0.106364,0.0890864,0.0908264,0.0781633,0.0715486,0.0595919,0.0523671,0.0447861,0.0461331,0.0295141,0.0338905,0.0211721,0.0270778,0.0186268,0.0226891,0.0149105,0.0220879,0.0135578,0.0150034,0.0104721,0.0136193,0.00860182,0.0110171,0.00719209,0.00784779,0.00596008,0.007066,0.00488212,0.00636218,0.0043313,0.00547549,0.00328559,0.00468736,0.00258369,0.00341894,0.0025144,0.00302325,0.00193634,0.00275601,0.00162024,0.00201801,0.00145596,0.0017472,0.0012347,0.00139374,0.00077443,0.00120893,0.000650232,0.000995454,0.00062861,0.000884435,0.000538766,0.000651913,0.000384833,0.000535705,0.000341556,0.000388072,0.000258854,0.00034844,0.000200874,0.000262394,0.000215618,0.000219458,0.000142385,0.000170911,0.000116917,0.000147017,9.14734e-05,0.00011551,6.57952e-05,8.96712e-05,6.33024e-05,7.12545e-05,4.6822e-05,
1800,0.149486,0.155399,0.159726,0.154893,0.158995,0.160524,0.161721,0.162512,0.159295,0.153789,0.163994,0.148793,0.148476,0.164753,0.153762,0.148527,0.151346,0.149585,0.153483,0.148568,0.155082,0.139829,0.141078,0.13195,0.133442,0.119797,0.126117,0.105506,0.0990663,0.0781633,0.0788289,0.0494751,0.0586511,0.0447861,0.0537892,0.0318529,0.0367954,0.0227321,0.0306703,0.0202449,0.0242877,0.0149105,0.0231923,0.0135578,0.016861,0.0104721,0.0136193,0.00860182,0.0110171,0.0067495,0.00736485,0.00596008,0.00744901,0.00452515,0.00566359,0.0043313,0.00506906,0.00328559,0.00498168,0.00258369,0.00372213,0.0025144,0.00286117,0.00173331,0.00275601,0.00143507,0.00201801,0.00145596,0.0017472,0.00112921,0.00125437,0.000664032,0.0011473,0.000650232,0.000927678,0.0005954,0.000744787,0.000538766,0.000651913,0.000384833,0.000535705,0.000322648,0.000388072,0.000258854,0.00034844,0.000200874,0.000262394,0.000195215,0.000219458,0.000142385,0.000170911,0.000116917,0.000126767,9.14734e-05,0.00011551,6.57952e-05,8.96712e-05,6.33024e-05,7.12545e-05,4.6822e-05,
2000,0.191342,0.208234,0.196996,0.200014,0.204422,0.207836,0.20505,0.208499,0.196737,0.188429,0.205475,0.190091,0.187548,0.194566,0.187025,0.184639,0.18828,0.186406,0.193389,0.19611,0.185186,0.177212,0.170637,0.161117,0.154112,0.145712,0.154231,0.11626,0.117342,0.0898878,0.0860306,0.057624,0.0586511,0.0447861,0.0591681,0.0318529,0.0401336,0.0245419,0.0322705,0.0219695,0.0242877,0.0157134,0.0231923,0.0135578,0.016861,0.0104721,0.0136193,0.00926216,0.0110171,0.0067495,0.00792598,0.00596008,0.00786285,0.00452515,0.00566359,0.0043313,0.00506906,0.00328559,0.00498168,0.00258369,0.00350359,0.0025144,0.00286117,0.00160657,0.0029219,0.00132855,0.00185577,0.00145596,0.0016166,0.0010107,0.00125437,0.000664032,0.00107081,0.000650232,0.000865161,0.000546886,0.000673855,0.000493396,0.000651913,0.000407998,0.000482134,0.000293486,0.000388072,0.000258854,0.00034844,0.000200874,0.000262394,0.000182738,0.000219458,0.000142385,0.000181741,0.000116917,0.000126767,8.61025e-05,0.00011551,6.57952e-05,9.62991e-05,6.33024e-05,7.12545e-05,4.6822e-05,
