mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.238418,0.520251,0.303414,0.124129,0.68002,0.696034,0.95422,0.508696,0.626259,0.99321,0.808764,0.18801,0.29503,0.998229,0.296561,0.94936,0.0076138,0.986439,0.915815,0.449892,0.520344,0.630107,0.581291,0.247746,0.183098,0.55514,0.940192,0.799299,0.90794,0.414775,0.43873,0.340498,0.095975,0.606588,0.224223,0.543108,0.312125,0.436832,0.951267,0.863517,0.577876,0.203087,0.591319,0.389944,0.111294,0.306402,0.533629,0.42116,0.0634688,0.0682801,0.327169,0.519931,0.0700759,0.42101,0.784679,0.599759,0.894997,0.146684,0.394305,0.452862,0.331336,0.178604,0.385215,0.443207,0.347606,0.802002,0.417209,0.120816,0.212994,0.922802,0.306863,0.246956,0.807607,0.860547,0.341875,0.450911,0.315075,0.773933,0.341234,0.863438,0.673985,0.372398,0.082298,0.42516,0.18198,0.738463,0.62966,0.516364,0.029317,0.069335,0.890728,0.85679,0.747805,0.000917989,0.381764,0.527548,0.239413,0.276689,0.0905244,0.102033,
20,0.839093,0.187612,0.303399,0.93792,0.31639,0.938751,0.016203,0.989055,0.941083,0.468129,0.54492,0.655579,0.567772,0.263038,0.205444,0.524732,0.963398,0.82051,0.950936,0.514669,0.456937,0.331745,0.109418,0.612977,0.271605,0.54198,0.291193,0.46565,0.96917,0.849124,0.693573,0.969491,0.701097,0.643422,0.871812,0.454493,0.492901,0.429439,0.566907,0.38555,0.317469,0.507787,0.222,0.512342,0.785466,0.59632,0.272775,0.110361,0.379565,0.428989,0.590113,0.201726,0.377335,0.426228,0.34199,0.777927,0.108847,0.279022,0.202248,0.872096,0.0630679,0.0682801,0.795832,0.81841,0.0455554,0.417294,0.310245,0.721364,0.296178,0.85023,0.883732,0.128178,0.662882,0.346533,0.156706,0.729514,0.607807,0.506488,0.303065,0.170383,0.890728,0.845987,0.412184,0.106262,0.381636,0.525846,0.292064,0.238403,0.341247,0.44217,0.0798646,0.424872,0.238514,0.275739,0.747291,0.000688251,0.0904639,0.101867,0.0294715,0.0697401,
30,0.537014,0.607635,0.564961,0.253896,0.187212,0.566451,0.952559,0.823154,0.964974,0.540469,0.44897,0.389706,0.11413,0.679001,0.326115,0.518864,0.301299,0.471663,0.953183,0.829336,0.708434,0.959215,0.895134,0.439325,0.332048,0.936721,0.88621,0.44094,0.0146416,0.997606,0.366523,0.507927,0.509418,0.454795,0.808315,0.590808,0.297716,0.934723,0.731601,0.601062,0.562581,0.38989,0.838626,0.199998,0.348416,0.772147,0.341828,0.408645,0.197075,0.879115,0.223776,0.496736,0.803977,0.804396,0.353272,0.398689,0.267046,0.698346,0.274792,0.834461,0.256286,0.0823405,0.651758,0.327289,0.138537,0.711794,0.564146,0.500446,0.553186,0.176761,0.877742,0.812123,0.0657836,0.227906,0.363259,0.519685,0.06672,0.0609101,0.341247,0.426976,0.0292726,0.393202,0.883242,0.127361,0.0773053,0.420946,0.235346,0.27541,0.296401,0.165372,0.290745,0.23716,0.410483,0.10617,0.746578,0.000162687,0.0900308,0.101381,0.0296496,0.0699359,
40,0.466138,0.358005,0.135329,0.691512,0.355655,0.50548,0.317928,0.478192,0.916198,0.799273,0.70889,0.951375,0.890926,0.453448,0.345353,0.929127,0.889223,0.448393,0.490109,0.565797,0.360545,0.490733,0.5006,0.427241,0.791758,0.606865,0.303212,0.928911,0.981895,0.847528,0.980449,0.550245,0.590493,0.383037,0.373059,0.765251,0.723378,0.579212,0.191094,0.87136,0.16875,0.555811,0.824777,0.807452,0.555787,0.2531,0.242175,0.648488,0.239963,0.79123,0.0146416,0.968406,0.628932,0.322051,0.135314,0.66036,0.563984,0.474989,0.83708,0.181995,0.873945,0.793732,0.30748,0.392656,0.354722,0.512567,0.200254,0.47158,0.329301,0.403579,0.336664,0.356129,0.527139,0.165717,0.851436,0.0887794,0.253882,0.0753327,0.064572,0.416814,0.232626,0.26823,0.0509047,0.227666,0.289669,0.235736,0.0700602,0.0609101,0.295696,0.164292,0.0257711,0.391933,0.409787,0.10617,0.746472,0.000162687,0.0900308,0.101075,0.0300785,0.0699387,
50,0.704687,0.980822,0.888318,0.470716,0.361179,0.952228,0.88389,0.450597,0.509032,0.578625,0.363562,0.469862,0.518965,0.408558,0.820763,0.604742,0.29689,0.891182,0.989333,0.817643,0.976418,0.491739,0.904138,0.80675,0.374263,0.743795,0.721411,0.58259,0.221434,0.912096,0.0720215,0.693415,0.821502,0.846501,0.31568,0.475367,0.262227,0.683927,0.250226,0.773184,0.449594,0.352923,0.608145,0.372233,0.340747,0.5094,0.555033,0.471793,0.1297,0.638146,0.845335,0.771326,0.634623,0.314567,0.331803,0.483856,0.142144,0.54267,0.00984681,0.938928,0.322977,0.386801,0.548983,0.209536,0.281148,0.381309,0.165575,0.46915,0.831076,0.179326,0.322128,0.3389,0.230364,0.25806,0.28434,0.232966,0.523936,0.160697,0.0512119,0.411659,0.848651,0.0757551,0.290628,0.162338,0.0257711,0.389355,0.404989,0.104037,0.243718,0.074949,0.0499486,0.223921,0.745841,0.000162687,0.0897294,0.101075,0.0696465,0.0607551,0.0303638,0.0701628,
60,0.340708,0.466133,0.512899,0.455629,0.836323,0.59213,0.32141,0.905846,0.987659,0.806344,0.987803,0.499442,0.943208,0.83759,0.272193,0.747228,0.743364,0.601689,0.264043,0.898973,0.915796,0.460086,0.771982,0.830197,0.679806,0.9821,0.365552,0.988154,0.272115,0.754394,0.242435,0.692248,0.892956,0.460344,0.567951,0.619132,0.546469,0.44643,0.610663,0.401052,0.805855,0.798575,0.0475812,0.688578,0.323386,0.488386,0.304231,0.472072,0.312035,0.461569,0.620441,0.313393,0.0971274,0.626787,0.41792,0.331492,0.122746,0.527626,0.309265,0.377871,0.00595942,0.919454,0.148371,0.45187,0.276845,0.357445,0.313534,0.333117,0.827434,0.169818,0.534306,0.188438,0.220242,0.25806,0.487986,0.148363,0.26095,0.209385,0.823224,0.0675897,0.020213,0.404182,0.0233988,0.389355,0.284892,0.158928,0.404989,0.102515,0.0491606,0.222594,0.745047,9.19036e-05,0.242833,0.0739743,0.0892284,0.100586,0.0306328,0.0702007,0.0693502,0.060493,
70,0.937512,0.485185,0.948468,0.847968,0.264809,0.731365,0.682031,0.588567,0.233831,0.924188,0.938007,0.47106,0.747337,0.820249,0.67141,0.991873,0.379608,0.995481,0.817032,0.571298,0.97514,0.806267,0.901824,0.459407,0.547309,0.624359,0.243931,0.689698,0.509371,0.435741,0.770957,0.804248,0.513257,0.423395,0.338164,0.902457,0.345176,0.452598,0.265664,0.785411,0.611837,0.344936,0.304466,0.456262,0.325951,0.439104,0.281139,0.461872,0.611904,0.296607,0.0658169,0.623506,0.305388,0.369229,0.12359,0.493744,0.0177835,0.669096,0.00547895,0.887989,0.401274,0.272415,0.148371,0.4059,0.26398,0.332135,0.296909,0.29671,0.821376,0.151878,0.503646,0.161858,0.190554,0.251289,0.472717,0.13121,0.230172,0.19646,0.822347,0.0612146,0.0168807,0.38565,0.0177107,0.401551,0.281171,0.151107,0.401669,0.0993637,0.0489287,0.221001,0.744394,9.19036e-05,0.241494,0.0720517,0.0885963,0.100118,0.0307136,0.070505,0.0693502,0.060105,
80,0.918656,0.442772,0.748733,0.800699,0.671001,0.972206,0.383208,0.994955,0.796165,0.567126,0.98972,0.840151,0.903739,0.469307,0.547772,0.656217,0.930022,0.838143,0.497196,0.409552,0.765421,0.804755,0.676622,0.59173,0.301208,0.888086,0.889254,0.50241,0.251165,0.775147,0.256026,0.667813,0.262838,0.709146,0.238818,0.951381,0.509322,0.404618,0.353599,0.423837,0.279566,0.470574,0.341156,0.44899,0.600389,0.349841,0.283992,0.442568,0.632409,0.284384,0.0598927,0.624436,0.286848,0.33272,0.108839,0.475037,0.00547895,0.856336,0.388716,0.268504,0.258777,0.317588,0.283884,0.26687,0.14529,0.352405,0.799337,0.147997,0.00303079,0.669096,0.476435,0.161858,0.172073,0.227985,0.460525,0.104899,0.22441,0.180075,0.81776,0.0335169,0.0177107,0.393783,0.277854,0.1461,0.012983,0.383585,0.401189,0.0915477,0.743502,9.19036e-05,0.0472587,0.217104,0.241494,0.0713446,0.088013,0.0999936,0.0307972,0.0709093,0.0697411,0.0600547,
90,0.988636,0.832325,0.905756,0.459524,0.547029,0.66114,0.926239,0.837512,0.490778,0.385528,0.782361,0.80047,0.698249,0.58962,0.301719,0.92122,0.901876,0.507363,0.273013,0.769309,0.244223,0.668508,0.282123,0.72983,0.23568,0.926976,0.742265,0.794315,0.662384,0.982916,0.392702,0.988704,0.818546,0.533389,0.286473,0.449983,0.340484,0.426022,0.490109,0.377148,0.260256,0.465573,0.899802,0.468943,0.570147,0.300818,0.269267,0.426372,0.651669,0.235656,0.0427792,0.628326,0.00547895,0.841614,0.383853,0.255552,0.0978384,0.441156,0.270316,0.303911,0.219439,0.296312,0.275907,0.261943,0.788114,0.115921,0.111983,0.343348,0.455443,0.153055,0.00303079,0.650484,0.1607,0.204572,0.215755,0.16383,0.43031,0.103647,0.277854,0.138735,0.012042,0.368135,0.812334,0.0313195,0.00975065,0.378748,0.400742,0.0910096,0.741672,9.19036e-05,0.045104,0.216091,0.241461,0.0704481,0.0879747,0.0992771,0.0309792,0.0709883,0.0699136,0.0600547,
100,0.75936,0.803329,0.715139,0.597126,0.287604,0.914358,0.911741,0.497974,0.227195,0.790424,0.248793,0.658583,0.263083,0.704458,0.236229,0.9193,0.721363,0.796014,0.672458,0.969786,0.433348,0.996051,0.839625,0.52652,0.926074,0.862853,0.309121,0.419013,0.509728,0.372234,0.899628,0.487486,0.909203,0.472177,0.985571,0.811407,0.494172,0.373226,0.552802,0.69886,0.318022,0.419318,0.239318,0.445773,0.573183,0.288408,0.235797,0.380564,0.0289264,0.619024,0.634809,0.220749,0.36666,0.248712,0.234897,0.303598,0.000260138,0.797354,0.0812221,0.416548,0.256869,0.245914,0.166857,0.290497,0.725848,0.114979,0.082798,0.336732,0.00105153,0.640911,0.420173,0.131519,0.411701,0.0921629,0.121119,0.184754,0.258862,0.125138,0.194104,0.151072,0.798549,0.0242117,0.396653,0.0887506,0.00224839,0.377465,0.00192369,0.363248,0.738431,9.19036e-05,0.0450399,0.214734,0.240885,0.0702231,0.0864057,0.0992771,0.0311374,0.0711797,0.0699285,0.0599199,
