mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,1,1,1,0.98,1,1,1,0.968085,1,0.990566,1,1,1,1,1,0.99,1,1,1,1,1,0.962963,1,0.989691,1,0.990196,0.990099,1,1,0.980952,1,0.989583,0.989691,0.990291,0.958333,0.971154,0.989691,0.961165,0.951923,0.90625,0.907216,0.902913,0.913978,0.841121,0.865854,0.686441,0.712766,0.650943,0.688172,0.53271,0.778846,0.604167,0.5625,0.625,0.630435,0.62037,0.420168,0.444444,0.462264,0.617021,0.423423,0.426966,0.45614,0.453488,0.516129,0.280374,0.431193,0.406593,0.371429,0.336842,0.408163,0.401961,0.495146,0.402062,0.461538,0.311927,0.402174,0.333333,0.369369,0.348315,0.520408,0.509804,0.423077,0.552083,0.490196,0.479592,0.428571,0.509804,0.367347,0.352941,0.48913,0.416667,0.457944,0.591398,0.575472,0.542553,0.306306,0.505618,0.645833,0.442308,
400,1,0.979592,1,1,1,0.969072,0.989691,0.980583,0.989011,0.981651,1,1,0.970588,0.969388,0.971698,0.989362,1,0.979798,1,1,0.990909,0.988889,1,0.97,1,0.941176,0.989247,0.990654,0.98,0.97,0.990196,0.979592,0.969388,0.941176,0.980769,0.9375,0.965909,0.919643,0.942308,0.885417,0.886792,0.787234,0.25,0.675926,0.752381,0.547368,0.615385,0.489583,0.673913,0.509259,0.698113,0.414894,0.520408,0.362745,0.521277,0.367925,0.417582,0.311927,0.47561,0.29661,0.48,0.3,0.372549,0.367347,0.515789,0.333333,0.402062,0.271845,0.384615,0.3125,0.429825,0.197674,0.428571,0.264706,0.39,0.28,0.421053,0.238095,0.490196,0.306122,0.415094,0.244681,0.4,0.357895,0.485149,0.373737,0.494949,0.455446,0.447917,0.471154,0.449438,0.495495,0.494505,0.440367,0.410526,0.466667,0.474227,0.504854,0.421569,0.428571,
600,0.989474,0.990476,0.991597,1,0.966667,1,0.990291,1,0.991228,0.976744,0.990909,0.988889,0.990654,0.989247,0.97,1,0.957895,1,0.969072,0.990291,0.978261,1,0.979381,1,0.990291,0.979381,0.970874,1,0.979592,0.990196,0.96,0.98,0.98,0.92,0.905263,0.914286,0.656566,0.960396,0.45,0.86,0.595506,0.675676,0.461538,0.614679,0.697917,0.615385,0.693878,0.627451,0.539216,0.540816,0.472527,0.522936,0.417476,0.42268,0.39604,0.454545,0.46,0.39,0.264151,0.308511,0.292453,0.276596,0.278846,0.177083,0.207207,0.247191,0.247423,0.242718,0.284211,0.180952,0.178218,0.111111,0.149123,0.151163,0.11828,0.0841121,0.128713,0.141414,0.183486,0.131868,0.149533,0.236559,0.190909,0.122222,0.214286,0.235294,0.25,0.222222,0.378947,0.247619,0.254717,0.212766,0.316832,0.353535,0.378641,0.329897,0.58,0.47,0.517857,0.556818,
800,0.981308,1,0.982301,1,0.958763,0.990291,0.970874,1,0.962264,0.957447,0.956522,0.972222,0.947368,0.990476,0.990566,0.989362,0.980392,0.989796,0.987805,1,0.990099,0.989899,0.979798,1,1,0.970297,0.970588,0.979592,0.857143,0.990196,0.94898,0.95098,0.831461,0.873874,0.712766,0.764151,0.392523,0.763441,0.529412,0.673469,0.606061,0.524752,0.794643,0.636364,0.588889,0.690909,0.494949,0.564356,0.542553,0.650943,0.415842,0.575758,0.571429,0.557895,0.531532,0.426966,0.494737,0.457143,0.581633,0.392157,0.4,0.352941,0.391304,0.388889,0.272727,0.366667,0.22,0.25,0.24,0.23,0.168317,0.20202,0.230769,0.135417,0.209524,0.136842,0.215686,0.183673,0.173469,0.156863,0.265957,0.150943,0.309278,0.291262,0.177083,0.173077,0.34,0.18,0.342857,0.273684,0.37,0.4,0.425743,0.262626,0.453608,0.407767,0.46729,0.430108,0.568421,0.495238,
1000,0.98913,1,0.972727,0.977778,0.989362,0.981132,0.932039,0.958763,0.923077,1,0.960784,0.989796,0.954955,0.977528,0.967033,1,0.979167,0.980769,0.958763,0.990291,0.989011,0.972477,0.932039,0.989691,0.956989,0.953271,0.928571,0.95098,0.894737,0.885714,0.892157,0.857143,0.789474,0.695238,0.736264,0.642202,0.84,0.55,0.8,0.484211,0.693069,0.666667,0.79798,0.534653,0.559633,0.516484,0.578431,0.540816,0.53125,0.557692,0.614583,0.548077,0.505155,0.563107,0.556701,0.456311,0.481481,0.576087,0.426829,0.457627,0.447619,0.610526,0.431373,0.438776,0.431373,0.469388,0.41573,0.405405,0.401961,0.306122,0.4,0.390476,0.303922,0.357143,0.293478,0.37037,0.277228,0.232323,0.222222,0.326733,0.241379,0.345238,0.353535,0.257426,0.454545,0.346535,0.34375,0.375,0.469388,0.470588,0.425532,0.386792,0.504762,0.347368,0.472727,0.455556,0.591837,0.568627,0.54717,0.531915,
1200,0.979167,0.932692,0.966292,0.945946,0.941176,0.959184,0.988636,0.946429,0.990291,0.927835,0.948454,0.980583,0.930693,0.929293,0.946809,0.924528,0.942857,0.947368,0.925532,0.896226,0.935185,0.902174,0.947368,0.914286,0.916667,0.884615,0.906542,0.827957,0.87234,0.716981,0.767677,0.70297,0.712963,0.532609,0.736364,0.6,0.724138,0.630952,0.744444,0.627273,0.638655,0.617284,0.821782,0.515152,0.597938,0.669903,0.650485,0.587629,0.604167,0.519231,0.579439,0.55914,0.547826,0.470588,0.451923,0.4375,0.609524,0.463158,0.56383,0.471698,0.488636,0.419643,0.459184,0.490196,0.422018,0.450549,0.510638,0.443396,0.489362,0.537736,0.473684,0.409524,0.3,0.49,0.398148,0.380435,0.305556,0.434783,0.352941,0.367347,0.420561,0.236559,0.443299,0.436893,0.433333,0.372727,0.46789,0.527473,0.495238,0.442105,0.541667,0.425,0.583333,0.543478,0.5625,0.567308,0.584906,0.404255,0.536842,0.52381,
1400,0.927835,0.932039,0.954545,0.877778,0.9375,0.980769,0.969388,0.95098,0.980392,0.928571,0.961165,0.896907,0.933962,0.914894,0.932039,0.896907,0.927711,0.91453,0.952381,0.922414,0.910112,0.873874,0.919192,0.920792,0.878261,0.870588,0.846154,0.78125,0.813725,0.755102,0.647727,0.625,0.770642,0.692308,0.653846,0.625,0.72093,0.517544,0.742574,0.505051,0.581818,0.622222,0.766667,0.663636,0.605769,0.572917,0.59596,0.564356,0.631579,0.561905,0.634615,0.53125,0.47,0.52,0.4375,0.558333,0.530973,0.45977,0.528846,0.489583,0.568627,0.561224,0.61,0.55,0.58427,0.576577,0.528302,0.5,0.488889,0.527273,0.410526,0.542857,0.442105,0.438095,0.456311,0.494845,0.478261,0.505882,0.50495,0.474747,0.505376,0.514019,0.531915,0.424528,0.568627,0.44898,0.412371,0.436893,0.490385,0.583333,0.539216,0.571429,0.5,0.520833,0.495238,0.452632,0.52,0.49,0.567308,0.520833,
1600,0.91,0.94,0.916667,0.961538,0.95098,0.928571,0.917526,0.932039,0.948454,0.912621,0.915094,0.904255,0.912621,0.886598,0.927083,0.894231,0.954545,0.866071,0.929204,0.873563,0.913978,0.878505,0.897959,0.77451,0.84,0.77,0.883495,0.762887,0.861386,0.707071,0.806122,0.617647,0.703704,0.619565,0.77451,0.591837,0.705357,0.568182,0.663551,0.591398,0.572816,0.71134,0.683673,0.656863,0.586207,0.60177,0.602041,0.470588,0.566038,0.606383,0.590909,0.5625,0.638889,0.521739,0.564356,0.545455,0.670455,0.598214,0.630435,0.564815,0.564356,0.585859,0.55,0.51,0.480769,0.583333,0.519608,0.571429,0.515152,0.49505,0.537037,0.445652,0.505263,0.466667,0.511111,0.481818,0.56,0.44,0.443396,0.553191,0.495413,0.549451,0.398058,0.57732,0.402062,0.601942,0.617647,0.459184,0.466667,0.472727,0.541667,0.557692,0.534653,0.606061,0.594828,0.559524,0.660194,0.57732,0.587156,0.538462,
1800,0.931373,0.887755,0.882979,0.915094,0.920354,0.850575,0.930693,0.888889,0.925234,0.83871,0.885714,0.894737,0.90566,0.882979,0.846939,0.911765,0.910891,0.909091,0.87619,0.852632,0.819149,0.849057,0.848485,0.851485,0.841584,0.79798,0.760417,0.75,0.732673,0.666667,0.705263,0.542857,0.776786,0.625,0.642105,0.647619,0.684211,0.561905,0.740385,0.583333,0.74,0.65,0.734694,0.598039,0.548077,0.729167,0.666667,0.622449,0.56701,0.582524,0.601852,0.532609,0.589474,0.561905,0.578947,0.580952,0.566372,0.586207,0.57732,0.533981,0.608696,0.62963,0.602041,0.490196,0.604167,0.461538,0.485714,0.631579,0.544554,0.585859,0.64486,0.580645,0.5,0.509804,0.572727,0.566667,0.464646,0.554455,0.6,0.526316,0.543478,0.601852,0.578947,0.4,0.577778,0.518182,0.486486,0.573034,0.58,0.63,0.583333,0.534483,0.5,0.539216,0.630631,0.595506,0.5625,0.567308,0.543478,0.657407,
2000,0.836957,0.87037,0.864078,0.876289,0.846154,0.916667,0.891892,0.853933,0.902913,0.907216,0.821782,0.89899,0.836207,0.892857,0.87234,0.801887,0.831683,0.868687,0.867925,0.808511,0.83,0.88,0.794118,0.795918,0.878788,0.811881,0.732673,0.59596,0.776699,0.649485,0.763636,0.633333,0.68932,0.659794,0.755319,0.622642,0.756757,0.483146,0.672897,0.655914,0.626168,0.569892,0.632184,0.575221,0.581633,0.578431,0.534653,0.656566,0.704545,0.589286,0.61165,0.56701,0.590909,0.544444,0.588235,0.663265,0.597938,0.563107,0.481481,0.495798,0.5,0.527778,0.556701,0.553398,0.554455,0.494949,0.641509,0.468085,0.57732,0.582524,0.59,0.63,0.641509,0.521277,0.524752,0.636364,0.514563,0.546392,0.583333,0.634615,0.490196,0.571429,0.618557,0.543689,0.568627,0.622449,0.592233,0.639175,0.580645,0.560748,0.589474,0.647619,0.636364,0.554455,0.521739,0.564815,0.673913,0.583333,0.522936,0.56044,
