mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.625397,0.570912,0.651801,0.395834,0.258371,0.530167,0.544155,0.945549,0.160437,0.917594,0.823156,0.392186,0.534634,0.886096,0.187559,0.240275,0.325264,0.23167,0.875874,0.599278,0.655759,0.0928441,0.935433,0.602738,0.937227,0.779331,0.680382,0.528135,0.432315,0.90815,0.328776,0.15456,0.930034,0.922365,0.735894,0.12817,0.40843,0.733092,0.45138,0.0429555,0.962309,0.798547,0.560442,0.021556,0.601528,0.693624,0.0127505,0.159614,0.43422,0.804152,0.339658,0.605954,0.645633,0.869428,0.754171,0.907576,0.201044,0.196557,0.834366,0.45572,0.620787,0.908441,0.90292,0.235445,0.877598,0.178853,0.610461,0.397025,0.55338,0.900041,0.170152,0.00502742,0.13524,0.635178,0.113905,0.105381,0.715279,0.613021,0.312741,0.103484,0.50379,0.574948,0.963834,0.77676,0.248726,0.0562237,0.364465,0.830438,0.683607,0.247411,0.686449,0.659827,0.0588309,0.41267,0.215256,0.511421,0.467428,0.254079,0.570381,0.179685,
20,0.812231,0.397368,0.510768,0.864201,0.182423,0.219683,0.335998,0.280463,0.894273,0.609668,0.601242,0.60494,0.920722,0.587472,0.88457,0.74905,0.637025,0.376741,0.377047,0.944822,0.625483,0.113392,0.920065,0.935241,0.53806,0.951904,0.404141,0.72483,0.259215,0.547093,0.959086,0.763225,0.148816,0.936884,0.580192,0.675106,0.700627,0.528454,0.427622,0.77826,0.336968,0.116654,0.647736,0.859178,0.734452,0.902077,0.726506,0.0961383,0.83894,0.452338,0.620472,0.884768,0.443038,0.030136,0.320129,0.590245,0.528353,0.0140871,0.525189,0.871734,0.00984727,0.159614,0.581809,0.388963,0.111072,0.633732,0.703307,0.595008,0.869081,0.192995,0.478058,0.574948,0.957609,0.757863,0.177604,0.177948,0.364465,0.812676,0.856718,0.178853,0.684832,0.653656,0.16136,0.0182606,0.214054,0.509461,0.112781,0.0947752,0.681325,0.247205,0.312318,0.100629,0.466699,0.253869,0.246277,0.0558186,0.570144,0.179215,0.0585211,0.412545,
30,0.579946,0.598667,0.956456,0.594773,0.874458,0.749321,0.646794,0.361324,0.353837,0.973908,0.6079,0.105803,0.945615,0.941743,0.527468,0.954605,0.42915,0.69374,0.798056,0.413919,0.950511,0.735917,0.525629,0.865525,0.616342,0.683453,0.699673,0.534499,0.394171,0.7632,0.195787,0.901165,0.664496,0.879881,0.720612,0.899189,0.889127,0.598141,0.787217,0.441296,0.618382,0.86023,0.32748,0.282708,0.282466,0.590245,0.166186,0.174311,0.542178,0.84823,0.231473,0.550246,0.569524,0.386335,0.323306,0.0861606,0.67668,0.588407,0.720192,0.0620814,0.471931,0.556828,0.930612,0.757863,0.425333,0.0244945,0.334408,0.770914,0.489113,0.0103213,0.673452,0.653656,0.00984727,0.155322,0.0948199,0.629389,0.189371,0.496351,0.67984,0.232365,0.86073,0.179461,0.466311,0.252584,0.152335,0.177039,0.854288,0.166589,0.569294,0.178527,0.0585211,0.412457,0.158435,0.0200454,0.311949,0.100396,0.111715,0.0925234,0.245788,0.0556475,
40,0.597762,0.13055,0.920867,0.94863,0.514478,0.948701,0.470515,0.683102,0.811654,0.379698,0.957342,0.751695,0.520971,0.868538,0.639347,0.668008,0.567475,0.573414,0.423352,0.763386,0.848477,0.720453,0.637173,0.865478,0.773714,0.920716,0.334739,0.967653,0.966864,0.602432,0.598986,0.873647,0.646969,0.356362,0.8732,0.618907,0.16006,0.916817,0.535261,0.836986,0.783367,0.411281,0.670045,0.514963,0.281921,0.60314,0.675419,0.580949,0.223062,0.540225,0.454529,0.540142,0.903455,0.736916,0.5695,0.347668,0.284658,0.728579,0.318829,0.26323,0.661271,0.647483,0.1599,0.159773,0.0844968,0.614009,0.31103,0.0724938,0.187615,0.456419,0.683909,0.0345849,0.660081,0.230598,0.413845,0.0102175,0.857388,0.167899,0.467127,0.000376283,0.461325,0.241531,0.0146131,0.145836,0.854288,0.16168,0.565635,0.176804,0.0574625,0.411531,0.149989,0.173454,0.311366,0.100026,0.245559,0.0551787,0.111485,0.092176,0.157777,0.0200875,
50,0.96371,0.721374,0.439349,0.879658,0.654194,0.69093,0.563344,0.580981,0.4412,0.767973,0.857547,0.739018,0.644648,0.884446,0.780706,0.968493,0.904972,0.946806,0.963175,0.620772,0.565119,0.869993,0.325099,0.955208,0.902412,0.602673,0.159199,0.933011,0.495156,0.798748,0.513581,0.972034,0.822129,0.356801,0.39697,0.682801,0.666809,0.593912,0.795637,0.397539,0.463941,0.516419,0.852195,0.746582,0.65338,0.520893,0.227004,0.721284,0.560193,0.132019,0.654224,0.633606,0.647348,0.350695,0.27122,0.583899,0.211105,0.529673,0.558813,0.32724,0.0673058,0.588464,0.164743,0.449208,0.629566,0.213473,0.816336,0.148978,0.315682,0.249515,0.447733,0.219381,0.1599,0.139613,0.84467,0.151967,0.292448,0.0720458,0.561378,0.173931,0.675994,0.0166393,0.0567003,0.410633,0.399577,0.0102175,0.149577,0.171976,0.461065,0.00117887,0.310828,0.0988596,0.013947,0.145437,0.245041,0.0541357,0.110995,0.0921427,0.157697,0.0204672,
60,0.809569,0.782358,0.65409,0.841522,0.756142,0.985403,0.884855,0.974372,0.948016,0.653426,0.558853,0.855156,0.325439,0.952507,0.880534,0.639254,0.451403,0.801513,0.502379,0.810671,0.520825,0.982149,0.439127,0.840373,0.437314,0.709273,0.635824,0.710519,0.910466,0.713502,0.633346,0.595959,0.846114,0.745805,0.546021,0.55363,0.640206,0.497067,0.225545,0.72264,0.630712,0.62427,0.148858,0.942953,0.793295,0.365189,0.460412,0.493827,0.795715,0.354471,0.272155,0.567261,0.639515,0.33617,0.20546,0.5051,0.537432,0.308694,0.0655456,0.552579,0.549067,0.118651,0.145201,0.443859,0.614907,0.190975,0.811615,0.14475,0.301075,0.248573,0.844091,0.128875,0.520687,0.167187,0.411789,0.193942,0.0197865,0.388369,0.138483,0.165942,0.305877,0.0963914,0.146545,0.13253,0.6757,0.0119606,0.288106,0.0688585,0.459317,0.00117887,0.397632,0.00866018,0.244434,0.0534772,0.110674,0.0920519,0.157252,0.0206687,0.0133808,0.144862,
70,0.530309,0.83256,0.323132,0.958326,0.864612,0.626355,0.406296,0.788401,0.506019,0.823808,0.538714,0.9906,0.42329,0.820487,0.503178,0.692791,0.629224,0.673561,0.914865,0.697533,0.634842,0.582308,0.832424,0.718733,0.825215,0.7964,0.953017,0.625922,0.218964,0.681842,0.637481,0.582637,0.66574,0.872199,0.585818,0.566075,0.158411,0.937162,0.721862,0.993182,0.883645,0.979918,0.632951,0.47265,0.786241,0.341512,0.40338,0.476174,0.2574,0.538215,0.766358,0.327812,0.595784,0.332448,0.530273,0.308694,0.172763,0.486674,0.123538,0.428926,0.0600906,0.520389,0.608684,0.173932,0.811615,0.123902,0.248848,0.248573,0.820143,0.120528,0.549067,0.118651,0.404812,0.188173,0.506302,0.137951,0.00442345,0.369895,0.299458,0.0879375,0.12845,0.146592,0.668988,0.00239547,0.142904,0.131492,0.287832,0.0664841,0.458854,0.00117573,0.396467,0.00758311,0.244283,0.0524217,0.110196,0.0916714,0.0133069,0.144743,0.157043,0.0210432,
80,0.53274,0.981006,0.41093,0.804298,0.504974,0.713161,0.629964,0.676376,0.890361,0.693613,0.617111,0.60945,0.852263,0.71315,0.819448,0.796535,0.981641,0.624817,0.199635,0.729056,0.676861,0.564485,0.675847,0.884837,0.633097,0.539723,0.148194,0.919086,0.690133,0.979064,0.917552,0.983905,0.857496,0.616226,0.511227,0.823746,0.351054,0.943998,0.406542,0.853772,0.512952,0.818554,0.631546,0.490382,0.248107,0.518406,0.391746,0.448494,0.770217,0.318007,0.770242,0.304157,0.56024,0.298025,0.16282,0.453055,0.503264,0.292434,0.0446456,0.519782,0.105243,0.405951,0.59175,0.167846,0.811615,0.123902,0.379836,0.181159,0.248848,0.193835,0.542837,0.0932343,0.499943,0.0986913,0.809434,0.0113914,0.00442345,0.368114,0.28979,0.0867783,0.667482,0.00194447,0.140765,0.125782,0.112579,0.13879,0.287832,0.0629234,0.458046,0.00123839,0.394676,0.00691747,0.243514,0.0519263,0.110007,0.0909615,0.0133899,0.144468,0.156793,0.0211403,
90,0.577974,0.638471,0.849977,0.729049,0.80932,0.757914,0.957531,0.618512,0.212703,0.760519,0.675555,0.555687,0.690455,0.871662,0.623796,0.530318,0.151382,0.895777,0.708059,0.979726,0.887121,0.986039,0.394578,0.818427,0.479665,0.839639,0.361248,0.963787,0.39815,0.87613,0.508321,0.826926,0.531339,0.975602,0.485961,0.723215,0.880276,0.588738,0.613138,0.662759,0.892744,0.698223,0.659819,0.526245,0.414263,0.443627,0.241328,0.518406,0.774884,0.297512,0.744923,0.270768,0.527419,0.272556,0.113217,0.445665,0.486124,0.239779,0.0372446,0.509597,0.0763144,0.381235,0.587473,0.154679,0.792499,0.0984457,0.340105,0.161095,0.23693,0.179172,0.491048,0.0912438,0.00442345,0.348307,0.498228,0.0451286,0.801374,0.00440084,0.265729,0.0847505,0.665828,0.000551715,0.140765,0.120671,0.109909,0.133319,0.286889,0.061291,0.457495,0.00141212,0.393988,0.00645245,0.242046,0.051824,0.110007,0.089414,0.0134537,0.144031,0.156578,0.0212447,
100,0.670155,0.603369,0.682639,0.858669,0.595308,0.528906,0.150032,0.925515,0.733053,0.999849,0.915298,0.947389,0.380038,0.795148,0.407566,0.847076,0.350276,0.970003,0.410695,0.858412,0.4892,0.859353,0.542303,0.967188,0.849594,0.753437,0.813971,0.733665,0.490225,0.720555,0.914989,0.688342,0.875334,0.604823,0.588278,0.62509,0.531303,0.637246,0.217318,0.74214,0.906423,0.606228,0.642547,0.511171,0.233913,0.499267,0.718249,0.285807,0.401543,0.399408,0.731669,0.226161,0.515788,0.258396,0.0996101,0.411243,0.454505,0.225185,0.0126,0.503427,0.559824,0.137555,0.761425,0.0984457,0.0271694,0.374183,0.288478,0.161095,0.21083,0.146322,0.483214,0.0383737,0.772852,0.00120756,0.00416413,0.33087,0.653057,0.000551715,0.493305,0.0334646,0.2607,0.0822844,0.134712,0.115524,0.107127,0.127455,0.286889,0.0564131,0.457384,0.00120471,0.393528,0.00634163,0.241275,0.0514629,0.110007,0.0888806,0.0134537,0.143611,0.156108,0.0213459,
