mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.014,0.014,0.014,0.0138,0.014,0.014,0.014,0.0136809,0.014,0.0139057,0.014,0.014,0.014,0.014,0.014,0.0139,0.014,0.014,0.014,0.014,0.014,0.0136296,0.014,0.0138969,0.014,0.013902,0.013901,0.014,0.014,0.0138095,0.014,0.0138958,0.0138969,0.0139029,0.0135833,0.0137115,0.0138969,0.0136117,0.0135192,0.0130625,0.0130722,0.0130291,0.0131398,0.0124112,0.0126585,0.0108644,0.0111277,0.0105094,0.0108817,0.0093271,0.0117885,0.01,0.01,0.01,0.01,0.01,0.00820168,0.00844444,0.00862264,0.01,0.00823423,0.00826966,0.0085614,0.00853488,0.00916129,0.00680374,0.00831193,0.00806593,0.00771429,0.00736842,0.00808163,0.00801961,0.00895146,0.00802062,0.00861538,0.00711927,0.00686991,0.00628035,0.00439265,0.00427243,0.00350332,0.00346296,0.00208857,0.00253752,0.00150592,0.00148799,0.00093445,0.00102606,0.000576935,0.000566104,0.000445666,0.000409344,0.000286689,0.000334158,0.000222772,0.000209975,0.000104897,0.000134498,9.90099e-05,8.33968e-05,
400,0.0196,0.0193143,0.0196,0.01932,0.0196,0.019167,0.0194557,0.0188875,0.0194462,0.0192128,0.0196,0.0196,0.0191882,0.0191714,0.0192038,0.0193121,0.0196,0.0193172,0.0196,0.0196,0.0194727,0.01893,0.0196,0.0190388,0.0196,0.018645,0.0193119,0.0194692,0.01932,0.018919,0.0194627,0.0191706,0.0190303,0.0186463,0.0187554,0.0183392,0.0189819,0.0179625,0.018147,0.0167908,0.0168212,0.0154686,0.00854086,0.0133535,0.0145875,0.0102926,0.0111277,0.00934902,0.011686,0.00848075,0.0129451,0.00814894,0.00920408,0.00762745,0.00921277,0.00767925,0.00670555,0.00601182,0.00755007,0.0069661,0.00724613,0.00578876,0.0066141,0.00654922,0.00838981,0.00498941,0.00666668,0.00541905,0.00605275,0.00525,0.00670634,0.00479311,0.00741692,0.00533135,0.00680615,0.0048411,0.00564056,0.00400746,0.00391032,0.00301686,0.00285554,0.00223251,0.00167086,0.00192317,0.00133297,0.00115131,0.000836286,0.000877741,0.000489193,0.000493163,0.000378565,0.000366566,0.000256445,0.000280816,0.000180563,0.000181978,9.17037e-05,0.000121701,8.13434e-05,6.91002e-05,
600,0.0272337,0.0268561,0.0272753,0.027048,0.0267867,0.0268338,0.027049,0.0264426,0.027054,0.0264511,0.0272618,0.0272222,0.0266842,0.0266339,0.0263092,0.027037,0.0266147,0.027044,0.0268338,0.0272497,0.0268385,0.0265021,0.0270359,0.0266543,0.0272497,0.0257185,0.0264742,0.0272568,0.0266537,0.0263012,0.0264693,0.0264554,0.0262618,0.0246131,0.0244808,0.0241029,0.0200556,0.0244361,0.0154249,0.0211564,0.0168212,0.0166392,0.00735828,0.0133535,0.0160158,0.0102926,0.0121723,0.00934902,0.0109757,0.00797883,0.0112949,0.00752094,0.00752411,0.00627495,0.00733373,0.00656226,0.00576677,0.00474934,0.00501439,0.00493556,0.0050176,0.00391665,0.00448996,0.00377944,0.00509436,0.0032291,0.00431616,0.00348293,0.00414135,0.00305,0.00387772,0.00244981,0.0040728,0.00293844,0.00352749,0.00234364,0.00298224,0.0021697,0.00228162,0.00160457,0.00156921,0.00142112,0.000987324,0.00100432,0.000818822,0.00073142,0.000543586,0.00054615,0.000381055,0.000319382,0.000247853,0.000224619,0.000183828,0.000211605,0.000140594,0.000132825,9.17037e-05,0.00010588,7.46616e-05,6.91002e-05,
800,0.0376181,0.0375985,0.0377027,0.0378672,0.0363967,0.0373068,0.0370808,0.0370196,0.0368547,0.0359059,0.0369812,0.0373549,0.0359534,0.0370337,0.0365846,0.0375641,0.0367388,0.0375857,0.0372401,0.0381496,0.0373082,0.0368352,0.037304,0.037316,0.0381496,0.035242,0.0362852,0.0376033,0.0335075,0.0365638,0.0357066,0.0357407,0.0323403,0.0313539,0.0272414,0.0280594,0.0158946,0.02843,0.0143361,0.0227107,0.0168212,0.0153872,0.00879052,0.0133535,0.0160158,0.0112283,0.0108936,0.00934902,0.0103452,0.0083853,0.00921487,0.00752094,0.00752411,0.00627495,0.0068316,0.00542677,0.00515974,0.00407086,0.00501439,0.00390974,0.00401408,0.00294901,0.00355292,0.00298156,0.00342711,0.00247564,0.00267602,0.0022639,0.00265047,0.0019215,0.00220378,0.00147484,0.002569,0.00157329,0.00215009,0.00125816,0.00183612,0.00126639,0.00130844,0.000893527,0.00104503,0.000782958,0.000700288,0.00069425,0.000472529,0.00041916,0.000402253,0.000316767,0.00028307,0.000215163,0.000190847,0.000179695,0.000151795,0.000140215,0.000120012,0.000107292,7.95337e-05,8.78916e-05,7.46616e-05,6.18611e-05,
1000,0.0522565,0.0526379,0.0517555,0.0521726,0.0505682,0.0515256,0.0493931,0.0503008,0.0487617,0.0502683,0.0503235,0.0519157,0.0487153,0.051015,0.0500124,0.0525898,0.0506689,0.0518972,0.0506005,0.053039,0.0518215,0.0505554,0.0496904,0.0518577,0.0517686,0.047692,0.0482075,0.0508013,0.0433834,0.0470106,0.0461385,0.0449312,0.038468,0.03434,0.0309534,0.0280594,0.0197093,0.02843,0.0172033,0.020081,0.0183867,0.016413,0.0105309,0.0124809,0.0160158,0.0102905,0.0108936,0.00879571,0.00963395,0.0083853,0.00921487,0.00713043,0.00681049,0.00627495,0.0068316,0.004647,0.00454822,0.00407086,0.00414604,0.0033531,0.00340241,0.00294901,0.0029538,0.00250086,0.00284921,0.00215229,0.00218291,0.00182336,0.00212557,0.00135681,0.00176302,0.00116582,0.00180837,0.00119121,0.00149104,0.000969251,0.00124347,0.000800771,0.000814138,0.000649355,0.00067026,0.00058349,0.000527692,0.000456418,0.000403797,0.000312918,0.000299176,0.000245494,0.000246097,0.000187318,0.00015755,0.000141383,0.000137338,0.000104792,0.000104738,9.17941e-05,7.95337e-05,8.78916e-05,7.07173e-05,5.76493e-05,
1200,0.0720704,0.0701501,0.0707131,0.0702215,0.0678209,0.0700328,0.0685891,0.0677265,0.0677929,0.066748,0.0678589,0.071674,0.0648251,0.0678139,0.0673571,0.0696567,0.0680411,0.0699246,0.0670725,0.0687506,0.0691912,0.065832,0.0669513,0.0681558,0.068162,0.0612659,0.0629851,0.0623818,0.0551985,0.05251,0.0538749,0.0495578,0.0428134,0.0320258,0.0351743,0.0280594,0.0221559,0.02843,0.0196882,0.020081,0.0183867,0.016413,0.0128664,0.011422,0.0160158,0.0110099,0.0114436,0.00879571,0.00963395,0.00770803,0.00921487,0.00713043,0.00645516,0.0054629,0.00582,0.00389186,0.00454822,0.0035138,0.00414604,0.00292289,0.00302351,0.00241713,0.00253786,0.00222626,0.0023421,0.00183063,0.00198784,0.00153781,0.0018904,0.00127233,0.00154032,0.000943762,0.00126586,0.00106017,0.00119007,0.000756437,0.000877339,0.000668469,0.000612998,0.000498281,0.000549989,0.000371426,0.000445002,0.000381973,0.000336498,0.0002418,0.000259652,0.000227689,0.000220316,0.000157742,0.00014836,0.000116641,0.000137338,9.8869e-05,0.000104738,9.17941e-05,7.95337e-05,7.06873e-05,6.62509e-05,5.3257e-05,
1400,0.0956976,0.0934426,0.0957841,0.0897274,0.0907105,0.0966992,0.093925,0.0914972,0.0935808,0.0886795,0.0923672,0.0929545,0.0864743,0.0891681,0.0897223,0.0903382,0.0903389,0.091918,0.0907076,0.0909168,0.0906483,0.0838616,0.0883217,0.0900196,0.0871288,0.0778438,0.0784892,0.0736885,0.0669958,0.0606544,0.0538749,0.0495578,0.0501192,0.034982,0.0370683,0.0280594,0.0248352,0.0260858,0.0224953,0.0181744,0.0183867,0.016413,0.0150108,0.0121488,0.0160158,0.0110099,0.0114436,0.00879571,0.00963395,0.00770803,0.00921487,0.00664022,0.00561599,0.00502587,0.00487425,0.00389186,0.00423427,0.00302106,0.00385103,0.00260015,0.00302351,0.00241713,0.00253786,0.00222626,0.0023421,0.00183063,0.00184532,0.00138403,0.00168036,0.0011798,0.00124847,0.000889833,0.00106599,0.000888526,0.00101907,0.000676894,0.000770532,0.000605555,0.000554733,0.00043587,0.000497947,0.00033949,0.000414704,0.000314947,0.000336498,0.000205283,0.000210934,0.000190552,0.000196166,0.000157742,0.000139342,0.000116641,0.000123604,9.10419e-05,9.37651e-05,7.82666e-05,7.3171e-05,6.29117e-05,6.62509e-05,4.90408e-05,
1600,0.125364,0.125213,0.126116,0.122167,0.122548,0.128472,0.123749,0.121878,0.126189,0.116403,0.121472,0.121236,0.113508,0.114723,0.119069,0.116919,0.122368,0.116375,0.120569,0.115788,0.11911,0.107217,0.114638,0.105729,0.10804,0.0910772,0.10074,0.0856914,0.0845076,0.0671487,0.0649797,0.0495578,0.0553167,0.034982,0.0435371,0.0280594,0.0274518,0.0260858,0.0239249,0.0181744,0.0183867,0.0182404,0.0162668,0.0128396,0.0160158,0.0110099,0.0114436,0.00765744,0.00963395,0.00770803,0.00921487,0.00664022,0.00561599,0.00463254,0.00487425,0.00367958,0.00453259,0.00302106,0.00385103,0.00260015,0.00302351,0.00241713,0.00253786,0.00202589,0.00206285,0.00183063,0.00169697,0.00138403,0.00153778,0.00105598,0.00116986,0.000752489,0.000965,0.000770056,0.000928486,0.000596898,0.000770532,0.000508666,0.00046786,0.00043587,0.000445868,0.000322329,0.000330958,0.000314947,0.000269892,0.000205283,0.000210934,0.000163719,0.00017001,0.000137665,0.000131214,0.000116641,0.000115527,9.10419e-05,9.37651e-05,7.82666e-05,7.75755e-05,6.29117e-05,6.62509e-05,4.60229e-05,
1800,0.166906,0.161244,0.161804,0.160662,0.161807,0.160663,0.164671,0.157087,0.16723,0.144189,0.156178,0.156969,0.148203,0.147188,0.148472,0.15337,0.160411,0.152345,0.153869,0.14504,0.145213,0.133921,0.143124,0.132318,0.13414,0.109109,0.116901,0.0985451,0.0957195,0.0716252,0.0718197,0.0467259,0.0650959,0.034982,0.0435371,0.0280594,0.0297635,0.0260858,0.0272836,0.0181744,0.0209608,0.0191524,0.0184579,0.0128396,0.0151842,0.012432,0.0122065,0.00765744,0.00963395,0.00770803,0.00921487,0.00619272,0.00561599,0.00463254,0.00487425,0.00367958,0.00453259,0.00302106,0.00385103,0.00242849,0.00302351,0.00241713,0.00253786,0.00180344,0.00206285,0.00157716,0.00150303,0.00138403,0.00145252,0.00105598,0.00116986,0.000752489,0.0008685,0.0007006,0.000928486,0.000596898,0.000666238,0.000508666,0.00046786,0.000403753,0.000420667,0.000322329,0.000330958,0.000251958,0.000269892,0.000188487,0.00018699,0.000163719,0.00017001,0.000137665,0.000131214,0.000108999,0.000103974,8.5508e-05,9.37651e-05,7.82666e-05,7.75755e-05,6.29117e-05,6.25063e-05,4.8665e-05,
2000,0.206455,0.204839,0.204533,0.205051,0.201636,0.21154,0.212738,0.196976,0.217887,0.188486,0.190815,0.203901,0.183209,0.190293,0.188907,0.184333,0.197576,0.193278,0.195094,0.175282,0.178612,0.171419,0.170907,0.158242,0.171537,0.132227,0.132411,0.0985451,0.112633,0.0716252,0.083572,0.0467259,0.0709103,0.0370737,0.0502993,0.0280594,0.0344292,0.0230375,0.0292725,0.0191906,0.0209608,0.0191524,0.0184579,0.0128396,0.0151842,0.012432,0.0114088,0.00809059,0.0106411,0.00770803,0.00921487,0.00619272,0.00561599,0.00437518,0.00487425,0.00391237,0.00453259,0.00302106,0.00339462,0.00217544,0.00272116,0.00224256,0.00253786,0.00180344,0.00206285,0.00141148,0.00150303,0.00120146,0.00145252,0.00105598,0.00116986,0.000752489,0.0008685,0.000645447,0.00085862,0.000596898,0.000609317,0.000481397,0.00046786,0.000403753,0.000374476,0.000322329,0.000330958,0.00023777,0.000269892,0.000188487,0.00018699,0.000163719,0.00017001,0.000137665,0.000131214,0.000108999,0.000103974,8.5508e-05,8.64269e-05,7.82666e-05,8.33093e-05,6.29117e-05,5.76893e-05,4.8665e-05,
