mc_step,l = 0error,l = 1error,l = 2error,l = 3error,l = 4error,l = 5error,l = 6error,l = 7error,l = 8error,l = 9error,l = 10error,l = 11error,l = 12error,l = 13error,l = 14error,l = 15error,l = 16error,l = 17error,l = 18error,l = 19error,l = 20error,l = 21error,l = 22error,l = 23error,l = 24error,l = 25error,l = 26error,l = 27error,l = 28error,l = 29error,l = 30error,l = 31error,l = 32error,l = 33error,l = 34error,l = 35error,l = 36error,l = 37error,l = 38error,l = 39error,l = 40error,l = 41error,l = 42error,l = 43error,l = 44error,l = 45error,l = 46error,l = 47error,l = 48error,l = 49error,
0,0.04753,0.0207441,0.0590261,0.0569436,0.0409292,0.0526037,0.059723,0.0437292,0.0428972,0.0553232,0.0462366,0.0206042,0.0563526,0.0237185,0.030154,0.0494398,0.0382308,0.0417386,0.050763,0.0469963,0.0502313,0.0573866,0.0441709,0.0468988,0.0525002,0.0292513,0.00583682,0.0190485,0.059382,0.0489733,0.0495233,0.050308,0.0531004,0.0504471,0.0507513,0.0532226,0.0546112,0.0481527,0.0496613,0.0537135,0.0397381,0.0472392,0.0556128,0.00639141,0.0402799,0.0485788,0.0406374,0.0480933,0.0406192,0.0535697,
10,0.0424302,0.0534396,0.0593573,0.0448714,0.0455191,0.0552743,0.0472166,0.0213702,0.056388,0.0562651,0.0304841,0.0500353,0.0589852,0.0242794,0.051102,0.0454701,0.0507376,0.0572772,0.0421635,0.0452409,0.0515311,0.023161,0.0444311,0.0369519,0.059201,0.042589,0.0466967,0.0492813,0.0522957,0.0267263,0.0486694,0.0527756,0.0542283,0.0150285,0.0488017,0.0531342,0.00532219,0.0489092,0.0555537,0.0471472,0.0475505,0.0484702,0.0468277,0.0479904,0.0397656,0.0535392,0.0396827,0.0406029,0.00636713,0.0406039,
20,0.0553656,0.0462095,0.0226127,0.0559792,0.0560141,0.0417188,0.0500397,0.0588047,0.0327337,0.051197,0.0593905,0.0507307,0.0573215,0.0449861,0.0471133,0.0520554,0.0527468,0.0444151,0.0458113,0.0591907,0.0393029,0.0462763,0.0489153,0.0519387,0.0219025,0.0476708,0.0519994,0.0535874,0.0405626,0.0486674,0.0522829,0.0227432,0.0469605,0.0550478,0.0361754,0.0451492,0.0477756,0.0424981,0.0466044,0.0243989,0.0535066,0.0137578,0.0471276,0.00515144,0.0467771,0.0405922,0.0405186,0.0397285,0.0396779,0.00633508,
30,0.0400981,0.0493322,0.0591759,0.0311137,0.0495537,0.0592846,0.0515893,0.0574815,0.0462389,0.0484556,0.0517652,0.0525886,0.0555877,0.0561716,0.0590514,0.0556318,0.0448506,0.0495816,0.0525396,0.0149859,0.0476819,0.0514541,0.0531094,0.0459084,0.047862,0.0518559,0.0449055,0.0446191,0.0542681,0.0429978,0.0429051,0.0461782,0.0376242,0.0442323,0.0130973,0.053272,0.0386664,0.0458424,0.0222418,0.0464685,0.0345672,0.0423593,0.0404843,0.0404533,0.0237157,0.0394598,0.013402,0.0396618,0.00513521,0.00629731,
40,0.0586363,0.0517075,0.0569615,0.0436165,0.0475511,0.0509409,0.0522854,0.0554899,0.0565389,0.0592759,0.0557441,0.0497147,0.048846,0.0533034,0.0306272,0.0490648,0.0512368,0.0526608,0.0588684,0.0489375,0.0513007,0.0384909,0.0463794,0.0535273,0.0451384,0.0443829,0.0447416,0.0407235,0.0440784,0.0138512,0.052948,0.0436521,0.0443744,0.0406507,0.0446841,0.0409512,0.0419276,0.0283493,0.0395831,0.0111595,0.0402375,0.0379947,0.0395507,0.0379402,0.0344772,0.0211403,0.0237073,0.0133021,0.00625265,0.00513085,
50,0.0520021,0.0523858,0.0554458,0.056658,0.0592299,0.055399,0.0505403,0.0501966,0.0531033,0.0588262,0.0443468,0.0514715,0.0521986,0.0588042,0.0449794,0.050667,0.0567048,0.052297,0.0536777,0.0499047,0.0497817,0.0461069,0.0440773,0.0439014,0.0294968,0.0521758,0.0437266,0.0435841,0.0433909,0.0437027,0.0354573,0.0421711,0.034983,0.0417004,0.0132597,0.0400739,0.0392603,0.0378829,0.0386344,0.0375629,0.0373942,0.0369211,0.0282689,0.034156,0.0234176,0.010935,0.0209283,0.0132451,0.00621166,0.00512756,
60,0.0556546,0.0513968,0.0502079,0.0531461,0.0591467,0.0436712,0.0519312,0.0523278,0.0586777,0.0527757,0.0514471,0.0569204,0.0511335,0.0534566,0.0498593,0.0546695,0.0530294,0.0560409,0.0591495,0.0444345,0.0525973,0.0463846,0.0491646,0.0437233,0.0434699,0.0433575,0.0435769,0.0426476,0.0417983,0.0414126,0.027758,0.038605,0.0368913,0.0343688,0.036693,0.0312323,0.0364419,0.0340394,0.0370347,0.0125882,0.0356804,0.0357025,0.033535,0.0282231,0.0232786,0.0208136,0.0130511,0.0108624,0.00619327,0.00511908,
70,0.0418461,0.0514451,0.0514656,0.0585916,0.0518693,0.0511594,0.0565889,0.0539437,0.0536142,0.0552004,0.0542453,0.0527752,0.0569765,0.0594767,0.0493283,0.0518213,0.0521387,0.0498957,0.0505886,0.050364,0.058661,0.0452292,0.0409261,0.0426155,0.0423215,0.0422393,0.0408993,0.0410295,0.0413973,0.0401513,0.0364233,0.0366379,0.035398,0.0338717,0.034161,0.0316679,0.0275893,0.0344196,0.0315961,0.0340394,0.0306495,0.0327001,0.0256879,0.0230813,0.0208017,0.0125025,0.012865,0.0108412,0.00614818,0.0051173,
80,0.0507051,0.0575956,0.0539596,0.0534582,0.0553036,0.0536053,0.0523936,0.056762,0.0598229,0.0494269,0.0515296,0.0530451,0.0515412,0.0504942,0.0508684,0.0584557,0.058353,0.0518993,0.0522638,0.049323,0.0451619,0.0421573,0.0413397,0.0409503,0.04082,0.0401236,0.0396143,0.0390037,0.0379799,0.0364056,0.0328985,0.0332709,0.0310322,0.0329739,0.0337741,0.0310384,0.031217,0.0282494,0.0289942,0.0286443,0.0298562,0.0259407,0.025611,0.0222167,0.0206823,0.0126173,0.0124505,0.0108412,0.00610714,0.00511466,
90,0.0540775,0.0525566,0.0559493,0.059914,0.050232,0.0509399,0.0530794,0.0524848,0.0503969,0.0491134,0.058186,0.0582716,0.0533893,0.0531958,0.0578975,0.0552514,0.0525253,0.0435023,0.0500681,0.0499155,0.0532053,0.0397322,0.0402303,0.0399828,0.0403468,0.0389804,0.0388336,0.0379756,0.0375695,0.0327764,0.0274007,0.0322084,0.0302775,0.0308877,0.0306329,0.0286571,0.0263303,0.0272596,0.0260011,0.0259757,0.0258196,0.0255843,0.0242409,0.0216984,0.020278,0.0124775,0.012381,0.0108338,0.00610086,0.00511169,
