mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,1,0.99,0.99,1,1,0.98,0.95,0.96,0.94,0.94,0.94,0.84,0.75,0.71,0.51,0.52,0.36,0.35,0.27,0.28,0.3,0.16,0.22,0.2,0.22,0.23,0.16,0.22,0.28,0.36,0.4,0.42,0.47,0.47,0.49,0.45,0.43,0.36,0.34,0.33,0.26,0.15,0.07,0.03,
400,1,1,1,1,1,1,0.995,0.99,1,1,0.98,0.95,0.955,0.935,0.91,0.915,0.82,0.76,0.585,0.275,0.505,0.255,0.295,0.23,0.23,0.28,0.19,0.135,0.24,0.175,0.17,0.215,0.205,0.24,0.36,0.395,0.41,0.475,0.495,0.475,0.48,0.48,0.42,0.41,0.42,0.34,0.255,0.14,0.06,
600,1,1,1,1,0.996667,1,0.996667,0.99,1,0.996667,0.98,0.946667,0.953333,0.953333,0.91,0.873333,0.793333,0.576667,0.51,0.183333,0.566667,0.336667,0.38,0.273333,0.36,0.426667,0.386667,0.283333,0.406667,0.363333,0.336667,0.386667,0.373333,0.343333,0.44,0.46,0.476667,0.546667,0.513333,0.523333,0.536667,0.513333,0.48,0.48,0.493333,0.386667,0.373333,0.286667,0.25,
800,1,1,0.9975,0.9975,0.9975,1,0.9975,0.9925,0.9975,0.9975,0.985,0.955,0.9475,0.94,0.8725,0.78,0.6375,0.5925,0.5125,0.2275,0.6,0.47,0.51,0.405,0.4825,0.535,0.4825,0.385,0.4975,0.45,0.4275,0.4675,0.4875,0.425,0.525,0.545,0.5325,0.59,0.5725,0.575,0.5975,0.55,0.535,0.55,0.5575,0.4925,0.45,0.4075,0.4025,
1000,1,1,0.998,0.998,0.998,1,0.998,0.982,0.99,0.998,0.982,0.956,0.942,0.89,0.782,0.728,0.668,0.636,0.554,0.326,0.63,0.52,0.558,0.466,0.52,0.566,0.532,0.444,0.546,0.524,0.496,0.526,0.554,0.492,0.582,0.574,0.582,0.632,0.606,0.602,0.614,0.586,0.588,0.586,0.578,0.538,0.5,0.478,0.434,
1200,0.998333,0.998333,0.998333,0.996667,0.998333,1,0.998333,0.983333,0.986667,0.993333,0.968333,0.95,0.928333,0.833333,0.773333,0.741667,0.658333,0.655,0.576667,0.39,0.638333,0.558333,0.578333,0.51,0.566667,0.596667,0.56,0.493333,0.59,0.565,0.546667,0.576667,0.605,0.538333,0.61,0.61,0.601667,0.638333,0.631667,0.628333,0.635,0.583333,0.618333,0.608333,0.608333,0.578333,0.528333,0.518333,0.475,
1400,0.998571,0.998571,0.998571,0.997143,0.998571,0.995714,0.997143,0.981429,0.987143,0.988571,0.965714,0.941429,0.91,0.82,0.761429,0.74,0.657143,0.651429,0.567143,0.434286,0.652857,0.581429,0.6,0.554286,0.575714,0.614286,0.591429,0.52,0.611429,0.584286,0.568571,0.608571,0.642857,0.578571,0.634286,0.617143,0.605714,0.651429,0.655714,0.655714,0.641429,0.6,0.647143,0.625714,0.628571,0.6,0.555714,0.547143,0.517143,
1600,0.9975,0.99875,0.99875,0.9975,0.9975,0.99375,0.9975,0.98125,0.98625,0.985,0.96,0.93375,0.9025,0.81875,0.76125,0.73,0.64875,0.6575,0.5775,0.4675,0.665,0.595,0.61125,0.575,0.6025,0.64125,0.6125,0.55375,0.63875,0.61,0.58625,0.6175,0.6525,0.605,0.65625,0.64375,0.61875,0.65875,0.66625,0.6625,0.66,0.61375,0.65875,0.6375,0.63875,0.61875,0.57625,0.5675,0.54,
1800,0.996667,0.998889,0.998889,0.997778,0.997778,0.992222,0.993333,0.981111,0.986667,0.984444,0.961111,0.922222,0.9,0.808889,0.757778,0.717778,0.647778,0.651111,0.598889,0.5,0.667778,0.601111,0.62,0.595556,0.63,0.657778,0.634444,0.575556,0.648889,0.616667,0.61,0.635556,0.656667,0.62,0.672222,0.646667,0.631111,0.684444,0.688889,0.678889,0.674444,0.627778,0.664444,0.644444,0.651111,0.636667,0.6,0.59,0.555556,
2000,0.997,0.999,0.998,0.998,0.998,0.992,0.993,0.981,0.985,0.98,0.96,0.922,0.888,0.812,0.744,0.722,0.642,0.66,0.61,0.517,0.675,0.622,0.636,0.609,0.643,0.66,0.654,0.593,0.659,0.63,0.628,0.64,0.663,0.633,0.677,0.661,0.643,0.694,0.694,0.686,0.671,0.639,0.671,0.648,0.653,0.646,0.618,0.6,0.574,
2200,0.997273,0.999091,0.997273,0.998182,0.996364,0.990909,0.991818,0.980909,0.984545,0.977273,0.956364,0.917273,0.884545,0.807273,0.734545,0.712727,0.650909,0.670909,0.61,0.54,0.681818,0.629091,0.652727,0.624545,0.652727,0.662727,0.668182,0.602727,0.67,0.63,0.645455,0.648182,0.668182,0.636364,0.68,0.669091,0.646364,0.689091,0.704545,0.701818,0.678182,0.642727,0.675455,0.662727,0.66,0.650909,0.624545,0.608182,0.589091,
2400,0.9975,0.999167,0.996667,0.9975,0.995,0.990833,0.9925,0.980833,0.983333,0.975,0.95,0.914167,0.869167,0.81,0.731667,0.708333,0.65,0.6725,0.6175,0.564167,0.685833,0.644167,0.6675,0.636667,0.660833,0.669167,0.6725,0.6175,0.674167,0.639167,0.656667,0.6575,0.665833,0.653333,0.690833,0.67,0.66,0.6925,0.700833,0.705,0.681667,0.645,0.679167,0.671667,0.665,0.655833,0.635833,0.614167,0.598333,
2600,0.997692,0.998462,0.996923,0.996923,0.994615,0.991538,0.991538,0.981538,0.981538,0.973846,0.945385,0.916154,0.866154,0.803846,0.724615,0.702308,0.647692,0.673846,0.63,0.580769,0.695385,0.660769,0.67,0.638462,0.670769,0.676154,0.677692,0.629231,0.673846,0.636154,0.663846,0.667692,0.675385,0.666154,0.702308,0.676154,0.666923,0.696923,0.703846,0.710769,0.686154,0.648462,0.687692,0.677692,0.670769,0.660769,0.643077,0.619231,0.602308,
2800,0.997143,0.998571,0.997143,0.996429,0.994286,0.991429,0.990714,0.982857,0.977143,0.970714,0.940714,0.912857,0.864286,0.799286,0.722143,0.701429,0.650714,0.675714,0.636429,0.591429,0.696429,0.669286,0.679286,0.645714,0.678571,0.682143,0.682857,0.635,0.672143,0.644286,0.673571,0.675714,0.682143,0.668571,0.707857,0.683571,0.666429,0.705,0.708571,0.709286,0.692857,0.647143,0.690714,0.682143,0.675714,0.665,0.647143,0.626429,0.605,
3000,0.997333,0.998667,0.996667,0.996,0.994667,0.991333,0.990667,0.982,0.977333,0.969333,0.935333,0.907333,0.86,0.798,0.720667,0.694,0.657333,0.679333,0.641333,0.598667,0.704,0.668667,0.682667,0.648,0.681333,0.686667,0.682,0.64,0.674,0.644,0.680667,0.683333,0.694,0.674,0.711333,0.680667,0.678667,0.706667,0.709333,0.713333,0.696,0.654667,0.694,0.684,0.678667,0.674,0.653333,0.632,0.61,
