mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,1,1,1,0.990654,1,0.989011,0.991071,0.988636,1,0.990476,0.981651,1,0.989474,1,0.990385,0.979167,1,1,1,1,0.990385,1,1,1,0.977528,0.990991,1,0.990826,0.990291,0.989691,0.979798,0.960396,0.990385,0.989583,1,0.989474,0.967033,0.926606,0.93,0.92,0.956989,0.841121,0.896907,0.805825,0.84,0.69,0.829787,0.632075,0.637255,0.663265,0.510204,0.627451,0.405941,0.575758,0.434343,0.554455,0.378641,0.546392,0.340206,0.61165,0.198113,0.510638,0.308411,0.451613,0.273684,0.52381,0.235955,0.468468,0.358491,0.468085,0.34,0.42,0.305556,0.521739,0.420561,0.344086,0.363636,0.375,0.444444,0.366337,0.4,0.390476,0.42,0.45,0.549451,0.486239,0.424528,0.5,0.553398,0.505155,0.554455,0.373737,0.5,0.423913,0.473118,0.523364,0.5,0.383929,0.427083,0.423077,
400,0.979381,1,0.978947,0.990476,1,1,0.989796,1,0.976744,0.982456,1,1,0.990196,0.979592,1,1,1,1,1,1,0.978495,1,0.990291,1,0.981651,0.978022,0.968421,0.971429,1,0.989011,0.98,0.99,1,0.933333,0.96875,0.951923,0.858491,0.893617,0.825688,0.78022,0.533333,0.736364,0.311321,0.819149,0.116279,0.77193,0.198113,0.638298,0.494949,0.346535,0.398058,0.381443,0.457143,0.305263,0.574257,0.272727,0.417476,0.340206,0.475248,0.252525,0.510204,0.294118,0.475248,0.313131,0.444444,0.287129,0.457944,0.322581,0.5,0.231707,0.435185,0.206522,0.429907,0.236559,0.406977,0.22807,0.357143,0.294118,0.436893,0.360825,0.352381,0.4,0.408163,0.411765,0.47619,0.463158,0.458333,0.461538,0.44898,0.490196,0.56,0.44,0.551724,0.460177,0.570093,0.516129,0.572816,0.350515,0.536585,0.432203,
600,1,0.967742,1,1,1,1,1,0.989899,0.989474,0.990476,1,0.99,1,0.989899,1,1,1,0.954955,1,0.990991,1,0.980392,1,0.959596,1,0.954545,1,0.959596,0.990385,0.979167,0.98913,0.935185,0.979167,0.951923,0.866667,0.747368,0.670455,0.633929,0.62069,0.610619,0.630435,0.62963,0.54902,0.489796,0.672897,0.376344,0.705263,0.47619,0.742857,0.410526,0.526316,0.52381,0.569892,0.457944,0.540541,0.382022,0.621359,0.247423,0.548077,0.28125,0.484536,0.300971,0.463158,0.266667,0.278351,0.213592,0.298077,0.15625,0.217391,0.185185,0.325843,0.144144,0.214286,0.107843,0.153846,0.0642202,0.183673,0.0980392,0.218182,0.155556,0.229358,0.175824,0.234043,0.160377,0.280702,0.267442,0.395833,0.230769,0.41573,0.252252,0.419643,0.329545,0.444444,0.304688,0.453608,0.320388,0.627907,0.45614,0.598039,0.510204,
800,0.989796,0.95098,0.988095,0.974138,1,0.951923,1,0.927273,1,0.982456,0.982301,0.977011,1,0.962617,1,0.98,0.970874,0.979381,0.990385,0.979167,0.971963,0.989247,0.990566,0.957447,0.96,0.95,1,0.945652,0.962963,0.956522,0.960396,0.858586,0.878505,0.827957,0.908257,0.659341,0.897727,0.633929,0.854545,0.566667,0.89011,0.623853,0.795918,0.637255,0.841121,0.612903,0.835294,0.652174,0.584158,0.585859,0.719626,0.55914,0.634783,0.470588,0.563107,0.505155,0.636364,0.422764,0.480769,0.322917,0.510638,0.40566,0.464646,0.366337,0.47561,0.254237,0.427083,0.326923,0.36,0.31,0.306122,0.235294,0.311927,0.208791,0.257732,0.281553,0.191667,0.1375,0.136364,0.144444,0.290323,0.224299,0.265487,0.183908,0.330097,0.206186,0.397849,0.317757,0.327586,0.261905,0.436893,0.28866,0.401961,0.306122,0.45098,0.346939,0.6,0.463158,0.575221,0.517241,
1000,0.99,0.96,0.968421,0.961905,0.966292,0.963964,0.972973,1,0.947917,0.951923,0.923913,0.935185,0.949495,0.990099,0.99,0.97,0.972477,0.934066,0.978947,0.942857,0.95098,0.959184,0.960396,0.949495,0.979381,0.912621,0.94898,0.95098,0.927835,0.825243,0.891892,0.865169,0.833333,0.72449,0.720721,0.617978,0.821782,0.666667,0.784314,0.693878,0.719626,0.612903,0.828283,0.633663,0.796117,0.556701,0.743119,0.615385,0.696429,0.625,0.72093,0.482456,0.713043,0.505882,0.510417,0.548077,0.566667,0.509091,0.57732,0.524272,0.676471,0.428571,0.45,0.38,0.552632,0.406977,0.524752,0.333333,0.377778,0.318182,0.301887,0.297872,0.384615,0.416667,0.397727,0.303571,0.393939,0.247525,0.376344,0.299065,0.320388,0.195876,0.367347,0.382353,0.447917,0.288462,0.418367,0.323529,0.45,0.36,0.429825,0.5,0.53125,0.480769,0.486239,0.384615,0.397959,0.509804,0.576577,0.573034,
1200,0.958333,0.961538,0.967391,1,0.967391,0.981481,0.970297,0.959596,0.971698,0.978723,0.971963,0.956989,0.92381,0.957895,0.888889,0.945455,0.9375,0.980769,0.949495,0.960396,0.91,0.94,0.936937,0.94382,0.887755,0.882353,0.835165,0.880734,0.84375,0.759615,0.792793,0.640449,0.730337,0.63964,0.822917,0.740385,0.757895,0.761905,0.747573,0.628866,0.777778,0.673267,0.811881,0.535354,0.778947,0.647619,0.628866,0.61165,0.630435,0.601852,0.686047,0.561404,0.666667,0.578947,0.647059,0.602041,0.554455,0.494949,0.558824,0.510204,0.494382,0.486486,0.565217,0.518519,0.433962,0.361702,0.556604,0.478723,0.479167,0.413462,0.463636,0.433333,0.544554,0.363636,0.427083,0.336538,0.476636,0.333333,0.469565,0.282353,0.542056,0.397849,0.548387,0.401869,0.423913,0.324074,0.541667,0.336538,0.5,0.424528,0.469388,0.470588,0.423913,0.472222,0.641509,0.585106,0.535354,0.574257,0.571429,0.605505,
1400,0.900901,0.94382,0.930233,0.947368,0.938144,0.932039,0.951923,0.916667,0.94,0.92,0.911765,0.908163,0.953488,0.938596,0.909091,0.910714,0.939394,0.980198,0.921348,0.936937,0.968421,0.904762,0.982301,0.873563,0.940594,0.909091,0.932039,0.783505,0.893204,0.814433,0.857143,0.724771,0.792453,0.638298,0.714286,0.663793,0.743363,0.655172,0.73913,0.638889,0.634615,0.5625,0.762887,0.68932,0.745098,0.693878,0.793478,0.574074,0.755102,0.637255,0.637931,0.642857,0.640777,0.57732,0.597938,0.601942,0.574257,0.626263,0.551402,0.591398,0.587629,0.446602,0.495575,0.505747,0.58427,0.531532,0.578431,0.377551,0.542857,0.431579,0.564706,0.495652,0.428571,0.372549,0.429907,0.397849,0.597701,0.424779,0.42268,0.485437,0.452991,0.554217,0.5,0.519231,0.469027,0.45977,0.433333,0.490909,0.585859,0.524752,0.494505,0.477064,0.561224,0.54902,0.603448,0.583333,0.615385,0.59633,0.613636,0.517857,
1600,0.898876,0.954955,0.908163,0.931373,0.933333,0.936364,0.908163,0.941176,0.914894,0.915094,0.915789,0.933333,0.854167,0.932692,0.924528,0.904255,0.933962,0.904255,0.83,0.89,0.916667,0.855769,0.8,0.821053,0.798165,0.846154,0.823529,0.843478,0.754545,0.677778,0.697674,0.763158,0.715686,0.653061,0.677778,0.609091,0.75,0.685185,0.71,0.61,0.803922,0.714286,0.699029,0.515464,0.763441,0.682243,0.704762,0.673684,0.61165,0.628866,0.556701,0.553398,0.594059,0.565657,0.757009,0.591398,0.582418,0.623853,0.627907,0.473684,0.617647,0.55102,0.552381,0.505263,0.512195,0.59322,0.445652,0.601852,0.520833,0.490385,0.510204,0.558824,0.419048,0.484211,0.532609,0.518519,0.476636,0.505376,0.597826,0.5,0.527473,0.486239,0.518868,0.521277,0.520408,0.5,0.582418,0.550459,0.46,0.53,0.475248,0.656566,0.566372,0.666667,0.55,0.45,0.526316,0.685714,0.666667,0.461538,
1800,0.929293,0.90099,0.857143,0.875,0.885965,0.918605,0.912621,0.85567,0.84466,0.917526,0.927835,0.902913,0.941748,0.896907,0.932039,0.845361,0.891089,0.878788,0.858586,0.871287,0.852941,0.928571,0.88,0.81,0.905263,0.733333,0.817204,0.700935,0.772277,0.707071,0.648148,0.576087,0.731183,0.691589,0.76,0.69,0.635514,0.55914,0.693069,0.626263,0.742857,0.589474,0.582524,0.628866,0.652174,0.527778,0.647059,0.530435,0.579439,0.591398,0.683673,0.558824,0.534653,0.575758,0.486239,0.637363,0.577982,0.582418,0.563107,0.639175,0.571429,0.559633,0.604396,0.59633,0.620253,0.545455,0.564815,0.608696,0.579545,0.589286,0.62,0.55,0.525253,0.534653,0.575758,0.643564,0.47,0.62,0.621359,0.484536,0.529412,0.489796,0.617647,0.520408,0.643564,0.535354,0.546296,0.434783,0.556604,0.542553,0.669811,0.521277,0.607477,0.623656,0.684211,0.47619,0.548077,0.489583,0.528302,0.595745,
2000,0.89011,0.834862,0.918367,0.823529,0.871287,0.89899,0.843137,0.877551,0.868132,0.816514,0.887931,0.845238,0.84466,0.865979,0.909091,0.866071,0.852941,0.846939,0.788462,0.84375,0.807692,0.770833,0.893204,0.680412,0.803922,0.744898,0.761364,0.705357,0.762376,0.666667,0.681818,0.6875,0.722222,0.645455,0.707071,0.722772,0.586538,0.604167,0.666667,0.682243,0.633663,0.555556,0.688679,0.521277,0.649485,0.592233,0.596154,0.604167,0.571429,0.656863,0.650943,0.606383,0.61,0.55,0.6,0.466667,0.532609,0.5,0.567308,0.552083,0.59596,0.60396,0.649485,0.592233,0.635417,0.644231,0.525773,0.485437,0.454545,0.485149,0.494118,0.495652,0.65,0.53,0.46,0.47,0.515789,0.52381,0.581633,0.598039,0.557895,0.457143,0.494505,0.46789,0.575758,0.584158,0.590909,0.544643,0.59596,0.50495,0.527778,0.532609,0.43956,0.504587,0.47,0.65,0.720721,0.595506,0.596154,0.489583,
