mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
200,1,1,1,1,1,1,1,1,0.98,0.99,0.98,0.99,0.95,0.95,0.91,0.87,0.83,0.64,0.63,0.61,0.39,0.29,0.26,0.36,0.31,0.28,0.31,0.31,0.24,0.27,0.26,0.21,0.25,0.21,0.23,0.21,0.24,0.23,0.22,0.25,0.24,0.24,0.3,0.25,0.27,0.23,0.14,0.06,0.04,
400,1,1,1,1,1,1,0.995,1,0.99,0.99,0.98,0.98,0.96,0.94,0.885,0.875,0.76,0.525,0.545,0.505,0.27,0.4,0.31,0.28,0.29,0.215,0.18,0.235,0.145,0.165,0.21,0.17,0.17,0.18,0.21,0.235,0.25,0.325,0.305,0.315,0.34,0.305,0.365,0.35,0.345,0.28,0.17,0.055,0.02,
600,1,1,1,1,1,1,0.996667,0.996667,0.983333,0.98,0.983333,0.98,0.963333,0.94,0.873333,0.84,0.546667,0.49,0.58,0.59,0.336667,0.426667,0.256667,0.206667,0.256667,0.27,0.233333,0.346667,0.23,0.236667,0.29,0.313333,0.333333,0.33,0.376667,0.39,0.403333,0.43,0.41,0.426667,0.456667,0.423333,0.456667,0.45,0.45,0.363333,0.34,0.223333,0.193333,
800,0.995,1,1,1,1,1,0.9975,0.995,0.985,0.9825,0.9825,0.975,0.9425,0.9025,0.7825,0.7925,0.5525,0.52,0.5875,0.6075,0.39,0.405,0.345,0.3175,0.385,0.3975,0.3925,0.46,0.3675,0.3675,0.4,0.415,0.45,0.43,0.445,0.465,0.4725,0.4725,0.5025,0.4925,0.5275,0.5375,0.5375,0.5275,0.5225,0.445,0.425,0.365,0.3275,
1000,0.996,1,1,1,0.998,0.998,0.992,0.994,0.982,0.978,0.974,0.952,0.928,0.87,0.752,0.756,0.558,0.552,0.608,0.636,0.46,0.478,0.432,0.39,0.45,0.478,0.448,0.536,0.448,0.436,0.476,0.488,0.508,0.492,0.508,0.542,0.544,0.508,0.542,0.544,0.588,0.582,0.58,0.572,0.58,0.492,0.482,0.44,0.41,
1200,0.993333,1,1,0.998333,0.996667,0.998333,0.991667,0.993333,0.983333,0.973333,0.968333,0.94,0.908333,0.856667,0.713333,0.746667,0.58,0.565,0.613333,0.651667,0.516667,0.515,0.493333,0.448333,0.493333,0.513333,0.49,0.58,0.508333,0.476667,0.518333,0.535,0.543333,0.516667,0.546667,0.575,0.59,0.553333,0.571667,0.585,0.613333,0.6,0.605,0.603333,0.613333,0.536667,0.526667,0.496667,0.468333,
1400,0.992857,1,0.998571,0.998571,0.997143,0.998571,0.99,0.992857,0.981429,0.974286,0.962857,0.94,0.897143,0.852857,0.705714,0.73,0.602857,0.582857,0.625714,0.655714,0.515714,0.545714,0.524286,0.49,0.527143,0.538571,0.527143,0.614286,0.534286,0.518571,0.555714,0.582857,0.572857,0.542857,0.587143,0.61,0.627143,0.58,0.598571,0.612857,0.63,0.615714,0.62,0.634286,0.615714,0.568571,0.565714,0.522857,0.51,
1600,0.99375,1,0.99875,0.99875,0.9975,0.9975,0.98875,0.98875,0.97625,0.9725,0.96,0.92875,0.89,0.83625,0.71125,0.73125,0.6075,0.605,0.64125,0.65625,0.5375,0.565,0.5375,0.525,0.555,0.55875,0.56,0.6275,0.5675,0.5425,0.57125,0.6075,0.59,0.56875,0.61375,0.6225,0.63125,0.60125,0.625,0.62125,0.6375,0.61875,0.635,0.635,0.64375,0.595,0.59875,0.53625,0.525,
1800,0.993333,1,0.996667,0.997778,0.996667,0.996667,0.988889,0.987778,0.975556,0.971111,0.956667,0.921111,0.887778,0.83,0.706667,0.72,0.623333,0.603333,0.647778,0.664444,0.554444,0.587778,0.551111,0.546667,0.576667,0.582222,0.574444,0.637778,0.592222,0.564444,0.583333,0.627778,0.601111,0.588889,0.626667,0.634444,0.645556,0.62,0.633333,0.636667,0.652222,0.645556,0.652222,0.645556,0.666667,0.61,0.621111,0.564444,0.534444,
2000,0.994,1,0.996,0.998,0.997,0.997,0.99,0.984,0.971,0.966,0.951,0.92,0.886,0.826,0.695,0.716,0.627,0.615,0.658,0.673,0.577,0.601,0.576,0.56,0.586,0.589,0.595,0.661,0.61,0.59,0.6,0.634,0.611,0.605,0.64,0.641,0.661,0.635,0.655,0.647,0.661,0.653,0.657,0.658,0.669,0.622,0.633,0.587,0.555,
2200,0.994545,1,0.996364,0.996364,0.996364,0.996364,0.987273,0.984545,0.969091,0.964545,0.945455,0.913636,0.876364,0.822727,0.688182,0.71,0.632727,0.624545,0.664545,0.680909,0.592727,0.617273,0.593636,0.577273,0.593636,0.597273,0.615455,0.663636,0.623636,0.600909,0.623636,0.648182,0.625455,0.619091,0.641818,0.64,0.67,0.639091,0.660909,0.658182,0.664545,0.66,0.667273,0.663636,0.673636,0.635455,0.641818,0.592727,0.578182,
2400,0.994167,1,0.995833,0.996667,0.996667,0.995,0.9875,0.985833,0.97,0.964167,0.9425,0.910833,0.871667,0.815833,0.6975,0.695833,0.640833,0.631667,0.669167,0.6775,0.605833,0.63,0.601667,0.576667,0.594167,0.61,0.624167,0.6625,0.636667,0.615833,0.631667,0.655833,0.644167,0.630833,0.65,0.6475,0.681667,0.648333,0.6625,0.6575,0.675833,0.668333,0.676667,0.6675,0.681667,0.648333,0.646667,0.598333,0.59,
