mc_step,l = 0_gamma,l = 0_delta_gamma,l = 1_gamma,l = 1_delta_gamma,l = 2_gamma,l = 2_delta_gamma,l = 3_gamma,l = 3_delta_gamma,l = 4_gamma,l = 4_delta_gamma,l = 5_gamma,l = 5_delta_gamma,l = 6_gamma,l = 6_delta_gamma,l = 7_gamma,l = 7_delta_gamma,l = 8_gamma,l = 8_delta_gamma,l = 9_gamma,l = 9_delta_gamma,l = 10_gamma,l = 10_delta_gamma,l = 11_gamma,l = 11_delta_gamma,l = 12_gamma,l = 12_delta_gamma,l = 13_gamma,l = 13_delta_gamma,l = 14_gamma,l = 14_delta_gamma,l = 15_gamma,l = 15_delta_gamma,l = 16_gamma,l = 16_delta_gamma,l = 17_gamma,l = 17_delta_gamma,l = 18_gamma,l = 18_delta_gamma,l = 19_gamma,l = 19_delta_gamma,l = 20_gamma,l = 20_delta_gamma,l = 21_gamma,l = 21_delta_gamma,l = 22_gamma,l = 22_delta_gamma,l = 23_gamma,l = 23_delta_gamma,l = 24_gamma,l = 24_delta_gamma,l = 25_gamma,l = 25_delta_gamma,l = 26_gamma,l = 26_delta_gamma,l = 27_gamma,l = 27_delta_gamma,l = 28_gamma,l = 28_delta_gamma,l = 29_gamma,l = 29_delta_gamma,l = 30_gamma,l = 30_delta_gamma,l = 31_gamma,l = 31_delta_gamma,l = 32_gamma,l = 32_delta_gamma,l = 33_gamma,l = 33_delta_gamma,l = 34_gamma,l = 34_delta_gamma,l = 35_gamma,l = 35_delta_gamma,l = 36_gamma,l = 36_delta_gamma,l = 37_gamma,l = 37_delta_gamma,l = 38_gamma,l = 38_delta_gamma,l = 39_gamma,l = 39_delta_gamma,l = 40_gamma,l = 40_delta_gamma,l = 41_gamma,l = 41_delta_gamma,l = 42_gamma,l = 42_delta_gamma,l = 43_gamma,l = 43_delta_gamma,l = 44_gamma,l = 44_delta_gamma,l = 45_gamma,l = 45_delta_gamma,l = 46_gamma,l = 46_delta_gamma,l = 47_gamma,l = 47_delta_gamma,l = 48_gamma,l = 48_delta_gamma,l = 49_gamma,l = 49_delta_gamma,
10,0.8276,0.880937,0.356229,0.151676,0.477201,0.635906,0.79287,0.476522,0.662546,0.4928,0.226502,0.288945,0.967315,0.190152,0.071151,0.667662,0.908564,0.489343,0.587051,0.752152,0.874965,0.432036,0.867837,0.971717,0.444203,0.177209,0.480964,0.917111,0.310113,0.462347,0.838806,0.715723,0.49935,0.460363,0.715773,0.514597,0.121559,0.0735398,0.873227,0.900809,0.0312486,0.0800853,0.828854,0.585204,0.753053,0.342374,0.0503816,0.567441,0.360849,0.152737,0.0362494,0.547318,0.0435643,0.856202,0.713518,0.483564,0.0988875,0.399556,0.419041,0.371969,0.934941,0.397527,0.956997,0.631755,0.15678,0.160488,0.209772,0.829641,0.478475,0.054675,0.557751,0.85583,0.500727,0.00082719,0.261683,0.751356,0.844967,0.10956,0.77122,0.448727,0.490149,0.47786,0.770904,0.640406,0.1925,0.0803543,0.342182,0.719333,0.086787,0.915321,0.380896,0.447118,0.0211162,0.847676,0.174586,0.509848,0.994882,0.00971148,0.881794,0.22558,
20,0.233115,0.270506,0.966737,0.200221,0.0516803,0.671955,0.908763,0.430907,0.573134,0.717862,0.861049,0.442869,0.881857,0.983893,0.437973,0.119662,0.504162,0.928378,0.296361,0.466071,0.808783,0.733311,0.487125,0.47727,0.727235,0.528275,0.819605,0.91922,0.858382,0.904328,0.801539,0.474167,0.838426,0.570372,0.670104,0.502433,0.460152,0.655046,0.770327,0.326002,0.0453982,0.565686,0.0189801,0.841413,0.694478,0.457776,0.362397,0.154608,0.379226,0.355038,0.946777,0.371885,0.905995,0.631169,0.110965,0.0814091,0.197933,0.820127,0.054271,0.0791769,0.544648,0.841959,0.0310405,0.506551,0.241284,0.737061,0.345794,0.107734,0.728258,0.448727,0.0872969,0.391399,0.756803,0.634228,0.144,0.15818,0.324076,0.718669,0.460318,0.045559,0.0859301,0.914378,0.495846,0.00082719,0.487359,0.475045,0.840867,0.108973,0.379425,0.446147,0.0195541,0.846881,0.174165,0.509063,0.189166,0.0801739,0.881794,0.224813,0.994786,0.00970418,
30,0.862984,0.442484,0.846375,0.975901,0.429014,0.0956213,0.496074,0.922727,0.296173,0.469068,0.811475,0.697082,0.506546,0.467161,0.732947,0.506153,0.817082,0.924585,0.819972,0.890522,0.939878,0.408784,0.833754,0.577411,0.79237,0.481866,0.482253,0.600951,0.66922,0.504456,0.560552,0.747263,0.970149,0.242252,0.721688,0.436469,0.255212,0.258902,0.768273,0.326806,0.96623,0.291483,0.919431,0.618403,0.0147556,0.666992,0.189023,0.817859,0.00362453,0.847084,0.524049,0.823814,0.376204,0.347214,0.14959,0.704627,0.0422597,0.547471,0.701812,0.441417,0.328077,0.12037,0.729061,0.632052,0.10784,0.0475157,0.308825,0.686568,0.0499116,0.0791769,0.068651,0.895457,0.00324315,0.484238,0.484136,0.465345,0.316181,0.072465,0.37635,0.441089,0.0784377,0.364185,0.0145329,0.845522,0.174165,0.507756,0.140944,0.155916,0.880454,0.224453,0.458471,0.044804,0.840616,0.108042,0.495467,0.000363304,0.994319,0.0093931,0.189166,0.080045,
40,0.841452,0.741278,0.494603,0.468109,0.739869,0.479962,0.846109,0.960938,0.817572,0.901069,0.971562,0.42318,0.819919,0.571509,0.813459,0.500861,0.499689,0.610581,0.665301,0.501293,0.570303,0.712246,0.849908,0.987194,0.311764,0.460552,0.971446,0.24582,0.770953,0.330424,0.990376,0.294684,0.908861,0.580249,0.485424,0.9461,0.201089,0.810638,0.456502,0.101139,0.497307,0.814481,0.737248,0.441622,0.857135,0.447926,0.115726,0.704123,0.66186,0.419262,0.228891,0.222977,0.728187,0.594628,0.00430939,0.660575,0.301458,0.658708,0.00362158,0.84096,0.0445437,0.879889,0.349726,0.317892,0.480348,0.445487,0.0288555,0.534866,0.364174,0.42821,0.294858,0.0968394,0.0128612,0.82208,0.157302,0.505165,0.101508,0.0474747,0.874371,0.217512,0.0512098,0.067246,0.0676375,0.364066,0.0025633,0.477498,0.839406,0.105445,0.31221,0.0636139,0.991885,0.00785231,0.140046,0.154141,0.457633,0.0447198,0.49485,0.000257111,0.189166,0.0798898,
50,0.961706,0.403891,0.807113,0.586458,0.831512,0.521258,0.510312,0.586238,0.646123,0.511923,0.554415,0.702292,0.896755,0.988348,0.858508,0.976898,0.985768,0.228557,0.754215,0.31066,0.963194,0.292345,0.926816,0.612062,0.4846,0.962504,0.846631,0.951213,0.857331,0.752868,0.529366,0.780247,0.318063,0.434595,0.205875,0.797787,0.733522,0.476117,0.857135,0.434133,0.471874,0.460122,0.710478,0.592449,0.70946,0.394175,0.284462,0.643794,0.442016,0.0554921,0.658549,0.397873,0.101074,0.700597,0.479566,0.410079,0.0420479,0.865954,0.364174,0.397942,0.214113,0.220007,0.00205624,0.807338,0.123996,0.499529,0.00430939,0.643402,0.854573,0.217512,0.00362158,0.84096,0.31838,0.299017,0.0676375,0.333271,0.825063,0.103054,0.010879,0.505321,0.0025633,0.475852,0.291862,0.0851701,0.989729,0.0061162,0.0926312,0.0474747,0.138762,0.154071,0.0550113,0.0687701,0.457404,0.0444328,0.311873,0.0633193,0.494566,0.000257111,0.188783,0.0798531,
60,0.57027,0.685229,0.881966,0.973822,0.85238,0.967661,0.999943,0.212931,0.736037,0.361281,0.956934,0.285645,0.931276,0.617045,0.487774,0.987295,0.866788,0.967107,0.880671,0.795147,0.497887,0.784597,0.981008,0.412245,0.188886,0.79161,0.730338,0.493653,0.870053,0.438532,0.833072,0.481584,0.725244,0.575986,0.79562,0.611719,0.538956,0.562711,0.274257,0.639326,0.655312,0.501513,0.640367,0.398108,0.690385,0.371556,0.466593,0.459001,0.299482,0.419547,0.0271772,0.842256,0.479566,0.36071,0.326007,0.386011,0.0399424,0.695188,0.826829,0.189499,0.442016,0.047529,0.102225,0.45483,0.00362158,0.7952,0.00205624,0.798571,0.307303,0.238276,0.00292209,0.603535,0.19502,0.218175,0.805719,0.0974787,0.0676375,0.301796,0.00442692,0.487669,5.48413e-05,0.471671,0.983883,0.00228401,0.135756,0.151793,0.291862,0.0805616,0.454384,0.0434126,0.311329,0.0614588,0.494056,3.1837e-05,0.188578,0.0798095,0.0914711,0.0494957,0.0553003,0.0682331,
70,0.950491,0.278723,0.928708,0.630746,0.48961,0.921585,0.860845,0.948338,0.88262,0.781191,0.536147,0.797806,0.989589,0.422881,0.204686,0.809113,0.717521,0.503226,0.84376,0.46637,0.840301,0.507494,0.726691,0.59388,0.782562,0.628269,0.550394,0.498293,0.29494,0.68444,0.678378,0.507576,0.561339,0.691756,0.864651,0.975453,0.841347,0.969614,0.760569,0.395762,0.660203,0.348619,0.481331,0.444887,0.984769,0.221208,0.625135,0.362388,0.0243673,0.825213,0.287167,0.404652,0.470134,0.323766,0.314424,0.373383,0.0180627,0.693446,0.818988,0.170586,0.00362158,0.783315,0.0859711,0.420574,0.00202207,0.768114,0.272937,0.221533,0.00292209,0.603535,0.441945,0.00979231,0.765,0.0917606,0.0676375,0.297732,0.18095,0.209499,0.000983869,0.480983,5.48413e-05,0.468552,0.982908,0.0008821,0.131981,0.151793,0.291389,0.0791183,0.453251,0.0419802,0.310711,0.0612004,0.493378,3.1837e-05,0.188084,0.0787152,0.0556558,0.0677374,0.0914405,0.0495224,
80,0.552083,0.821302,0.985812,0.390417,0.187741,0.804257,0.70907,0.478285,0.82877,0.518009,0.844529,0.519335,0.728536,0.637441,0.807087,0.641418,0.557761,0.485314,0.294154,0.670467,0.649258,0.51378,0.560189,0.7229,0.837848,0.952664,0.798878,0.963521,0.916219,0.652334,0.454955,0.889165,0.870395,0.979677,0.865845,0.818095,0.497226,0.425083,0.625506,0.361283,0.654497,0.353463,0.765019,0.394183,0.950206,0.271967,0.0215637,0.823462,0.463542,0.311108,0.976762,0.212027,0.24974,0.391694,0.271885,0.354392,0.801716,0.166935,0.00362158,0.758529,0.0762696,0.415172,0.00356165,0.648256,0.00138393,0.74091,0.272937,0.19689,0.00292209,0.579255,0.751919,0.0809776,0.0676375,0.27523,0.18095,0.180011,0.000983869,0.4598,5.48413e-05,0.458386,0.976162,0.000547483,0.441945,0.00327791,0.13089,0.146548,0.288972,0.0753475,0.44835,0.0409596,0.308999,0.0596353,0.49315,3.1837e-05,0.187553,0.0781294,0.0558272,0.0674318,0.0913214,0.0499718,
90,0.786841,0.521298,0.711087,0.635432,0.829543,0.623238,0.546154,0.487454,0.27272,0.646866,0.68916,0.544789,0.563175,0.709816,0.827794,0.953549,0.767158,0.983555,0.940704,0.688829,0.462639,0.875051,0.853591,0.980212,0.741491,0.460133,0.869386,0.837826,0.992808,0.380026,0.519409,0.819818,0.810805,0.484554,0.643114,0.368167,0.185165,0.789137,0.738155,0.394864,0.493224,0.403348,0.647483,0.34343,0.955617,0.237279,0.0116812,0.809419,0.212719,0.379539,0.983026,0.195309,0.44414,0.283977,0.255268,0.352219,0.747363,0.165915,0.000403627,0.735777,0.00138393,0.723472,0.00356165,0.646959,0.0395978,0.39528,0.00292209,0.564997,0.262398,0.168755,0.737414,0.0704546,0.0676375,0.250145,0.000983869,0.429868,0.150192,0.136277,5.48413e-05,0.452818,0.97057,0.000547483,0.12702,0.141252,0.444416,0.0382985,0.282356,0.0715762,0.308157,0.058499,0.492589,3.1837e-05,0.440134,0.00178375,0.187022,0.0771946,0.0559508,0.0673007,0.0913214,0.0501103,
100,0.679969,0.51126,0.615974,0.707215,0.841153,0.959812,0.775009,0.948275,0.947337,0.652221,0.457723,0.859377,0.851414,0.98241,0.814857,0.599398,0.864383,0.83037,0.97601,0.393484,0.534559,0.787009,0.840022,0.466795,0.631932,0.331871,0.194384,0.819024,0.82265,0.517419,0.684218,0.629682,0.307662,0.64664,0.548545,0.504795,0.719965,0.377636,0.678783,0.341825,0.729197,0.467432,0.475414,0.386642,0.944886,0.226556,0.971855,0.167507,0.418959,0.288282,0.252411,0.322338,0.194855,0.359652,0.00182535,0.784288,0.702515,0.165915,0.00356165,0.637401,0.00138393,0.701819,0.000403627,0.736026,0.0250586,0.392937,0.00258434,0.527729,0.684944,0.0703326,0.0541639,0.238186,0.208932,0.140411,5.48413e-05,0.435735,0.000983869,0.413226,0.948247,0.000547483,0.148976,0.128735,0.124804,0.131203,0.443717,0.0359742,0.275685,0.0703708,0.307763,0.0570748,0.491094,3.1837e-05,0.438506,0.00191924,0.186834,0.0768574,0.0561354,0.0670678,0.0912538,0.0501145,
