mc_step,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
200,0.014,0.014,0.014,0.014,0.014,0.013901,0.0138913,0.0138148,0.014,0.014,0.0139091,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.0138936,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.0137959,0.014,0.013798,0.013901,0.013899,0.014,0.0138165,0.014,0.0137,0.014,0.0131489,0.013633,0.0134505,0.0133478,0.0124259,0.0127129,0.0117778,0.012022,0.0114312,0.0110874,0.0110103,0.0105789,0.0106129,0.01,0.01,0.0105556,0.01,0.00918868,0.00825532,0.00830233,0.0094386,0.00870588,0.00889796,0.00832692,0.00910417,0.00821569,0.00889796,0.00806593,0.00822018,0.00811765,0.00757143,0.0088,0.0086,0.008,0.00863158,0.00739806,0.0082268,0.00752273,0.008375,0.00679356,0.0063575,0.00455644,0.00499132,0.00340938,0.00298999,0.00206417,0.00220447,0.00141023,0.00137668,0.000978231,0.000931467,0.000648375,0.000630997,0.000356541,0.000467111,0.000247346,0.000305609,0.000137538,0.000222772,8.85265e-05,0.000130632,9.90099e-05,9.29917e-05,
400,0.0194667,0.0194526,0.0194571,0.0194627,0.0196,0.019321,0.0194478,0.0192026,0.01946,0.01946,0.0193463,0.0196,0.0196,0.0196,0.0194478,0.0194704,0.0196,0.0193255,0.0196,0.0191961,0.0194704,0.0194478,0.0194641,0.0193113,0.0196,0.01932,0.0196,0.0193143,0.0196,0.018697,0.0193069,0.0193322,0.0192147,0.0191913,0.0194511,0.0190508,0.0185684,0.0176571,0.0167153,0.0180835,0.0068646,0.0151727,0.00556945,0.0135135,0.00654392,0.0144499,0.00628285,0.0131123,0.00634737,0.0121566,0.0062449,0.01,0.00955441,0.00778641,0.00720958,0.00527996,0.00692699,0.00685934,0.0079159,0.00549352,0.00669357,0.00544353,0.00651112,0.00547272,0.00591502,0.00494792,0.00562109,0.00472006,0.00596948,0.00569437,0.00632,0.00586947,0.00559615,0.0054513,0.00588294,0.00614167,0.00418421,0.00424591,0.00295084,0.00383543,0.00209433,0.00251511,0.00173867,0.00170846,0.00114303,0.00120623,0.000801518,0.000799146,0.0005586,0.000561325,0.000289883,0.000424725,0.000208062,0.000278167,0.000113204,0.000209777,8.85265e-05,0.000120131,8.95804e-05,8.22242e-05,
600,0.027078,0.0270151,0.0270454,0.0272478,0.0272568,0.0270494,0.027227,0.0268836,0.027244,0.0270278,0.0269236,0.02744,0.02744,0.0272618,0.0270485,0.0272585,0.026606,0.0265087,0.02744,0.0268746,0.0268258,0.0270502,0.0266415,0.0266645,0.0272533,0.0268446,0.0272358,0.0266686,0.0272379,0.0259943,0.0266754,0.0268527,0.026538,0.0266636,0.0259053,0.0254804,0.0160416,0.02232,0.0105287,0.0217962,0.00370541,0.0181222,0.0039605,0.0151105,0.0046261,0.0167269,0.00427234,0.0145546,0.00457011,0.0121566,0.00535467,0.00833962,0.00955441,0.00704875,0.00720958,0.0046958,0.00692699,0.00527871,0.00712431,0.0046092,0.0058511,0.00444555,0.00613384,0.00407218,0.00439567,0.0036453,0.00470019,0.004159,0.00517355,0.00407597,0.00483854,0.00404829,0.00475102,0.00421139,0.00473815,0.0045959,0.00337105,0.00314378,0.00233384,0.00285527,0.00184612,0.00188086,0.00145382,0.00147315,0.000907495,0.000948264,0.000617799,0.000672435,0.000465851,0.000469363,0.000244112,0.000360005,0.000168341,0.000253441,9.334e-05,0.000186568,8.85265e-05,0.000108118,7.49218e-05,7.5829e-05,
800,0.0371205,0.0378212,0.0375597,0.0379015,0.0376144,0.0378691,0.0375732,0.0376371,0.0378389,0.0378389,0.0374238,0.038416,0.0381496,0.0378855,0.0371024,0.0378719,0.0369712,0.0371122,0.0378062,0.0373801,0.0360233,0.0375855,0.0360172,0.0370526,0.0357049,0.0370988,0.035727,0.0370639,0.0362638,0.0353311,0.0317141,0.0361291,0.0206407,0.0344203,0.0149978,0.0303338,0.0114732,0.0273213,0.00952901,0.0217962,0.00478038,0.0181222,0.00471299,0.0135994,0.00512726,0.0137675,0.0049443,0.012574,0.00530132,0.01009,0.00535467,0.00723372,0.00792927,0.00623018,0.00633189,0.0046958,0.00559063,0.00441712,0.00554728,0.00393445,0.00523915,0.00368346,0.00447707,0.00309169,0.0034677,0.00256756,0.00331487,0.00297071,0.00349073,0.00275221,0.00314505,0.00235891,0.00285061,0.00252684,0.00286223,0.002334,0.00195166,0.00179644,0.00161996,0.00166654,0.00126017,0.00110065,0.00100834,0.000961591,0.000629419,0.000660658,0.000454977,0.000478658,0.000402103,0.000335259,0.000227838,0.000268367,0.000153157,0.000194477,9.334e-05,0.000147997,7.79714e-05,9.61796e-05,6.81641e-05,6.5151e-05,
1000,0.0507582,0.0525994,0.0525836,0.0526831,0.0511994,0.0514551,0.0515081,0.0515279,0.0508245,0.0512852,0.0507519,0.0519956,0.0515575,0.0522585,0.0507959,0.0522853,0.0493998,0.0498564,0.0521649,0.0512219,0.0482926,0.0518604,0.0496737,0.0515173,0.0482867,0.0511573,0.047566,0.051133,0.0422751,0.0470816,0.0368638,0.0436468,0.0218082,0.0383054,0.0172475,0.0337172,0.0142162,0.0273213,0.0119793,0.0199608,0.00613267,0.0181222,0.00610725,0.0135994,0.00667905,0.0126281,0.00554332,0.0106617,0.00624378,0.00883123,0.00585444,0.00636567,0.00792927,0.00582967,0.00633189,0.00435429,0.00462327,0.00367696,0.00461086,0.00325997,0.00415023,0.00286408,0.00354819,0.00266617,0.00286008,0.00214849,0.0024734,0.0020238,0.00248303,0.00174502,0.00211298,0.00179472,0.00165578,0.00151133,0.00174747,0.00142211,0.00119154,0.00106076,0.00100972,0.00101024,0.000869521,0.000638379,0.000609119,0.000620321,0.000444955,0.000444443,0.000353768,0.000294703,0.000292298,0.000221411,0.000181449,0.000182731,0.000126468,0.00014851,9.334e-05,0.000105448,7.79714e-05,8.10128e-05,6.46077e-05,5.74862e-05,
1200,0.0688155,0.0700117,0.0671594,0.0725311,0.0687254,0.0698932,0.0668012,0.0686371,0.0684509,0.0703478,0.0678473,0.0722987,0.0697018,0.0698958,0.0654127,0.0706365,0.0667142,0.0692954,0.0676531,0.0677322,0.0625791,0.0681166,0.0658637,0.0682044,0.0591844,0.0626255,0.0627871,0.0618709,0.0541849,0.056674,0.0479634,0.0478914,0.0275783,0.0383054,0.0210601,0.0298638,0.0182226,0.0273213,0.0151106,0.0199608,0.00766005,0.01631,0.00735389,0.0135994,0.00747219,0.0126281,0.00642812,0.0106617,0.00715197,0.00784998,0.00630213,0.00636567,0.00690761,0.00582967,0.00561157,0.00399063,0.00462327,0.00334462,0.00419411,0.00279814,0.003433,0.0024448,0.00283092,0.00228742,0.00258882,0.00175634,0.002123,0.00164628,0.00184388,0.00145671,0.00163002,0.00119018,0.00124329,0.0010263,0.00113585,0.000951719,0.000885145,0.000681118,0.000740465,0.00067608,0.00060025,0.000493998,0.000538589,0.000454902,0.000388751,0.00033439,0.000311021,0.000228395,0.000207918,0.000201625,0.0001589,0.000163516,0.000126468,0.000124033,8.26197e-05,9.43702e-05,7.79714e-05,7.6521e-05,6.46077e-05,4.99411e-05,
1400,0.0932833,0.094834,0.091282,0.0958549,0.0912043,0.0958344,0.0874489,0.0936407,0.089964,0.0933034,0.0918305,0.0967787,0.0909792,0.089866,0.088206,0.0920331,0.0827863,0.0914452,0.0845364,0.0924895,0.0839654,0.0883409,0.0867771,0.08754,0.0758263,0.0800848,0.077539,0.075776,0.0685366,0.0666078,0.0591549,0.0503416,0.033726,0.0383054,0.0244216,0.0298638,0.0214407,0.023816,0.0181327,0.0199608,0.00941092,0.01631,0.00886969,0.0135994,0.00916487,0.0119843,0.00642812,0.0100613,0.00779564,0.00839948,0.0068089,0.00594541,0.00690761,0.00527615,0.00561157,0.00399063,0.00462327,0.00334462,0.00371115,0.00279814,0.00287306,0.0024448,0.00283092,0.00204713,0.00258882,0.00149572,0.00197846,0.00134187,0.00164978,0.00113762,0.00129786,0.00096987,0.00108404,0.000863572,0.000847522,0.000697927,0.000737621,0.00059443,0.000599776,0.000534103,0.000516686,0.000384109,0.000460249,0.000357616,0.000321568,0.000302675,0.000279919,0.000194575,0.000193364,0.000181463,0.0001589,0.000136428,0.000126468,0.000102976,8.26197e-05,7.61546e-05,7.34534e-05,7.17487e-05,5.84489e-05,4.41415e-05,
1600,0.127798,0.130871,0.125932,0.127619,0.121427,0.130257,0.116466,0.123572,0.119589,0.124158,0.118149,0.127034,0.121127,0.11114,0.115542,0.122642,0.110057,0.119276,0.111,0.119209,0.104774,0.111408,0.114939,0.108587,0.101849,0.0949576,0.0997615,0.0847514,0.0857437,0.0666078,0.0683299,0.0503416,0.0406103,0.0383054,0.0282626,0.0316495,0.0251625,0.023816,0.0225227,0.0212915,0.011179,0.01631,0.00952324,0.0128223,0.0101009,0.0112381,0.00749368,0.00843343,0.00779564,0.00839948,0.00752221,0.00594541,0.00645622,0.00527615,0.00561157,0.00399063,0.00434505,0.00352915,0.00390807,0.00279814,0.0026598,0.00230713,0.00283092,0.00204713,0.00238277,0.00149572,0.00178969,0.00124455,0.00152564,0.000937678,0.00129786,0.000886738,0.000970157,0.00075584,0.000847522,0.000645075,0.000737621,0.000521599,0.000522158,0.000502493,0.000478906,0.000343903,0.000356112,0.000327165,0.000268717,0.000237248,0.000279919,0.000167795,0.000193364,0.000147205,0.000135322,0.000117048,0.000126468,9.21688e-05,8.84031e-05,6.85391e-05,7.34534e-05,6.3167e-05,5.84489e-05,4.41415e-05,
1800,0.171544,0.169587,0.159933,0.162076,0.161745,0.164902,0.150112,0.158319,0.158136,0.159742,0.146145,0.157851,0.159378,0.140778,0.153506,0.152187,0.135953,0.151429,0.140795,0.151645,0.135602,0.1316,0.149862,0.123744,0.128351,0.100105,0.118505,0.0959956,0.102892,0.0666078,0.0781092,0.0555418,0.0502689,0.0402852,0.0330254,0.0316495,0.0276543,0.023816,0.0245702,0.0191623,0.0133943,0.0172778,0.0113485,0.0128223,0.0113173,0.0100618,0.00837172,0.00843343,0.00779564,0.00760469,0.00752221,0.0055986,0.00645622,0.00527615,0.00507713,0.00399063,0.00467732,0.00352915,0.00357007,0.00279814,0.00281025,0.00230713,0.00267421,0.00179589,0.00238277,0.00131363,0.00164022,0.00114864,0.00137308,0.000937678,0.00121443,0.000828294,0.000898672,0.000671467,0.000739227,0.000608614,0.000672241,0.000492725,0.000522158,0.000447219,0.000443109,0.000343903,0.000306536,0.000267742,0.000235873,0.000237248,0.000245417,0.000156903,0.000169044,0.000137487,0.000125507,0.000117048,0.00011957,9.21688e-05,8.84031e-05,6.33488e-05,7.34534e-05,5.65495e-05,5.84489e-05,4.75589e-05,
2000,0.212715,0.201808,0.203116,0.19287,0.202095,0.203122,0.193477,0.197555,0.199065,0.193079,0.180714,0.20126,0.191253,0.179659,0.19766,0.176044,0.165363,0.177855,0.181625,0.174391,0.169859,0.156667,0.187187,0.132432,0.156685,0.107134,0.14739,0.107626,0.115201,0.073197,0.0944332,0.0555418,0.0576823,0.0402852,0.0376617,0.0316495,0.0314532,0.023816,0.0245702,0.0181332,0.0154747,0.0172778,0.0134095,0.0128223,0.0122585,0.00941135,0.00962748,0.00843343,0.00779564,0.00647861,0.00752221,0.0055986,0.00645622,0.00472292,0.00539779,0.00399063,0.00467732,0.00326189,0.00328447,0.00279814,0.00260729,0.00230713,0.00234989,0.00179589,0.00209777,0.00141014,0.00164022,0.00123303,0.00124897,0.000990422,0.00113592,0.000782369,0.000826778,0.000611035,0.000684758,0.000608614,0.000611877,0.000438622,0.000486709,0.00040004,0.000407661,0.000299195,0.000290714,0.000267742,0.000235873,0.000206109,0.000230137,0.000156903,0.000169044,0.000125141,0.000136917,0.000105343,0.00011957,9.21688e-05,8.84031e-05,6.33488e-05,7.34534e-05,5.65495e-05,5.84489e-05,5.05854e-05,
