oscillator_number,seed,l = 0_K,l = 0_gamma,l = 1_K,l = 1_gamma,l = 2_K,l = 2_gamma,l = 3_K,l = 3_gamma,l = 4_K,l = 4_gamma,l = 5_K,l = 5_gamma,l = 6_K,l = 6_gamma,l = 7_K,l = 7_gamma,l = 8_K,l = 8_gamma,l = 9_K,l = 9_gamma,l = 10_K,l = 10_gamma,l = 11_K,l = 11_gamma,l = 12_K,l = 12_gamma,l = 13_K,l = 13_gamma,l = 14_K,l = 14_gamma,l = 15_K,l = 15_gamma,l = 16_K,l = 16_gamma,l = 17_K,l = 17_gamma,l = 18_K,l = 18_gamma,l = 19_K,l = 19_gamma,l = 20_K,l = 20_gamma,l = 21_K,l = 21_gamma,l = 22_K,l = 22_gamma,l = 23_K,l = 23_gamma,l = 24_K,l = 24_gamma,l = 25_K,l = 25_gamma,l = 26_K,l = 26_gamma,l = 27_K,l = 27_gamma,l = 28_K,l = 28_gamma,l = 29_K,l = 29_gamma,l = 30_K,l = 30_gamma,l = 31_K,l = 31_gamma,l = 32_K,l = 32_gamma,l = 33_K,l = 33_gamma,l = 34_K,l = 34_gamma,l = 35_K,l = 35_gamma,l = 36_K,l = 36_gamma,l = 37_K,l = 37_gamma,l = 38_K,l = 38_gamma,l = 39_K,l = 39_gamma,l = 40_K,l = 40_gamma,l = 41_K,l = 41_gamma,l = 42_K,l = 42_gamma,l = 43_K,l = 43_gamma,l = 44_K,l = 44_gamma,l = 45_K,l = 45_gamma,l = 46_K,l = 46_gamma,l = 47_K,l = 47_gamma,l = 48_K,l = 48_gamma,l = 49_K,l = 49_gamma,
10,1,0.521402,0.611193,0.611555,0.560184,0.595171,0.60241,0.622932,0.584076,0.615546,0.639516,0.588826,0.587974,0.601224,0.584464,0.622492,0.603731,0.576396,0.589892,0.624785,0.629412,0.623202,0.583177,0.559003,0.603384,0.572937,0.563299,0.567748,0.581791,0.625765,0.59438,0.615228,0.625986,0.58938,0.5731,0.594961,0.597236,0.583523,0.601103,0.624414,0.588762,0.59205,0.581847,0.621097,0.616041,0.626934,0.594799,0.579575,0.623647,0.601193,0.617595,0.58189,0.60088,0.641007,0.582329,0.599569,0.592417,0.598425,0.622744,0.628112,0.573984,0.575728,0.562413,0.583814,0.586961,0.593387,0.605361,0.619666,0.594193,0.641774,0.584722,0.590942,0.605508,0.584485,0.578852,0.616777,0.6035,0.608863,0.607689,0.645345,0.622635,0.5973,0.574173,0.596946,0.610302,0.594812,0.620051,0.59639,0.594531,0.59904,0.643023,0.58167,0.587666,0.610745,0.630709,0.584482,0.608716,0.619416,0.589378,0.611131,0.609584,
10,2,0.633115,0.611671,0.55958,0.625739,0.592346,0.627311,0.632655,0.607275,0.608134,0.608986,0.601823,0.62768,0.610587,0.569919,0.614427,0.564065,0.603982,0.607186,0.598939,0.631994,0.622519,0.586391,0.551413,0.615726,0.580035,0.60539,0.551322,0.631338,0.59105,0.609902,0.594,0.612336,0.61404,0.580433,0.636723,0.630153,0.664158,0.598649,0.595841,0.602747,0.616097,0.596578,0.625437,0.582124,0.587737,0.590733,0.581585,0.593166,0.58217,0.636211,0.631611,0.579593,0.594649,0.625377,0.60219,0.625996,0.578506,0.593042,0.594883,0.594716,0.620051,0.591473,0.64696,0.574769,0.586733,0.551752,0.604341,0.564853,0.619425,0.579206,0.586389,0.58549,0.59554,0.586075,0.57493,0.587776,0.593347,0.619095,0.590953,0.612334,0.586969,0.588903,0.589193,0.631786,0.574801,0.61676,0.598654,0.617197,0.613246,0.601428,0.605007,0.561567,0.590188,0.57491,0.567587,0.604287,0.612533,0.573849,0.571074,0.615403,
10,3,0.604519,0.586619,0.5907,0.611626,0.599616,0.597706,0.61443,0.584863,0.604876,0.611501,0.637546,0.613935,0.602804,0.603514,0.594476,0.566545,0.570478,0.568697,0.576363,0.605314,0.646986,0.57833,0.628626,0.585709,0.623525,0.614517,0.58773,0.581968,0.610746,0.582847,0.596554,0.593206,0.617696,0.602871,0.615882,0.639751,0.597632,0.609447,0.606236,0.604283,0.623047,0.586153,0.590218,0.594333,0.568342,0.590293,0.595835,0.612385,0.588978,0.588061,0.603876,0.61971,0.629333,0.634303,0.60376,0.602047,0.601211,0.616229,0.626371,0.598241,0.5885,0.579907,0.589038,0.581301,0.587285,0.62385,0.608662,0.620315,0.597989,0.5929,0.656655,0.578667,0.593339,0.588317,0.611878,0.591904,0.600446,0.58686,0.580244,0.583031,0.611827,0.609375,0.58869,0.593849,0.608615,0.653769,0.58515,0.563132,0.57672,0.558,0.611717,0.612919,0.590735,0.582678,0.584164,0.611735,0.611412,0.600853,0.592313,0.602911,
10,4,0.612548,0.587795,0.572841,0.654195,0.62134,0.600088,0.589411,0.5965,0.580503,0.625209,0.562485,0.615655,0.584334,0.603432,0.639388,0.640813,0.615519,0.566772,0.594347,0.562902,0.594564,0.606805,0.603503,0.567243,0.609001,0.583357,0.58284,0.608468,0.572547,0.550484,0.614576,0.621455,0.59739,0.625904,0.613679,0.608113,0.570869,0.62302,0.621688,0.59942,0.584813,0.644132,0.615999,0.605801,0.61766,0.571423,0.610104,0.585719,0.601411,0.565994,0.578859,0.58332,0.586822,0.576886,0.634764,0.587647,0.591925,0.605015,0.583941,0.609923,0.570343,0.590922,0.584625,0.580101,0.590242,0.631007,0.623331,0.593883,0.599705,0.604385,0.618446,0.563988,0.605305,0.556953,0.580579,0.585345,0.593778,0.569635,0.632721,0.610369,0.600772,0.625293,0.622863,0.585231,0.604861,0.582561,0.609603,0.597581,0.603938,0.585555,0.65972,0.55736,0.587847,0.565286,0.60843,0.588012,0.620389,0.611773,0.587316,0.595331,
10,5,0.604753,0.623793,0.58511,0.58589,0.582396,0.612478,0.585707,0.616587,0.609063,0.591182,0.629821,0.580081,0.563667,0.589154,0.573386,0.581578,0.617347,0.620756,0.653376,0.577481,0.62917,0.571034,0.639524,0.592507,0.6531,0.59718,0.619928,0.570112,0.596823,0.579269,0.6071,0.593363,0.610294,0.60258,0.626535,0.591434,0.574207,0.601195,0.608798,0.617026,0.593614,0.626056,0.625469,0.590129,0.572275,0.578636,0.590132,0.595849,0.568521,0.623223,0.604737,0.615207,0.579595,0.624065,0.64305,0.590674,0.60318,0.597787,0.599318,0.623893,0.600562,0.609886,0.602755,0.605036,0.609912,0.626085,0.570491,0.567511,0.56483,0.584649,0.602815,0.596141,0.592411,0.592628,0.634081,0.622453,0.630261,0.600048,0.603713,0.596185,0.597465,0.630993,0.572709,0.562224,0.630506,0.613952,0.604462,0.601747,0.620207,0.59566,0.602722,0.587724,0.609707,0.62963,0.625936,0.587563,0.592263,0.595025,0.577981,0.586878,
10,6,0.638713,0.589585,0.603343,0.589966,0.608563,0.584039,0.566547,0.582266,0.578623,0.565826,0.601674,0.6211,0.577023,0.596498,0.618336,0.608696,0.64695,0.636718,0.615492,0.603271,0.598928,0.61817,0.605552,0.621225,0.579296,0.633909,0.610705,0.633464,0.581801,0.605387,0.561089,0.600008,0.619574,0.600789,0.582358,0.589844,0.607321,0.572237,0.630405,0.581412,0.589439,0.575963,0.600209,0.615191,0.603273,0.574718,0.615277,0.624089,0.594015,0.61677,0.606757,0.59062,0.589945,0.580384,0.643025,0.594237,0.635219,0.61238,0.609937,0.556346,0.60576,0.611,0.649253,0.55953,0.605118,0.615158,0.566125,0.588909,0.598024,0.607537,0.629517,0.606573,0.608081,0.615533,0.587389,0.617719,0.584206,0.582587,0.602794,0.620895,0.61045,0.596976,0.608299,0.604082,0.64539,0.624769,0.611255,0.605729,0.591351,0.585645,0.578551,0.62092,0.619222,0.592546,0.603919,0.613944,0.609891,0.608546,0.605747,0.600547,
10,7,0.632407,0.616124,0.602503,0.590611,0.61532,0.61488,0.612392,0.629423,0.633848,0.593802,0.570604,0.602566,0.640901,0.616978,0.592303,0.602046,0.596437,0.609912,0.592879,0.583774,0.622568,0.563749,0.588238,0.571497,0.627423,0.599815,0.609237,0.63367,0.572478,0.607009,0.59344,0.607143,0.588803,0.589281,0.611535,0.59094,0.612986,0.582914,0.599446,0.561357,0.562699,0.608701,0.596215,0.60957,0.57433,0.578288,0.622277,0.603421,0.595782,0.624006,0.604249,0.579222,0.603463,0.591224,0.653376,0.582751,0.595968,0.583896,0.563085,0.62327,0.660073,0.629121,0.599714,0.615044,0.601718,0.55715,0.591414,0.619423,0.574005,0.594431,0.586578,0.603215,0.620762,0.600388,0.583615,0.632774,0.602322,0.591926,0.586521,0.603751,0.580202,0.573342,0.603802,0.611409,0.633255,0.600426,0.630342,0.597236,0.598828,0.60224,0.599575,0.600463,0.585584,0.573117,0.606667,0.633441,0.632037,0.624661,0.598406,0.550226,
10,8,0.616833,0.609418,0.580668,0.598681,0.620108,0.576611,0.621866,0.576736,0.604216,0.580458,0.599832,0.628942,0.595407,0.639698,0.578064,0.619578,0.615764,0.601204,0.615737,0.632235,0.617646,0.622204,0.613393,0.619685,0.614146,0.633113,0.599206,0.587946,0.614076,0.615963,0.627406,0.586532,0.642365,0.569541,0.62707,0.5815,0.588156,0.582259,0.570134,0.616575,0.584955,0.603619,0.626352,0.580631,0.609825,0.621923,0.588932,0.583863,0.581791,0.61808,0.579261,0.608843,0.628377,0.624179,0.598057,0.575859,0.572992,0.637495,0.608306,0.601568,0.544414,0.565534,0.600858,0.634409,0.557587,0.573811,0.603464,0.574506,0.640896,0.64179,0.616983,0.599672,0.621312,0.576149,0.604212,0.604948,0.609756,0.59226,0.571724,0.598736,0.623854,0.588847,0.616191,0.596731,0.6444,0.568642,0.582168,0.57665,0.611193,0.57156,0.575745,0.614705,0.618036,0.636152,0.588811,0.584727,0.61188,0.61758,0.604279,0.544253,
10,9,0.617009,0.609322,0.599323,0.590898,0.554514,0.644295,0.571585,0.604452,0.589378,0.61406,0.602919,0.596198,0.593645,0.608745,0.611315,0.626902,0.586744,0.600464,0.588983,0.614989,0.628706,0.626255,0.604796,0.641393,0.628029,0.610549,0.649389,0.633933,0.577544,0.568641,0.635759,0.58351,0.592662,0.59675,0.607462,0.594573,0.618705,0.584169,0.584034,0.616588,0.603457,0.579936,0.595552,0.58773,0.633182,0.59753,0.62235,0.605355,0.608183,0.608893,0.609773,0.60503,0.622441,0.595442,0.600553,0.627784,0.551709,0.599388,0.588214,0.603407,0.557321,0.623831,0.57983,0.582824,0.581294,0.577785,0.618361,0.565514,0.618259,0.571474,0.624406,0.563171,0.620103,0.588084,0.634784,0.585319,0.591539,0.61756,0.598166,0.654642,0.554619,0.625493,0.608408,0.608553,0.585178,0.599534,0.571788,0.621636,0.571028,0.629076,0.624536,0.593914,0.609206,0.595495,0.584184,0.593016,0.585473,0.584847,0.600304,0.630565,
10,10,0.601956,0.610503,0.589105,0.614975,0.62323,0.642771,0.629667,0.583601,0.622986,0.58026,0.610725,0.584105,0.612117,0.560377,0.590004,0.575293,0.586254,0.581525,0.628419,0.606342,0.579,0.592532,0.608346,0.585411,0.596022,0.608204,0.608713,0.64559,0.617261,0.633782,0.606878,0.601214,0.558355,0.585167,0.545436,0.616227,0.588904,0.621011,0.611865,0.59992,0.642749,0.584601,0.568278,0.60865,0.654463,0.61165,0.584349,0.626576,0.625647,0.629091,0.626018,0.608716,0.577001,0.598608,0.607689,0.621854,0.613622,0.591613,0.583521,0.602461,0.562277,0.618875,0.612198,0.567122,0.606512,0.62846,0.607093,0.573984,0.57473,0.590891,0.592709,0.617189,0.583363,0.620453,0.605585,0.59356,0.619584,0.611665,0.59976,0.563164,0.613433,0.612132,0.591817,0.604732,0.604087,0.620651,0.589872,0.599161,0.616298,0.595156,0.600976,0.650434,0.590062,0.632125,0.621503,0.612983,0.58497,0.600305,0.597576,0.559115,
