oscillator_number,seed,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
10,1,0.99228,0.99596,0.99468,0.99024,0.9874,0.97832,0.96716,0.94796,0.91392,0.85968,0.77028,0.6426,0.58888,0.65064,0.71272,0.74552,0.76892,0.7756,0.7742,0.76896,0.76928,0.7626,0.753,0.74604,0.73524,0.73232,0.729,0.72832,0.73088,0.73496,0.73176,0.73296,0.72804,0.73348,0.73324,0.73728,0.72844,0.73264,0.73484,0.737,0.74132,0.73172,0.73232,0.73308,0.73224,0.73224,0.72828,0.72096,0.71048,
10,2,0.99648,0.998,0.99772,0.99636,0.994,0.99136,0.98464,0.97792,0.96448,0.94568,0.91396,0.8662,0.80416,0.69776,0.61592,0.63816,0.68164,0.70208,0.71876,0.72224,0.72164,0.71696,0.71252,0.70336,0.69304,0.70184,0.69136,0.68196,0.69252,0.70108,0.69568,0.6944,0.69164,0.6896,0.68872,0.69592,0.69648,0.68896,0.68688,0.68828,0.68692,0.69044,0.69108,0.68524,0.69292,0.69708,0.68736,0.66868,0,
10,3,0.99668,0.99848,0.99716,0.99612,0.99396,0.99168,0.98632,0.98176,0.97028,0.95228,0.92796,0.89192,0.8374,0.76288,0.68576,0.64992,0.67692,0.69372,0.72384,0.74228,0.7436,0.75168,0.75696,0.75436,0.76016,0.7574,0.76272,0.75708,0.76076,0.75176,0.75636,0.75276,0.74796,0.74372,0.74508,0.74144,0.74256,0.7404,0.73532,0.73636,0.74068,0.74076,0.7422,0.73972,0.74464,0.74044,0.73304,0.72332,0.70916,
10,4,0.99476,0.9974,0.9964,0.99424,0.99068,0.98612,0.9766,0.96168,0.94112,0.91108,0.86332,0.79272,0.68884,0.62516,0.64428,0.68148,0.72932,0.75804,0.75332,0.76596,0.76436,0.7634,0.76032,0.75468,0.746,0.73772,0.7318,0.7332,0.72644,0.73376,0.73776,0.73872,0.74152,0.74208,0.74472,0.73732,0.73716,0.74024,0.74068,0.74344,0.73388,0.73492,0.73724,0.73696,0.7308,0.73372,0.73072,0.7218,0.71152,
10,5,0.99348,0.99596,0.99412,0.99072,0.98568,0.978,0.96712,0.94348,0.91168,0.85372,0.7476,0.62312,0.58264,0.65192,0.714,0.74752,0.76896,0.76648,0.76248,0.7596,0.75976,0.7562,0.75308,0.7466,0.74868,0.74632,0.74656,0.74556,0.73956,0.73704,0.74236,0.74196,0.74344,0.74276,0.74464,0.74588,0.7556,0.7542,0.7498,0.75156,0.74616,0.7434,0.73652,0.73912,0.72744,0.72428,0.72808,0.72116,0.71044,
10,6,0.99164,0.99584,0.99404,0.99016,0.985,0.97452,0.96204,0.93604,0.888,0.81836,0.695,0.57224,0.59768,0.68116,0.73244,0.75572,0.75364,0.75368,0.74836,0.7416,0.73024,0.719,0.71912,0.71016,0.70464,0.69776,0.69908,0.69528,0.69328,0.7,0.69432,0.70116,0.69064,0.68832,0.6916,0.6894,0.68816,0.69656,0.69032,0.68732,0.69128,0.68776,0.69576,0.69512,0.69864,0.69256,0.68992,0.67656,0.6666,
10,7,0.995,0.99768,0.99588,0.99476,0.9924,0.98764,0.98016,0.9702,0.95292,0.92852,0.89344,0.83748,0.76084,0.68676,0.65448,0.6814,0.69928,0.7192,0.741,0.74216,0.74284,0.743,0.73664,0.73596,0.73292,0.73152,0.74148,0.73784,0.73476,0.73848,0.7406,0.74248,0.74056,0.73136,0.73276,0.7366,0.73688,0.7356,0.73752,0.74384,0.73848,0.74496,0.74424,0.7344,0.73368,0.73344,0.72976,0.72668,0.70816,
10,8,0.99408,0.99708,0.9952,0.99448,0.98976,0.9846,0.97708,0.96176,0.94444,0.91056,0.86088,0.77768,0.67704,0.62664,0.64384,0.69504,0.72476,0.74892,0.76116,0.76488,0.76824,0.76708,0.76072,0.75924,0.75056,0.74564,0.73728,0.73252,0.73592,0.7422,0.73692,0.73028,0.74428,0.73744,0.733,0.7372,0.73552,0.7312,0.74328,0.73996,0.73692,0.73448,0.73644,0.7362,0.73872,0.73376,0.73064,0.7238,0.70636,
10,9,0.99504,0.99676,0.99628,0.99396,0.99204,0.9864,0.97896,0.96488,0.9454,0.91436,0.86076,0.7718,0.65384,0.59848,0.6298,0.68364,0.71408,0.72232,0.72756,0.72172,0.7152,0.715,0.69824,0.69776,0.69712,0.69392,0.68984,0.69,0.69076,0.69016,0.69212,0.69724,0.69392,0.69472,0.69528,0.69464,0.6908,0.69768,0.68696,0.68824,0.69324,0.6854,0.69548,0.6924,0.69032,0.69172,0.68396,0.6746,0.66492,
10,10,0.99672,0.9984,0.99696,0.99636,0.9948,0.99196,0.98588,0.97936,0.96964,0.95336,0.92772,0.89456,0.83672,0.7608,0.66964,0.62148,0.6462,0.69004,0.703,0.72188,0.71908,0.72208,0.71032,0.69948,0.6916,0.69612,0.69152,0.6904,0.6944,0.691,0.69284,0.69288,0.6894,0.6928,0.69136,0.692,0.69624,0.69712,0.69156,0.69212,0.68952,0.69552,0.69976,0.68724,0.69024,0.68296,0.684,0.68376,0.67068,
10,11,0.99456,0.99696,0.99488,0.99288,0.98948,0.98368,0.97348,0.9582,0.93328,0.89164,0.81876,0.71012,0.60064,0.59444,0.6644,0.70356,0.72632,0.72896,0.72852,0.7178,0.70936,0.70712,0.7016,0.69312,0.69896,0.69208,0.6954,0.69152,0.69708,0.6926,0.69044,0.6936,0.6906,0.693,0.69136,0.6918,0.6898,0.69304,0.6886,0.6874,0.69336,0.68428,0.68948,0.68864,0.69176,0.68652,0.68756,0.68696,0.66888,
10,12,0.99604,0.99748,0.99628,0.99352,0.99164,0.98664,0.98024,0.97236,0.95396,0.93084,0.8944,0.84088,0.77052,0.70928,0.66164,0.66552,0.69436,0.72008,0.7342,0.73636,0.73364,0.73488,0.7362,0.732,0.73284,0.73884,0.7396,0.73708,0.74192,0.7364,0.7318,0.73992,0.7322,0.74328,0.73648,0.73824,0.73624,0.7312,0.7336,0.74096,0.73536,0.74596,0.73388,0.73768,0.73248,0.72992,0.72632,0.72472,0.70984,
10,13,0.99144,0.99576,0.99408,0.98992,0.98556,0.97564,0.96264,0.93848,0.89824,0.82924,0.72864,0.60636,0.60268,0.66212,0.7284,0.76,0.76724,0.77568,0.77548,0.76656,0.76296,0.7584,0.74824,0.73628,0.73048,0.7348,0.73096,0.72724,0.72868,0.72992,0.73368,0.73196,0.735,0.73312,0.72952,0.73132,0.73236,0.73292,0.73696,0.73528,0.73364,0.73444,0.73504,0.7374,0.72672,0.723,0.73192,0.71948,0.71028,
10,14,0.99488,0.99688,0.995,0.99396,0.99064,0.9866,0.97724,0.96476,0.94728,0.9214,0.88028,0.82276,0.74088,0.67068,0.65616,0.68528,0.70652,0.7276,0.74076,0.7382,0.7384,0.74016,0.7362,0.73352,0.73784,0.72796,0.73656,0.73544,0.74192,0.73716,0.74252,0.74096,0.74136,0.7398,0.73608,0.7352,0.73516,0.73868,0.7424,0.7414,0.7442,0.73804,0.73668,0.73136,0.73236,0.73556,0.73156,0.72684,0.71892,
10,15,0.99368,0.99608,0.9944,0.99252,0.98828,0.9814,0.97176,0.953,0.92684,0.88232,0.81756,0.71496,0.621,0.62352,0.67716,0.71652,0.75112,0.7622,0.76856,0.76724,0.762,0.7408,0.7432,0.73472,0.73124,0.7282,0.73792,0.73424,0.73632,0.73496,0.73568,0.74508,0.7374,0.73916,0.73556,0.7374,0.74272,0.7366,0.73408,0.7326,0.73284,0.7336,0.73568,0.72632,0.72792,0.73264,0.72988,0.71744,0.70904,
10,16,0.99496,0.99732,0.99632,0.99484,0.99044,0.9874,0.97988,0.96932,0.95064,0.92112,0.87944,0.82136,0.73772,0.65892,0.64548,0.67832,0.70676,0.72972,0.74276,0.75636,0.75596,0.76832,0.7638,0.76056,0.75828,0.75232,0.74612,0.74504,0.74296,0.73444,0.7298,0.7396,0.7404,0.73304,0.74124,0.73992,0.74048,0.73904,0.73488,0.73492,0.73476,0.73788,0.73844,0.73112,0.73424,0.73824,0.72588,0.72476,0.70752,
10,17,0.99436,0.9968,0.99524,0.9938,0.9902,0.98396,0.97488,0.95948,0.93864,0.90092,0.84892,0.76676,0.66968,0.62492,0.66304,0.70792,0.73132,0.75004,0.74996,0.74412,0.74472,0.74128,0.74092,0.73096,0.72968,0.73296,0.73128,0.73828,0.73076,0.73836,0.73576,0.74356,0.7402,0.72656,0.73628,0.73696,0.73852,0.73668,0.73672,0.73584,0.7314,0.73304,0.73716,0.73064,0.73456,0.73532,0.73084,0.716,0.71632,
10,18,0.9946,0.99748,0.9946,0.99304,0.99048,0.98356,0.9774,0.96184,0.93952,0.90032,0.8458,0.7646,0.66856,0.62852,0.66276,0.70432,0.73768,0.74812,0.75996,0.76644,0.76008,0.76252,0.75652,0.7538,0.7398,0.73216,0.73228,0.7338,0.73468,0.7318,0.74104,0.73704,0.73828,0.73044,0.73576,0.73636,0.73684,0.7408,0.7412,0.73496,0.736,0.73188,0.73508,0.73172,0.73448,0.73312,0.73012,0.72188,0.70956,
10,19,0.99512,0.9978,0.99596,0.9948,0.991,0.98796,0.98088,0.96824,0.95204,0.93012,0.8898,0.8266,0.74272,0.64696,0.61364,0.64612,0.69268,0.71096,0.72876,0.72832,0.73148,0.72096,0.7114,0.71324,0.7054,0.70032,0.69788,0.69356,0.7094,0.69468,0.69028,0.6916,0.69224,0.69004,0.69468,0.69308,0.68964,0.69,0.69288,0.69844,0.693,0.69696,0.69136,0.69092,0.68948,0.68752,0.69036,0.68208,0.67032,
10,20,0.99268,0.99584,0.99352,0.9908,0.98496,0.97752,0.96412,0.94036,0.90032,0.82848,0.69824,0.55504,0.58888,0.6772,0.7286,0.74412,0.7382,0.73048,0.72412,0.71456,0.70608,0.70356,0.70468,0.68764,0.69992,0.68596,0.69332,0.6926,0.69612,0.69128,0.6984,0.69212,0.69372,0.69148,0.69164,0.69076,0.68428,0.69396,0.69704,0.69668,0.68928,0.68656,0.68784,0.69068,0.68036,0.6962,0.6916,0.67432,0.66708,
10,21,0.99348,0.99676,0.99468,0.99104,0.98696,0.98056,0.96948,0.9534,0.9226,0.88516,0.81572,0.7356,0.63984,0.622,0.65844,0.69152,0.70776,0.71848,0.73008,0.73032,0.72528,0.72424,0.73024,0.73348,0.73276,0.73564,0.72996,0.72872,0.73056,0.7282,0.73032,0.7306,0.72944,0.73188,0.72968,0.72744,0.73624,0.73412,0.72748,0.73236,0.736,0.72384,0.72396,0.72664,0.7216,0.73028,0.72688,0.72228,0.71124,
10,22,0.99472,0.99736,0.99636,0.99372,0.99144,0.98648,0.97912,0.96868,0.94916,0.92036,0.87864,0.81856,0.72856,0.6542,0.64636,0.67832,0.71428,0.7352,0.75332,0.75972,0.75908,0.75476,0.7572,0.75352,0.75704,0.74884,0.736,0.73648,0.73756,0.74212,0.73524,0.7354,0.73288,0.73612,0.73812,0.73888,0.74072,0.73776,0.737,0.74028,0.73828,0.73644,0.73576,0.73116,0.7326,0.7342,0.73296,0.7222,0.71028,
10,23,0.99596,0.99776,0.99728,0.9958,0.99412,0.98908,0.98496,0.97452,0.96416,0.94392,0.913,0.86856,0.79892,0.71376,0.64652,0.6344,0.66944,0.7118,0.732,0.73848,0.745,0.73764,0.73324,0.7314,0.7212,0.7276,0.70912,0.70748,0.70672,0.705,0.70292,0.697,0.69888,0.69824,0.70172,0.69368,0.69244,0.69028,0.6912,0.6944,0.69236,0.6938,0.69696,0.6922,0.6924,0.69064,0.68716,0.68184,0.66816,
10,24,0.99396,0.99704,0.99436,0.99264,0.9888,0.98424,0.97488,0.96052,0.93984,0.91316,0.8636,0.7952,0.70664,0.64624,0.64516,0.68948,0.72356,0.74148,0.7522,0.75328,0.7488,0.74816,0.7368,0.7318,0.7286,0.73584,0.73588,0.74036,0.74156,0.73696,0.73792,0.74164,0.73804,0.7366,0.7368,0.7392,0.73408,0.73372,0.73892,0.73952,0.73668,0.7362,0.73492,0.73832,0.73516,0.73036,0.72752,0.72204,0.70904,
10,25,0.99456,0.99728,0.99692,0.99456,0.99092,0.98688,0.9798,0.96844,0.95168,0.92384,0.87956,0.81096,0.7158,0.63344,0.62832,0.66236,0.71448,0.74136,0.7484,0.75012,0.74328,0.742,0.7296,0.73132,0.72168,0.72104,0.71744,0.71916,0.71084,0.70968,0.70264,0.69416,0.70188,0.69552,0.69424,0.6882,0.6944,0.69428,0.69016,0.69656,0.69816,0.68868,0.69472,0.69512,0.68372,0.69892,0.68028,0.68064,0.66236,
10,26,0.9954,0.99724,0.99672,0.99484,0.99156,0.9866,0.98,0.96776,0.95428,0.9252,0.88892,0.82932,0.75532,0.67408,0.6426,0.68216,0.70544,0.73564,0.74968,0.75384,0.74748,0.75124,0.74168,0.73148,0.73672,0.736,0.73476,0.73752,0.7378,0.73732,0.73744,0.74308,0.73272,0.73984,0.73668,0.73892,0.74004,0.73552,0.73848,0.73916,0.73168,0.73372,0.7378,0.73712,0.73876,0.72824,0.73264,0.72432,0.71152,
10,27,0.99624,0.99836,0.99752,0.99536,0.99352,0.98988,0.9848,0.97736,0.96564,0.94472,0.91448,0.86248,0.79684,0.6926,0.62576,0.6224,0.65872,0.69216,0.70668,0.71116,0.71248,0.7106,0.69912,0.6972,0.69468,0.69012,0.69396,0.69224,0.69324,0.68724,0.68556,0.68884,0.689,0.69252,0.69304,0.69252,0.69916,0.69396,0.69296,0.69152,0.69144,0.69852,0.68844,0.69304,0.69204,0.69648,0.69024,0.6878,0.66824,
10,28,0.99516,0.9974,0.99604,0.994,0.99148,0.98704,0.98012,0.96948,0.95524,0.9288,0.8888,0.8274,0.74708,0.65792,0.61144,0.64012,0.68196,0.71284,0.71832,0.72272,0.72164,0.7154,0.70584,0.69952,0.69744,0.693,0.69428,0.68816,0.69476,0.6918,0.68412,0.69284,0.69724,0.68988,0.68824,0.69376,0.69532,0.69284,0.69036,0.68972,0.6898,0.69432,0.68888,0.69024,0.68928,0.69568,0.68664,0.68304,0.66364,
10,29,0.99508,0.99728,0.99588,0.99428,0.99124,0.98508,0.97844,0.96816,0.9474,0.92024,0.87688,0.80232,0.70272,0.61996,0.61992,0.66172,0.70132,0.72328,0.72808,0.71912,0.7126,0.7162,0.70552,0.70068,0.704,0.6946,0.69124,0.69068,0.69056,0.68292,0.69556,0.69584,0.69464,0.68896,0.69248,0.69224,0.6886,0.69604,0.68776,0.6924,0.69108,0.69028,0.68752,0.69184,0.68728,0.68692,0.68024,0.6842,0.67168,
10,30,0.99496,0.9976,0.99576,0.9942,0.99108,0.98776,0.98008,0.96868,0.95168,0.92504,0.88872,0.82392,0.74812,0.65228,0.6208,0.653,0.68928,0.71296,0.72364,0.73244,0.73084,0.72408,0.71384,0.70804,0.71012,0.70172,0.70324,0.69924,0.69984,0.69448,0.69352,0.68912,0.69312,0.69328,0.6924,0.68808,0.6924,0.68944,0.69152,0.69564,0.69712,0.68988,0.68996,0.698,0.6938,0.68812,0.6836,0.68096,0.67092,
